# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
209940.0	0	ORQLCI_NoEnergyCtx	817.08	0.0000	DEAD
223560.0	32	ORQLCI_NoEnergyCtx	815.36	0.0000	DEAD
240000.0	8	ORQLCI_NoEnergyCtx	814.93	0.0000	DEAD
240780.0	28	ORQLCI_NoEnergyCtx	815.58	0.0000	DEAD
244260.0	25	ORQLCI_NoEnergyCtx	815.95	0.0000	DEAD
245280.0	23	ORQLCI_NoEnergyCtx	815.85	0.0000	DEAD
245940.0	21	ORQLCI_NoEnergyCtx	814.45	0.0000	DEAD
246060.0	7	ORQLCI_NoEnergyCtx	814.99	0.0000	DEAD
249000.0	17	ORQLCI_NoEnergyCtx	814.66	0.0000	DEAD
249060.0	24	ORQLCI_NoEnergyCtx	815.79	0.0000	DEAD
249780.0	12	ORQLCI_NoEnergyCtx	814.72	0.0000	DEAD
250260.0	36	ORQLCI_NoEnergyCtx	815.15	0.0000	DEAD
253260.0	18	ORQLCI_NoEnergyCtx	814.61	0.0000	DEAD
256500.0	39	ORQLCI_NoEnergyCtx	813.27	0.0000	DEAD
257700.0	29	ORQLCI_NoEnergyCtx	815.74	0.0000	DEAD
261780.0	4	ORQLCI_NoEnergyCtx	816.87	0.0000	DEAD
261960.0	14	ORQLCI_NoEnergyCtx	814.82	0.0000	DEAD
264360.0	9	ORQLCI_NoEnergyCtx	815.09	0.0000	DEAD
264960.0	15	ORQLCI_NoEnergyCtx	814.56	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 19
