time delivery_prob overhead_ratio latency_avg dropped created delivered
1000.0000 0.0000 0.0000 0.0 0 0 0
2000.1000 0.1045 56.0000 308.1000 0 67 7
3000.1000 0.2074 64.3929 866.9179 140 135 28
4000.1000 0.2634 75.1296 1207.7296 783 205 54
5000.0000 0.3773 70.1165 1549.9942 2408 273 103
6000.0000 0.4118 75.6714 1612.1314 4849 340 140
7000.0000 0.4199 81.8324 1829.0520 7787 412 173
8000.0000 0.4154 89.0804 1938.2955 10787 479 199
9000.0000 0.4270 92.6752 2060.2714 14193 548 234
10000.0000 0.4253 97.7748 2111.2408 17673 616 262
11000.0000 0.4560 96.4534 2294.3267 21677 682 311
12000.0000 0.4593 99.0029 2444.5029 25487 749 344
13000.0000 0.4621 101.5979 2551.7971 29711 818 378
14000.0000 0.4701 103.7043 2590.9724 34256 885 416
15000.0000 0.4728 104.8650 2691.3248 38352 956 452
16000.0000 0.4834 105.8747 2767.5162 43128 1024 495
17000.0000 0.4853 108.7679 2826.7677 48220 1092 530
18000.0000 0.4806 111.8728 2923.4787 52921 1161 558
19000.0000 0.4878 111.7713 2962.0479 57371 1228 599
20000.1000 0.4896 112.9748 2961.6690 62121 1297 635
21000.1000 0.4850 115.5219 2977.8202 66866 1367 663
22000.1000 0.4868 115.7940 3037.2205 71171 1436 699
23000.1000 0.4847 116.9973 3119.5325 75628 1506 730
24000.1000 0.4844 118.8110 3134.9113 80685 1573 762
25000.1000 0.4848 120.0377 3198.9843 85506 1640 795
26000.1000 0.4789 122.3480 3198.6175 90268 1710 819
27000.1000 0.4837 122.2547 3230.1812 95175 1778 860
28000.1000 0.4848 123.4911 3236.6252 100589 1848 896
29000.1000 0.4885 123.4632 3269.2824 105544 1918 937
30000.1000 0.4872 125.3795 3299.2873 111068 1985 967
31000.1000 0.4881 126.3064 3310.9698 116340 2053 1002
32000.1000 0.4885 126.9662 3325.4661 121463 2123 1037
33000.1000 0.4918 127.6345 3339.6548 127356 2192 1078
34000.1000 0.4914 128.7450 3344.2730 132639 2259 1110
35000.1000 0.4925 129.1247 3361.7711 137881 2329 1147
36000.1000 0.4931 130.2863 3358.4958 144097 2401 1184
37000.1000 0.4921 131.7632 3376.5645 148749 2471 1216
38000.1000 0.4974 131.3908 3385.9044 154728 2541 1264
39000.1000 0.4979 133.0639 3416.1212 161357 2609 1299
40000.1000 0.5015 133.4534 3431.0997 167516 2674 1341
41000.1000 0.5018 134.2600 3409.2745 173407 2744 1377
42000.1000 0.5046 134.4982 3448.0047 179450 2812 1419
43000.1000 0.5080 134.3780 3517.2588 185392 2880 1463
44000.1000 0.5080 135.5240 3530.4643 191987 2953 1500
45000.1000 0.5079 136.4141 3544.5915 198337 3024 1536
46000.1000 0.5089 137.1455 3562.3651 204796 3093 1574
47000.1000 0.5106 137.6749 3560.0219 211275 3163 1615
48000.1000 0.5104 138.8091 3602.7557 217962 3233 1650
49000.1000 0.5109 139.3513 3600.2634 224320 3304 1688
50000.1000 0.5113 140.0232 3612.8657 230529 3372 1724
51000.1000 0.5116 140.6401 3622.9401 236591 3438 1759
52000.1000 0.5123 141.1954 3643.9242 242950 3506 1796
53000.1000 0.5140 141.5885 3651.8298 249542 3574 1837
54000.1000 0.5183 141.0651 3675.1065 255854 3643 1888
55000.1000 0.5206 140.8209 3676.3620 261737 3711 1932
56000.1000 0.5202 141.2261 3681.0095 267599 3783 1968
57000.1000 0.5201 141.6602 3692.6732 273511 3853 2004
58000.1000 0.5227 141.5937 3707.3764 279950 3922 2050
59000.1000 0.5194 142.9147 3710.6886 286185 3993 2074
60000.1000 0.5197 143.6471 3712.4135 293009 4062 2111
61000.1000 0.5197 144.1622 3728.9675 299082 4127 2145
62000.1000 0.5193 144.8770 3735.3459 305569 4196 2179
63000.1000 0.5150 146.8675 3730.5546 312496 4264 2196
64000.1000 0.5172 147.1482 3744.8700 319618 4331 2240
65000.1000 0.5167 148.0615 3745.3000 326935 4403 2275
66000.1000 0.5164 148.5892 3740.3547 333473 4473 2310
67000.1000 0.5181 148.9579 3755.7965 340616 4540 2352
68000.1000 0.5175 149.5302 3758.1470 347132 4611 2386
69000.1000 0.5198 149.2534 3767.8219 353221 4677 2431
70000.1000 0.5209 149.5388 3762.3972 360043 4746 2472
71000.1000 0.5205 150.0379 3770.3149 366403 4815 2506
72000.1000 0.5211 150.2113 3773.0911 373025 4886 2546
73000.1000 0.5209 150.5316 3778.6335 379264 4955 2581
74000.1000 0.5225 150.2300 3795.3317 385320 5026 2626
75000.1000 0.5227 150.4942 3799.3843 391531 5095 2663
76000.1000 0.5230 150.9137 3804.2860 398373 5163 2700
77000.1000 0.5245 150.8371 3813.6503 404896 5232 2744
78000.0000 0.5253 151.1555 3805.2122 411960 5302 2785
79000.0000 0.5233 152.2669 3801.9200 418936 5370 2810
80000.0000 0.5223 152.6446 3801.4390 424915 5441 2842
81000.0000 0.5222 152.9931 3802.3036 431575 5511 2878
82000.0000 0.5226 153.2388 3808.0347 438012 5578 2915
83000.0000 0.5235 153.1596 3816.3184 444277 5648 2957
84000.0000 0.5229 153.7561 3827.8084 451160 5716 2989
85000.0000 0.5237 153.8386 3840.9591 457596 5784 3029
86000.0000 0.5243 153.7984 3844.5780 463684 5855 3070
86400.0000 0.5243 153.9822 3841.0128 466484 5882 3084
