# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
73500.0	0	ORQLCI_NoEnergyCtx	572.36	0.0000	DEAD
74160.0	4	ORQLCI_NoEnergyCtx	572.29	0.0000	DEAD
74160.0	39	ORQLCI_NoEnergyCtx	571.09	0.0000	DEAD
74880.0	8	ORQLCI_NoEnergyCtx	571.64	0.0000	DEAD
76680.0	25	ORQLCI_NoEnergyCtx	571.98	0.0000	DEAD
77340.0	23	ORQLCI_NoEnergyCtx	571.95	0.0000	DEAD
78480.0	29	ORQLCI_NoEnergyCtx	571.91	0.0000	DEAD
80400.0	24	ORQLCI_NoEnergyCtx	571.93	0.0000	DEAD
81840.0	21	ORQLCI_NoEnergyCtx	571.48	0.0000	DEAD
82080.0	5	ORQLCI_NoEnergyCtx	572.34	0.0000	DEAD
84360.0	35	ORQLCI_NoEnergyCtx	571.73	0.0000	DEAD
88680.0	28	ORQLCI_NoEnergyCtx	571.86	0.0000	DEAD
91920.0	14	ORQLCI_NoEnergyCtx	571.61	0.0000	DEAD
111960.0	38	ORQLCI_NoEnergyCtx	571.75	0.0000	DEAD
118200.0	1	ORQLCI_NoEnergyCtx	572.41	0.0000	DEAD
135840.0	9	ORQLCI_NoEnergyCtx	571.70	0.0000	DEAD
138960.0	36	ORQLCI_NoEnergyCtx	571.72	0.0000	DEAD
151920.0	17	ORQLCI_NoEnergyCtx	571.55	0.0000	DEAD
161220.0	22	ORQLCI_NoEnergyCtx	571.46	0.0000	DEAD
169320.0	18	ORQLCI_NoEnergyCtx	571.54	0.0000	DEAD
173280.0	2	ORQLCI_NoEnergyCtx	572.40	0.0000	DEAD
175800.0	31	ORQLCI_NoEnergyCtx	571.81	0.0000	DEAD
177180.0	26	ORQLCI_NoEnergyCtx	571.97	0.0000	DEAD
178620.0	19	ORQLCI_NoEnergyCtx	571.45	0.0000	DEAD
179940.0	34	ORQLCI_NoEnergyCtx	571.82	0.0000	DEAD
184020.0	32	ORQLCI_NoEnergyCtx	571.79	0.0000	DEAD
187200.0	7	ORQLCI_NoEnergyCtx	571.66	0.0000	DEAD
198720.0	12	ORQLCI_NoEnergyCtx	571.57	0.0000	DEAD
235800.0	20	ORQLCI_NoEnergyCtx	571.43	0.0000	DEAD
244920.0	13	ORQLCI_NoEnergyCtx	571.63	0.0000	DEAD
245160.0	40	ORQLCI_NoEnergyCtx	571.07	0.0000	DEAD
245640.0	3	ORQLCI_NoEnergyCtx	572.31	0.0000	DEAD
246000.0	15	ORQLCI_NoEnergyCtx	571.52	0.0000	DEAD
246120.0	6	ORQLCI_NoEnergyCtx	572.32	0.0000	DEAD
246480.0	16	ORQLCI_NoEnergyCtx	571.50	0.0000	DEAD
246960.0	27	ORQLCI_NoEnergyCtx	571.88	0.0000	DEAD
257400.0	10	ORQLCI_NoEnergyCtx	571.68	0.0000	DEAD
257940.0	33	ORQLCI_NoEnergyCtx	571.84	0.0000	DEAD
258900.0	11	ORQLCI_NoEnergyCtx	571.59	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 39
