# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
9285.1	94	Epidemic	1275.33	0.0000	DEAD
9345.1	75	Epidemic	1275.03	0.0000	DEAD
9705.1	194	Epidemic	1273.54	0.0000	DEAD
10425.1	66	Epidemic	1271.25	0.0000	DEAD
10545.1	100	Epidemic	1275.16	0.0000	DEAD
10725.1	84	Epidemic	1274.87	0.0000	DEAD
10725.1	95	Epidemic	1275.25	0.0000	DEAD
10905.1	121	Epidemic	1274.85	0.0000	DEAD
11085.1	101	Epidemic	1275.21	0.0000	DEAD
11085.1	112	Epidemic	1274.37	0.0000	DEAD
11145.1	114	Epidemic	1274.40	0.0000	DEAD
11205.1	88	Epidemic	1275.37	0.0000	DEAD
11205.1	110	Epidemic	1274.47	0.0000	DEAD
11265.1	92	Epidemic	1275.30	0.0000	DEAD
11265.1	119	Epidemic	1274.82	0.0000	DEAD
11325.1	71	Epidemic	1275.10	0.0000	DEAD
11325.1	198	Epidemic	1273.47	0.0000	DEAD
11625.1	126	Epidemic	1274.76	0.0000	DEAD
11865.1	97	Epidemic	1275.28	0.0000	DEAD
11925.1	98	Epidemic	1275.26	0.0000	DEAD
11985.1	89	Epidemic	1275.42	0.0000	DEAD
11985.1	102	Epidemic	1275.19	0.0000	DEAD
11985.1	109	Epidemic	1274.49	0.0000	DEAD
11985.1	113	Epidemic	1274.42	0.0000	DEAD
11985.1	127	Epidemic	1274.67	0.0000	DEAD
12045.1	104	Epidemic	1274.51	0.0000	DEAD
12045.1	111	Epidemic	1274.39	0.0000	DEAD
12165.1	81	Epidemic	1274.99	0.0000	DEAD
12225.1	70	Epidemic	1271.18	0.0000	DEAD
12285.1	123	Epidemic	1274.74	0.0000	DEAD
12345.1	91	Epidemic	1275.32	0.0000	DEAD
12345.1	99	Epidemic	1275.17	0.0000	DEAD
12345.1	103	Epidemic	1274.53	0.0000	DEAD
12345.1	115	Epidemic	1274.31	0.0000	DEAD
12465.1	107	Epidemic	1274.46	0.0000	DEAD
12585.1	86	Epidemic	1274.90	0.0000	DEAD
12645.1	65	Epidemic	1271.27	0.0000	DEAD
12645.1	90	Epidemic	1275.41	0.0000	DEAD
12765.1	76	Epidemic	1275.01	0.0000	DEAD
12765.1	79	Epidemic	1274.96	0.0000	DEAD
12765.1	83	Epidemic	1274.89	0.0000	DEAD
12825.1	93	Epidemic	1275.35	0.0000	DEAD
12825.1	106	Epidemic	1274.55	0.0000	DEAD
12825.1	199	Epidemic	1277.40	0.0000	DEAD
12945.1	69	Epidemic	1271.20	0.0000	DEAD
13065.1	122	Epidemic	1274.83	0.0000	DEAD
