# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
9705.1	194	ORQLCI_Expert	1273.54	0.0000	DEAD
10845.1	75	ORQLCI_Expert	1275.03	0.0000	DEAD
10965.1	94	ORQLCI_Expert	1275.33	0.0000	DEAD
11265.1	199	ORQLCI_Expert	1277.40	0.0000	DEAD
11385.1	114	ORQLCI_Expert	1274.40	0.0000	DEAD
11385.1	121	ORQLCI_Expert	1274.85	0.0000	DEAD
11505.1	92	ORQLCI_Expert	1275.30	0.0000	DEAD
11565.1	119	ORQLCI_Expert	1274.82	0.0000	DEAD
11745.1	91	ORQLCI_Expert	1275.32	0.0000	DEAD
11745.1	126	ORQLCI_Expert	1274.76	0.0000	DEAD
11805.1	103	ORQLCI_Expert	1274.53	0.0000	DEAD
11925.1	100	ORQLCI_Expert	1275.16	0.0000	DEAD
12045.1	102	ORQLCI_Expert	1275.19	0.0000	DEAD
12225.1	66	ORQLCI_Expert	1271.25	0.0000	DEAD
12405.1	95	ORQLCI_Expert	1275.25	0.0000	DEAD
12465.1	123	ORQLCI_Expert	1274.74	0.0000	DEAD
12525.1	101	ORQLCI_Expert	1275.21	0.0000	DEAD
12585.1	111	ORQLCI_Expert	1274.39	0.0000	DEAD
12645.1	98	ORQLCI_Expert	1275.26	0.0000	DEAD
12885.1	93	ORQLCI_Expert	1275.35	0.0000	DEAD
13245.1	110	ORQLCI_Expert	1274.47	0.0000	DEAD
14685.1	99	ORQLCI_Expert	1275.17	0.0000	DEAD
18047.9	115	ORQLCI_Expert	1274.31	0.0000	DEAD
19129.7	68	ORQLCI_Expert	1271.14	0.0000	DEAD
19189.8	69	ORQLCI_Expert	1271.20	0.0000	DEAD
26401.8	113	ORQLCI_Expert	1274.42	0.0000	DEAD
27964.4	64	ORQLCI_Expert	1271.21	0.0000	DEAD
29166.4	76	ORQLCI_Expert	1275.01	0.0000	DEAD
30128.0	112	ORQLCI_Expert	1274.37	0.0000	DEAD
31089.6	65	ORQLCI_Expert	1271.27	0.0000	DEAD
31089.6	106	ORQLCI_Expert	1274.55	0.0000	DEAD
31570.4	104	ORQLCI_Expert	1274.51	0.0000	DEAD
32772.4	97	ORQLCI_Expert	1275.28	0.0000	DEAD
32892.6	88	ORQLCI_Expert	1275.37	0.0000	DEAD
34274.9	81	ORQLCI_Expert	1274.99	0.0000	DEAD
36318.3	127	ORQLCI_Expert	1274.67	0.0000	DEAD
36438.5	107	ORQLCI_Expert	1274.46	0.0000	DEAD
36558.7	83	ORQLCI_Expert	1274.89	0.0000	DEAD
36618.8	78	ORQLCI_Expert	1275.05	0.0000	DEAD
36678.9	122	ORQLCI_Expert	1274.83	0.0000	DEAD
36799.1	90	ORQLCI_Expert	1275.41	0.0000	DEAD
37039.5	79	ORQLCI_Expert	1274.96	0.0000	DEAD
37039.5	80	ORQLCI_Expert	1274.94	0.0000	DEAD
37159.7	120	ORQLCI_Expert	1274.80	0.0000	DEAD
37460.2	72	ORQLCI_Expert	1275.08	0.0000	DEAD
37460.2	74	ORQLCI_Expert	1275.12	0.0000	DEAD
37700.6	117	ORQLCI_Expert	1274.35	0.0000	DEAD
37760.7	196	ORQLCI_Expert	1273.44	0.0000	DEAD
37941.0	73	ORQLCI_Expert	1275.14	0.0000	DEAD
38301.6	89	ORQLCI_Expert	1275.42	0.0000	DEAD
38301.6	96	ORQLCI_Expert	1275.23	0.0000	DEAD
38361.7	116	ORQLCI_Expert	1274.30	0.0000	DEAD
38542.0	105	ORQLCI_Expert	1274.56	0.0000	DEAD
38602.1	124	ORQLCI_Expert	1274.73	0.0000	DEAD
38662.2	197	ORQLCI_Expert	1273.49	0.0000	DEAD
38722.3	84	ORQLCI_Expert	1274.87	0.0000	DEAD
38782.4	85	ORQLCI_Expert	1274.92	0.0000	DEAD
38782.4	118	ORQLCI_Expert	1274.33	0.0000	DEAD
38782.4	198	ORQLCI_Expert	1273.47	0.0000	DEAD
38842.5	70	ORQLCI_Expert	1271.18	0.0000	DEAD
38962.7	109	ORQLCI_Expert	1274.49	0.0000	DEAD
39082.9	77	ORQLCI_Expert	1275.07	0.0000	DEAD
39203.1	86	ORQLCI_Expert	1274.90	0.0000	DEAD
39744.0	71	ORQLCI_Expert	1275.10	0.0000	DEAD
39924.3	87	ORQLCI_Expert	1275.39	0.0000	DEAD
39924.3	195	ORQLCI_Expert	1273.45	0.0000	DEAD
40044.5	67	ORQLCI_Expert	1271.16	0.0000	DEAD
40284.9	82	ORQLCI_Expert	1274.98	0.0000	DEAD
41066.2	125	ORQLCI_Expert	1274.78	0.0000	DEAD
41126.3	30	ORQLCI_Expert	1271.89	0.0000	DEAD
42508.6	142	ORQLCI_Expert	1273.90	0.0000	DEAD
42628.8	42	ORQLCI_Expert	1271.11	0.0000	DEAD
42749.0	150	ORQLCI_Expert	1273.76	0.0000	DEAD
42809.1	108	ORQLCI_Expert	1274.44	0.0000	DEAD
42869.2	153	ORQLCI_Expert	1274.28	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 75
