# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
12945.1	76	Prophet	1275.01	0.0000	DEAD
13005.1	104	Prophet	1274.51	0.0000	DEAD
13125.1	110	Prophet	1274.47	0.0000	DEAD
13245.1	56	Prophet	1271.36	0.0000	DEAD
13365.1	84	Prophet	1274.87	0.0000	DEAD
13425.1	81	Prophet	1274.99	0.0000	DEAD
13485.1	93	Prophet	1275.35	0.0000	DEAD
13545.1	197	Prophet	1273.49	0.0000	DEAD
13605.1	64	Prophet	1271.21	0.0000	DEAD
13605.1	89	Prophet	1275.42	0.0000	DEAD
13605.1	101	Prophet	1275.21	0.0000	DEAD
13665.1	85	Prophet	1274.92	0.0000	DEAD
13665.1	98	Prophet	1275.26	0.0000	DEAD
13665.1	111	Prophet	1274.39	0.0000	DEAD
13665.1	181	Prophet	1273.20	0.0000	DEAD
13725.1	103	Prophet	1274.53	0.0000	DEAD
13725.1	123	Prophet	1274.74	0.0000	DEAD
13785.1	75	Prophet	1275.03	0.0000	DEAD
13785.1	196	Prophet	1273.44	0.0000	DEAD
13845.1	68	Prophet	1271.14	0.0000	DEAD
13845.1	113	Prophet	1274.42	0.0000	DEAD
13905.1	73	Prophet	1275.14	0.0000	DEAD
13905.1	77	Prophet	1275.07	0.0000	DEAD
13905.1	82	Prophet	1274.98	0.0000	DEAD
13905.1	86	Prophet	1274.90	0.0000	DEAD
13905.1	116	Prophet	1274.30	0.0000	DEAD
13905.1	127	Prophet	1274.67	0.0000	DEAD
13965.1	71	Prophet	1275.10	0.0000	DEAD
13965.1	74	Prophet	1275.12	0.0000	DEAD
13965.1	95	Prophet	1275.25	0.0000	DEAD
13965.1	106	Prophet	1274.55	0.0000	DEAD
13965.1	121	Prophet	1274.85	0.0000	DEAD
14085.1	65	Prophet	1271.27	0.0000	DEAD
14085.1	100	Prophet	1275.16	0.0000	DEAD
14085.1	125	Prophet	1274.78	0.0000	DEAD
14085.1	126	Prophet	1274.76	0.0000	DEAD
14145.1	69	Prophet	1271.20	0.0000	DEAD
14145.1	107	Prophet	1274.46	0.0000	DEAD
14145.1	185	Prophet	1273.70	0.0000	DEAD
14205.1	97	Prophet	1275.28	0.0000	DEAD
14205.1	109	Prophet	1274.49	0.0000	DEAD
14205.1	119	Prophet	1274.82	0.0000	DEAD
14265.1	80	Prophet	1274.94	0.0000	DEAD
14265.1	88	Prophet	1275.37	0.0000	DEAD
14325.1	79	Prophet	1274.96	0.0000	DEAD
14325.1	99	Prophet	1275.17	0.0000	DEAD
14325.1	179	Prophet	1273.17	0.0000	DEAD
14325.1	194	Prophet	1273.54	0.0000	DEAD
14385.1	151	Prophet	1274.24	0.0000	DEAD
14445.1	120	Prophet	1274.80	0.0000	DEAD
14445.1	195	Prophet	1273.45	0.0000	DEAD
14505.1	4	Prophet	1272.29	0.0000	DEAD
14505.1	32	Prophet	1271.79	0.0000	DEAD
14505.1	46	Prophet	1271.03	0.0000	DEAD
14505.1	105	Prophet	1274.56	0.0000	DEAD
14505.1	189	Prophet	1273.63	0.0000	DEAD
14505.1	198	Prophet	1273.47	0.0000	DEAD
14565.1	70	Prophet	1271.18	0.0000	DEAD
14565.1	78	Prophet	1275.05	0.0000	DEAD
14565.1	90	Prophet	1275.41	0.0000	DEAD
14625.1	112	Prophet	1274.37	0.0000	DEAD
14685.1	25	Prophet	1271.98	0.0000	DEAD
14685.1	94	Prophet	1275.33	0.0000	DEAD
14685.1	114	Prophet	1274.40	0.0000	DEAD
14745.1	108	Prophet	1274.44	0.0000	DEAD
14745.1	140	Prophet	1273.87	0.0000	DEAD
14745.1	190	Prophet	1273.61	0.0000	DEAD
14745.1	199	Prophet	1277.40	0.0000	DEAD
14805.1	66	Prophet	1271.25	0.0000	DEAD
14805.1	115	Prophet	1274.31	0.0000	DEAD
14865.1	102	Prophet	1275.19	0.0000	DEAD
14925.1	9	Prophet	1271.70	0.0000	DEAD
14925.1	72	Prophet	1275.08	0.0000	DEAD
14925.1	122	Prophet	1274.83	0.0000	DEAD
14985.1	60	Prophet	1271.29	0.0000	DEAD
14985.1	161	Prophet	1274.13	0.0000	DEAD
15045.1	92	Prophet	1275.30	0.0000	DEAD
15105.1	139	Prophet	1273.88	0.0000	DEAD
15105.1	183	Prophet	1273.67	0.0000	DEAD
15165.1	83	Prophet	1274.89	0.0000	DEAD
15225.1	57	Prophet	1271.41	0.0000	DEAD
15225.1	117	Prophet	1274.35	0.0000	DEAD
15285.1	124	Prophet	1274.73	0.0000	DEAD
15285.1	142	Prophet	1273.90	0.0000	DEAD
15345.1	15	Prophet	1271.52	0.0000	DEAD
15345.1	170	Prophet	1273.40	0.0000	DEAD
15405.1	20	Prophet	1271.43	0.0000	DEAD
15405.1	33	Prophet	1271.84	0.0000	DEAD
15465.1	49	Prophet	1270.98	0.0000	DEAD
15465.1	175	Prophet	1273.24	0.0000	DEAD
15525.1	118	Prophet	1274.33	0.0000	DEAD
15525.1	134	Prophet	1274.62	0.0000	DEAD
15585.1	43	Prophet	1271.02	0.0000	DEAD
15585.1	138	Prophet	1273.97	0.0000	DEAD
15645.1	67	Prophet	1271.16	0.0000	DEAD
15645.1	91	Prophet	1275.32	0.0000	DEAD
15645.1	150	Prophet	1273.76	0.0000	DEAD
15705.1	87	Prophet	1275.39	0.0000	DEAD
15705.1	96	Prophet	1275.23	0.0000	DEAD
15765.1	11	Prophet	1271.59	0.0000	DEAD
15765.1	133	Prophet	1274.64	0.0000	DEAD
15825.1	12	Prophet	1271.57	0.0000	DEAD
15885.1	1	Prophet	1272.41	0.0000	DEAD
15945.1	35	Prophet	1271.73	0.0000	DEAD
16065.1	156	Prophet	1274.15	0.0000	DEAD
16125.1	0	Prophet	1272.36	0.0000	DEAD
16125.1	42	Prophet	1271.11	0.0000	DEAD
16125.1	47	Prophet	1270.95	0.0000	DEAD
16125.1	172	Prophet	1273.29	0.0000	DEAD
16245.1	40	Prophet	1271.07	0.0000	DEAD
16245.1	192	Prophet	1273.51	0.0000	DEAD
16305.1	147	Prophet	1273.74	0.0000	DEAD
16425.2	38	Prophet	1271.75	0.0000	DEAD
16425.2	162	Prophet	1274.12	0.0000	DEAD
16485.3	191	Prophet	1273.53	0.0000	DEAD
16605.5	31	Prophet	1271.81	0.0000	DEAD
16605.5	173	Prophet	1273.35	0.0000	DEAD
16725.7	143	Prophet	1273.81	0.0000	DEAD
16725.7	158	Prophet	1274.19	0.0000	DEAD
16785.8	163	Prophet	1274.03	0.0000	DEAD
16785.8	168	Prophet	1273.36	0.0000	DEAD
16785.8	174	Prophet	1273.33	0.0000	DEAD
16845.9	23	Prophet	1271.95	0.0000	DEAD
16845.9	26	Prophet	1271.97	0.0000	DEAD
16845.9	61	Prophet	1271.34	0.0000	DEAD
16966.1	22	Prophet	1271.46	0.0000	DEAD
17086.3	36	Prophet	1271.72	0.0000	DEAD
17206.5	153	Prophet	1274.28	0.0000	DEAD
17266.6	18	Prophet	1271.54	0.0000	DEAD
17266.6	132	Prophet	1274.58	0.0000	DEAD
17326.7	29	Prophet	1271.91	0.0000	DEAD
17386.8	141	Prophet	1273.92	0.0000	DEAD
17386.8	145	Prophet	1273.85	0.0000	DEAD
17507.0	21	Prophet	1271.48	0.0000	DEAD
17567.1	48	Prophet	1270.93	0.0000	DEAD
17567.1	169	Prophet	1273.42	0.0000	DEAD
17627.2	129	Prophet	1274.71	0.0000	DEAD
17627.2	149	Prophet	1273.78	0.0000	DEAD
17687.3	19	Prophet	1271.45	0.0000	DEAD
17687.3	171	Prophet	1273.31	0.0000	DEAD
17807.5	17	Prophet	1271.55	0.0000	DEAD
17927.7	58	Prophet	1271.39	0.0000	DEAD
17987.8	53	Prophet	1270.91	0.0000	DEAD
18108.0	8	Prophet	1271.64	0.0000	DEAD
18108.0	34	Prophet	1271.82	0.0000	DEAD
18408.5	27	Prophet	1271.88	0.0000	DEAD
18408.5	148	Prophet	1273.72	0.0000	DEAD
18468.6	167	Prophet	1273.38	0.0000	DEAD
18528.7	176	Prophet	1273.22	0.0000	DEAD
18588.8	54	Prophet	1270.89	0.0000	DEAD
18829.2	16	Prophet	1271.50	0.0000	DEAD
18949.4	159	Prophet	1274.10	0.0000	DEAD
19129.7	164	Prophet	1274.01	0.0000	DEAD
19189.8	3	Prophet	1272.31	0.0000	DEAD
19249.9	44	Prophet	1271.00	0.0000	DEAD
19610.5	136	Prophet	1273.94	0.0000	DEAD
19670.6	5	Prophet	1272.34	0.0000	DEAD
19670.6	30	Prophet	1271.89	0.0000	DEAD
19850.9	37	Prophet	1271.77	0.0000	DEAD
19850.9	186	Prophet	1273.69	0.0000	DEAD
19911.0	188	Prophet	1273.58	0.0000	DEAD
20031.2	51	Prophet	1270.87	0.0000	DEAD
20031.2	152	Prophet	1274.22	0.0000	DEAD
20091.3	135	Prophet	1273.96	0.0000	DEAD
20211.5	155	Prophet	1274.17	0.0000	DEAD
20331.7	59	Prophet	1271.30	0.0000	DEAD
20331.7	193	Prophet	1273.56	0.0000	DEAD
20391.8	41	Prophet	1271.12	0.0000	DEAD
20451.9	63	Prophet	1271.23	0.0000	DEAD
20752.4	6	Prophet	1272.32	0.0000	DEAD
20752.4	128	Prophet	1274.65	0.0000	DEAD
20812.5	144	Prophet	1273.79	0.0000	DEAD
20812.5	165	Prophet	1274.06	0.0000	DEAD
20992.8	13	Prophet	1271.63	0.0000	DEAD
22134.7	28	Prophet	1271.86	0.0000	DEAD
22555.4	24	Prophet	1271.93	0.0000	DEAD
23276.6	178	Prophet	1273.26	0.0000	DEAD
23997.8	131	Prophet	1274.60	0.0000	DEAD
24057.9	7	Prophet	1271.66	0.0000	DEAD
24358.4	2	Prophet	1272.40	0.0000	DEAD
24839.2	157	Prophet	1274.21	0.0000	DEAD
25440.2	10	Prophet	1271.68	0.0000	DEAD
25680.6	182	Prophet	1273.18	0.0000	DEAD
26461.9	39	Prophet	1271.09	0.0000	DEAD
27363.4	130	Prophet	1274.69	0.0000	DEAD
27844.2	50	Prophet	1270.96	0.0000	DEAD
27844.2	146	Prophet	1273.83	0.0000	DEAD
28084.6	62	Prophet	1271.32	0.0000	DEAD
28084.6	154	Prophet	1274.26	0.0000	DEAD
28084.6	184	Prophet	1273.65	0.0000	DEAD
28264.9	166	Prophet	1274.04	0.0000	DEAD
29647.2	137	Prophet	1273.99	0.0000	DEAD
29647.2	187	Prophet	1273.60	0.0000	DEAD
35837.5	180	Prophet	1273.15	0.0000	DEAD
38301.6	52	Prophet	1270.86	0.0000	DEAD
38722.3	55	Prophet	1271.38	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 196
