# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
4125.1	197	ORQLCI_NoEnergyCtx	873.49	0.0000	DEAD
4125.1	199	ORQLCI_NoEnergyCtx	877.40	0.0000	DEAD
4545.1	196	ORQLCI_NoEnergyCtx	873.44	0.0000	DEAD
6045.1	194	ORQLCI_NoEnergyCtx	873.54	0.0000	DEAD
9825.1	198	ORQLCI_NoEnergyCtx	873.47	0.0000	DEAD
19911.0	127	ORQLCI_NoEnergyCtx	874.67	0.0000	DEAD
23937.7	111	ORQLCI_NoEnergyCtx	874.39	0.0000	DEAD
27183.1	110	ORQLCI_NoEnergyCtx	874.47	0.0000	DEAD
28986.1	64	ORQLCI_NoEnergyCtx	871.21	0.0000	DEAD
34635.5	119	ORQLCI_NoEnergyCtx	874.82	0.0000	DEAD
34936.0	89	ORQLCI_NoEnergyCtx	875.42	0.0000	DEAD
35176.4	116	ORQLCI_NoEnergyCtx	874.30	0.0000	DEAD
35356.7	103	ORQLCI_NoEnergyCtx	874.53	0.0000	DEAD
36258.2	94	ORQLCI_NoEnergyCtx	875.33	0.0000	DEAD
36378.4	104	ORQLCI_NoEnergyCtx	874.51	0.0000	DEAD
36438.5	100	ORQLCI_NoEnergyCtx	875.16	0.0000	DEAD
36438.5	195	ORQLCI_NoEnergyCtx	873.45	0.0000	DEAD
36498.6	120	ORQLCI_NoEnergyCtx	874.80	0.0000	DEAD
36558.7	114	ORQLCI_NoEnergyCtx	874.40	0.0000	DEAD
36558.7	125	ORQLCI_NoEnergyCtx	874.78	0.0000	DEAD
36618.8	79	ORQLCI_NoEnergyCtx	874.96	0.0000	DEAD
36739.0	65	ORQLCI_NoEnergyCtx	871.27	0.0000	DEAD
36739.0	87	ORQLCI_NoEnergyCtx	875.39	0.0000	DEAD
36799.1	93	ORQLCI_NoEnergyCtx	875.35	0.0000	DEAD
36799.1	126	ORQLCI_NoEnergyCtx	874.76	0.0000	DEAD
36859.2	69	ORQLCI_NoEnergyCtx	871.20	0.0000	DEAD
36859.2	80	ORQLCI_NoEnergyCtx	874.94	0.0000	DEAD
36919.3	71	ORQLCI_NoEnergyCtx	875.10	0.0000	DEAD
36919.3	76	ORQLCI_NoEnergyCtx	875.01	0.0000	DEAD
36919.3	82	ORQLCI_NoEnergyCtx	874.98	0.0000	DEAD
36979.4	105	ORQLCI_NoEnergyCtx	874.56	0.0000	DEAD
37099.6	107	ORQLCI_NoEnergyCtx	874.46	0.0000	DEAD
37099.6	193	ORQLCI_NoEnergyCtx	873.56	0.0000	DEAD
37219.8	92	ORQLCI_NoEnergyCtx	875.30	0.0000	DEAD
37279.9	77	ORQLCI_NoEnergyCtx	875.07	0.0000	DEAD
37279.9	83	ORQLCI_NoEnergyCtx	874.89	0.0000	DEAD
37340.0	117	ORQLCI_NoEnergyCtx	874.35	0.0000	DEAD
37400.1	68	ORQLCI_NoEnergyCtx	871.14	0.0000	DEAD
37400.1	86	ORQLCI_NoEnergyCtx	874.90	0.0000	DEAD
37520.3	78	ORQLCI_NoEnergyCtx	875.05	0.0000	DEAD
37580.4	90	ORQLCI_NoEnergyCtx	875.41	0.0000	DEAD
37640.5	75	ORQLCI_NoEnergyCtx	875.03	0.0000	DEAD
37760.7	112	ORQLCI_NoEnergyCtx	874.37	0.0000	DEAD
37880.9	95	ORQLCI_NoEnergyCtx	875.25	0.0000	DEAD
38301.6	36	ORQLCI_NoEnergyCtx	871.72	0.0000	DEAD
38361.7	67	ORQLCI_NoEnergyCtx	871.16	0.0000	DEAD
38902.6	97	ORQLCI_NoEnergyCtx	875.28	0.0000	DEAD
39143.0	7	ORQLCI_NoEnergyCtx	871.66	0.0000	DEAD
39143.0	121	ORQLCI_NoEnergyCtx	874.85	0.0000	DEAD
39323.3	101	ORQLCI_NoEnergyCtx	875.21	0.0000	DEAD
39563.7	122	ORQLCI_NoEnergyCtx	874.83	0.0000	DEAD
39623.8	81	ORQLCI_NoEnergyCtx	874.99	0.0000	DEAD
39683.9	85	ORQLCI_NoEnergyCtx	874.92	0.0000	DEAD
40044.5	118	ORQLCI_NoEnergyCtx	874.33	0.0000	DEAD
40345.0	66	ORQLCI_NoEnergyCtx	871.25	0.0000	DEAD
40345.0	91	ORQLCI_NoEnergyCtx	875.32	0.0000	DEAD
41066.2	102	ORQLCI_NoEnergyCtx	875.19	0.0000	DEAD
41366.7	115	ORQLCI_NoEnergyCtx	874.31	0.0000	DEAD
41486.9	62	ORQLCI_NoEnergyCtx	871.32	0.0000	DEAD
41967.7	70	ORQLCI_NoEnergyCtx	871.18	0.0000	DEAD
42087.9	74	ORQLCI_NoEnergyCtx	875.12	0.0000	DEAD
42087.9	88	ORQLCI_NoEnergyCtx	875.37	0.0000	DEAD
42568.7	84	ORQLCI_NoEnergyCtx	874.87	0.0000	DEAD
42749.0	42	ORQLCI_NoEnergyCtx	871.11	0.0000	DEAD
42989.4	108	ORQLCI_NoEnergyCtx	874.44	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 65
