# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
6885.1	75	Epidemic	975.03	0.0000	DEAD
7305.1	94	Epidemic	975.33	0.0000	DEAD
7425.1	194	Epidemic	973.54	0.0000	DEAD
7485.1	95	Epidemic	975.25	0.0000	DEAD
7485.1	114	Epidemic	974.40	0.0000	DEAD
7605.1	100	Epidemic	975.16	0.0000	DEAD
7905.1	101	Epidemic	975.21	0.0000	DEAD
8085.1	65	Epidemic	971.27	0.0000	DEAD
8145.1	88	Epidemic	975.37	0.0000	DEAD
8205.1	92	Epidemic	975.30	0.0000	DEAD
8325.1	111	Epidemic	974.39	0.0000	DEAD
8385.1	66	Epidemic	971.25	0.0000	DEAD
8805.1	98	Epidemic	975.26	0.0000	DEAD
8865.1	84	Epidemic	974.87	0.0000	DEAD
9105.1	70	Epidemic	971.18	0.0000	DEAD
9105.1	78	Epidemic	975.05	0.0000	DEAD
9165.1	89	Epidemic	975.42	0.0000	DEAD
9165.1	127	Epidemic	974.67	0.0000	DEAD
9225.1	109	Epidemic	974.49	0.0000	DEAD
9285.1	91	Epidemic	975.32	0.0000	DEAD
9345.1	113	Epidemic	974.42	0.0000	DEAD
9345.1	115	Epidemic	974.31	0.0000	DEAD
9405.1	104	Epidemic	974.51	0.0000	DEAD
9405.1	112	Epidemic	974.37	0.0000	DEAD
9525.1	81	Epidemic	974.99	0.0000	DEAD
9525.1	90	Epidemic	975.41	0.0000	DEAD
9525.1	99	Epidemic	975.17	0.0000	DEAD
9525.1	121	Epidemic	974.85	0.0000	DEAD
9525.1	198	Epidemic	973.47	0.0000	DEAD
9585.1	71	Epidemic	975.10	0.0000	DEAD
9585.1	107	Epidemic	974.46	0.0000	DEAD
9585.1	110	Epidemic	974.47	0.0000	DEAD
9585.1	199	Epidemic	977.40	0.0000	DEAD
9645.1	103	Epidemic	974.53	0.0000	DEAD
9645.1	106	Epidemic	974.55	0.0000	DEAD
9645.1	119	Epidemic	974.82	0.0000	DEAD
9765.1	64	Epidemic	971.21	0.0000	DEAD
9825.1	196	Epidemic	973.44	0.0000	DEAD
9885.1	69	Epidemic	971.20	0.0000	DEAD
9885.1	93	Epidemic	975.35	0.0000	DEAD
9945.1	126	Epidemic	974.76	0.0000	DEAD
10005.1	116	Epidemic	974.30	0.0000	DEAD
10125.1	76	Epidemic	975.01	0.0000	DEAD
10185.1	83	Epidemic	974.89	0.0000	DEAD
10185.1	102	Epidemic	975.19	0.0000	DEAD
10245.1	97	Epidemic	975.28	0.0000	DEAD
10365.1	68	Epidemic	971.14	0.0000	DEAD
10365.1	79	Epidemic	974.96	0.0000	DEAD
10365.1	80	Epidemic	974.94	0.0000	DEAD
10425.1	82	Epidemic	974.98	0.0000	DEAD
10845.1	108	Epidemic	974.44	0.0000	DEAD
10845.1	123	Epidemic	974.74	0.0000	DEAD
11025.1	120	Epidemic	974.80	0.0000	DEAD
11025.1	195	Epidemic	973.45	0.0000	DEAD
11085.1	67	Epidemic	971.16	0.0000	DEAD
11145.1	117	Epidemic	974.35	0.0000	DEAD
11265.1	86	Epidemic	974.90	0.0000	DEAD
11325.1	122	Epidemic	974.83	0.0000	DEAD
11385.1	105	Epidemic	974.56	0.0000	DEAD
