# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
7725.1	194	ORQLCI_Expert	973.54	0.0000	DEAD
7845.1	75	ORQLCI_Expert	975.03	0.0000	DEAD
8085.1	92	ORQLCI_Expert	975.30	0.0000	DEAD
8205.1	94	ORQLCI_Expert	975.33	0.0000	DEAD
8385.1	101	ORQLCI_Expert	975.21	0.0000	DEAD
8685.1	126	ORQLCI_Expert	974.76	0.0000	DEAD
8805.1	78	ORQLCI_Expert	975.05	0.0000	DEAD
9045.1	98	ORQLCI_Expert	975.26	0.0000	DEAD
9165.1	100	ORQLCI_Expert	975.16	0.0000	DEAD
9285.1	114	ORQLCI_Expert	974.40	0.0000	DEAD
9285.1	199	ORQLCI_Expert	977.40	0.0000	DEAD
9345.1	95	ORQLCI_Expert	975.25	0.0000	DEAD
9345.1	119	ORQLCI_Expert	974.82	0.0000	DEAD
9405.1	121	ORQLCI_Expert	974.85	0.0000	DEAD
9465.1	66	ORQLCI_Expert	971.25	0.0000	DEAD
9525.1	103	ORQLCI_Expert	974.53	0.0000	DEAD
9585.1	112	ORQLCI_Expert	974.37	0.0000	DEAD
9705.1	99	ORQLCI_Expert	975.17	0.0000	DEAD
9885.1	65	ORQLCI_Expert	971.27	0.0000	DEAD
9885.1	69	ORQLCI_Expert	971.20	0.0000	DEAD
9945.1	81	ORQLCI_Expert	974.99	0.0000	DEAD
9945.1	127	ORQLCI_Expert	974.67	0.0000	DEAD
10005.1	110	ORQLCI_Expert	974.47	0.0000	DEAD
10065.1	196	ORQLCI_Expert	973.44	0.0000	DEAD
10125.1	76	ORQLCI_Expert	975.01	0.0000	DEAD
10185.1	111	ORQLCI_Expert	974.39	0.0000	DEAD
10245.1	91	ORQLCI_Expert	975.32	0.0000	DEAD
10365.1	68	ORQLCI_Expert	971.14	0.0000	DEAD
10365.1	102	ORQLCI_Expert	975.19	0.0000	DEAD
10425.1	64	ORQLCI_Expert	971.21	0.0000	DEAD
10485.1	123	ORQLCI_Expert	974.74	0.0000	DEAD
10605.1	113	ORQLCI_Expert	974.42	0.0000	DEAD
10605.1	115	ORQLCI_Expert	974.31	0.0000	DEAD
10605.1	122	ORQLCI_Expert	974.83	0.0000	DEAD
10665.1	107	ORQLCI_Expert	974.46	0.0000	DEAD
10785.1	106	ORQLCI_Expert	974.55	0.0000	DEAD
10845.1	79	ORQLCI_Expert	974.96	0.0000	DEAD
10905.1	90	ORQLCI_Expert	975.41	0.0000	DEAD
10905.1	104	ORQLCI_Expert	974.51	0.0000	DEAD
10965.1	93	ORQLCI_Expert	975.35	0.0000	DEAD
11145.1	80	ORQLCI_Expert	974.94	0.0000	DEAD
11145.1	83	ORQLCI_Expert	974.89	0.0000	DEAD
11145.1	117	ORQLCI_Expert	974.35	0.0000	DEAD
11505.1	105	ORQLCI_Expert	974.56	0.0000	DEAD
11625.1	96	ORQLCI_Expert	975.23	0.0000	DEAD
11685.1	85	ORQLCI_Expert	974.92	0.0000	DEAD
11685.1	120	ORQLCI_Expert	974.80	0.0000	DEAD
12105.1	74	ORQLCI_Expert	975.12	0.0000	DEAD
12165.1	118	ORQLCI_Expert	974.33	0.0000	DEAD
12285.1	72	ORQLCI_Expert	975.08	0.0000	DEAD
12585.1	77	ORQLCI_Expert	975.07	0.0000	DEAD
