# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
7605.1	194	ORQLCI_NoEnergyCtx	973.54	0.0000	DEAD
7965.1	101	ORQLCI_NoEnergyCtx	975.21	0.0000	DEAD
8025.1	114	ORQLCI_NoEnergyCtx	974.40	0.0000	DEAD
8085.1	75	ORQLCI_NoEnergyCtx	975.03	0.0000	DEAD
8265.1	94	ORQLCI_NoEnergyCtx	975.33	0.0000	DEAD
8445.1	92	ORQLCI_NoEnergyCtx	975.30	0.0000	DEAD
8445.1	111	ORQLCI_NoEnergyCtx	974.39	0.0000	DEAD
8805.1	95	ORQLCI_NoEnergyCtx	975.25	0.0000	DEAD
8865.1	119	ORQLCI_NoEnergyCtx	974.82	0.0000	DEAD
8985.1	98	ORQLCI_NoEnergyCtx	975.26	0.0000	DEAD
8985.1	100	ORQLCI_NoEnergyCtx	975.16	0.0000	DEAD
9105.1	78	ORQLCI_NoEnergyCtx	975.05	0.0000	DEAD
9345.1	199	ORQLCI_NoEnergyCtx	977.40	0.0000	DEAD
9405.1	66	ORQLCI_NoEnergyCtx	971.25	0.0000	DEAD
9525.1	103	ORQLCI_NoEnergyCtx	974.53	0.0000	DEAD
9525.1	121	ORQLCI_NoEnergyCtx	974.85	0.0000	DEAD
9585.1	110	ORQLCI_NoEnergyCtx	974.47	0.0000	DEAD
9765.1	99	ORQLCI_NoEnergyCtx	975.17	0.0000	DEAD
9825.1	76	ORQLCI_NoEnergyCtx	975.01	0.0000	DEAD
9825.1	126	ORQLCI_NoEnergyCtx	974.76	0.0000	DEAD
9885.1	69	ORQLCI_NoEnergyCtx	971.20	0.0000	DEAD
9945.1	65	ORQLCI_NoEnergyCtx	971.27	0.0000	DEAD
10005.1	112	ORQLCI_NoEnergyCtx	974.37	0.0000	DEAD
10005.1	127	ORQLCI_NoEnergyCtx	974.67	0.0000	DEAD
10065.1	64	ORQLCI_NoEnergyCtx	971.21	0.0000	DEAD
10185.1	90	ORQLCI_NoEnergyCtx	975.41	0.0000	DEAD
10245.1	68	ORQLCI_NoEnergyCtx	971.14	0.0000	DEAD
10305.1	81	ORQLCI_NoEnergyCtx	974.99	0.0000	DEAD
10305.1	91	ORQLCI_NoEnergyCtx	975.32	0.0000	DEAD
10305.1	106	ORQLCI_NoEnergyCtx	974.55	0.0000	DEAD
10605.1	107	ORQLCI_NoEnergyCtx	974.46	0.0000	DEAD
10605.1	113	ORQLCI_NoEnergyCtx	974.42	0.0000	DEAD
10665.1	104	ORQLCI_NoEnergyCtx	974.51	0.0000	DEAD
10665.1	115	ORQLCI_NoEnergyCtx	974.31	0.0000	DEAD
