# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
9885.1	56	Prophet	971.36	0.0000	DEAD
10845.1	95	Prophet	975.25	0.0000	DEAD
11025.1	68	Prophet	971.14	0.0000	DEAD
11025.1	98	Prophet	975.26	0.0000	DEAD
11145.1	75	Prophet	975.03	0.0000	DEAD
11325.1	101	Prophet	975.21	0.0000	DEAD
11445.1	113	Prophet	974.42	0.0000	DEAD
11505.1	127	Prophet	974.67	0.0000	DEAD
11565.1	89	Prophet	975.42	0.0000	DEAD
11685.1	120	Prophet	974.80	0.0000	DEAD
11865.1	31	Prophet	971.81	0.0000	DEAD
11865.1	121	Prophet	974.85	0.0000	DEAD
11925.1	81	Prophet	974.99	0.0000	DEAD
11925.1	82	Prophet	974.98	0.0000	DEAD
11925.1	189	Prophet	973.63	0.0000	DEAD
12045.1	64	Prophet	971.21	0.0000	DEAD
12045.1	103	Prophet	974.53	0.0000	DEAD
12045.1	109	Prophet	974.49	0.0000	DEAD
12105.1	65	Prophet	971.27	0.0000	DEAD
12105.1	97	Prophet	975.28	0.0000	DEAD
12165.1	79	Prophet	974.96	0.0000	DEAD
12165.1	123	Prophet	974.74	0.0000	DEAD
12225.1	93	Prophet	975.35	0.0000	DEAD
12225.1	105	Prophet	974.56	0.0000	DEAD
12285.1	84	Prophet	974.87	0.0000	DEAD
12285.1	147	Prophet	973.74	0.0000	DEAD
12285.1	181	Prophet	973.20	0.0000	DEAD
12345.1	73	Prophet	975.14	0.0000	DEAD
12345.1	77	Prophet	975.07	0.0000	DEAD
12345.1	86	Prophet	974.90	0.0000	DEAD
12345.1	104	Prophet	974.51	0.0000	DEAD
12405.1	46	Prophet	971.03	0.0000	DEAD
12405.1	108	Prophet	974.44	0.0000	DEAD
12465.1	76	Prophet	975.01	0.0000	DEAD
12525.1	110	Prophet	974.47	0.0000	DEAD
12585.1	151	Prophet	974.24	0.0000	DEAD
12645.1	92	Prophet	975.30	0.0000	DEAD
12765.1	88	Prophet	975.37	0.0000	DEAD
12765.1	100	Prophet	975.16	0.0000	DEAD
12885.1	115	Prophet	974.31	0.0000	DEAD
13005.1	74	Prophet	975.12	0.0000	DEAD
13005.1	107	Prophet	974.46	0.0000	DEAD
13005.1	111	Prophet	974.39	0.0000	DEAD
13005.1	126	Prophet	974.76	0.0000	DEAD
13125.1	80	Prophet	974.94	0.0000	DEAD
13125.1	125	Prophet	974.78	0.0000	DEAD
13125.1	172	Prophet	973.29	0.0000	DEAD
13125.1	197	Prophet	973.49	0.0000	DEAD
13185.1	106	Prophet	974.55	0.0000	DEAD
