# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
3103.5	197	ORQLCI_Expert	683.72	0.0000	DEAD
3343.9	199	ORQLCI_Expert	693.49	0.0000	DEAD
3464.1	196	ORQLCI_Expert	683.59	0.0000	DEAD
3524.2	194	ORQLCI_Expert	683.86	0.0000	DEAD
6765.1	198	ORQLCI_Expert	683.68	0.0000	DEAD
11085.1	111	ORQLCI_Expert	685.96	0.0000	DEAD
11625.1	110	ORQLCI_Expert	686.19	0.0000	DEAD
14325.1	127	ORQLCI_Expert	686.68	0.0000	DEAD
16245.1	112	ORQLCI_Expert	685.92	0.0000	DEAD
17206.5	119	ORQLCI_Expert	687.04	0.0000	DEAD
18829.2	120	ORQLCI_Expert	686.99	0.0000	DEAD
19370.1	114	ORQLCI_Expert	686.01	0.0000	DEAD
20391.8	64	ORQLCI_Expert	678.03	0.0000	DEAD
21293.3	79	ORQLCI_Expert	687.40	0.0000	DEAD
21293.3	86	ORQLCI_Expert	687.26	0.0000	DEAD
21293.3	107	ORQLCI_Expert	686.14	0.0000	DEAD
21954.4	103	ORQLCI_Expert	686.32	0.0000	DEAD
22375.1	82	ORQLCI_Expert	687.44	0.0000	DEAD
23757.4	94	ORQLCI_Expert	688.34	0.0000	DEAD
23877.6	116	ORQLCI_Expert	685.74	0.0000	DEAD
25259.9	195	ORQLCI_Expert	683.63	0.0000	DEAD
25560.4	89	ORQLCI_Expert	688.56	0.0000	DEAD
26281.6	75	ORQLCI_Expert	687.58	0.0000	DEAD
26341.7	65	ORQLCI_Expert	678.17	0.0000	DEAD
26522.0	76	ORQLCI_Expert	687.53	0.0000	DEAD
26582.1	126	ORQLCI_Expert	686.90	0.0000	DEAD
27002.8	92	ORQLCI_Expert	688.25	0.0000	DEAD
27483.6	83	ORQLCI_Expert	687.22	0.0000	DEAD
27543.7	104	ORQLCI_Expert	686.28	0.0000	DEAD
27844.2	80	ORQLCI_Expert	687.35	0.0000	DEAD
28144.7	78	ORQLCI_Expert	687.62	0.0000	DEAD
28325.0	193	ORQLCI_Expert	683.90	0.0000	DEAD
28445.2	36	ORQLCI_Expert	679.29	0.0000	DEAD
28445.2	100	ORQLCI_Expert	687.89	0.0000	DEAD
28505.3	15	ORQLCI_Expert	678.80	0.0000	DEAD
28865.9	125	ORQLCI_Expert	686.95	0.0000	DEAD
29406.8	81	ORQLCI_Expert	687.49	0.0000	DEAD
29406.8	87	ORQLCI_Expert	688.47	0.0000	DEAD
29647.2	68	ORQLCI_Expert	677.86	0.0000	DEAD
29647.2	97	ORQLCI_Expert	688.20	0.0000	DEAD
29887.6	109	ORQLCI_Expert	686.23	0.0000	DEAD
30608.8	102	ORQLCI_Expert	687.98	0.0000	DEAD
30729.0	122	ORQLCI_Expert	687.08	0.0000	DEAD
30789.1	118	ORQLCI_Expert	685.83	0.0000	DEAD
31029.5	69	ORQLCI_Expert	677.99	0.0000	DEAD
31630.5	95	ORQLCI_Expert	688.11	0.0000	DEAD
32051.2	71	ORQLCI_Expert	687.75	0.0000	DEAD
32291.6	42	ORQLCI_Expert	677.77	0.0000	DEAD
33373.4	90	ORQLCI_Expert	688.52	0.0000	DEAD
33613.8	98	ORQLCI_Expert	688.16	0.0000	DEAD
33854.2	105	ORQLCI_Expert	686.41	0.0000	DEAD
34455.2	66	ORQLCI_Expert	678.12	0.0000	DEAD
35056.2	77	ORQLCI_Expert	687.66	0.0000	DEAD
35056.2	121	ORQLCI_Expert	687.13	0.0000	DEAD
35176.4	91	ORQLCI_Expert	688.29	0.0000	DEAD
36017.8	67	ORQLCI_Expert	677.90	0.0000	DEAD
36077.9	117	ORQLCI_Expert	685.87	0.0000	DEAD
36138.0	7	ORQLCI_Expert	679.15	0.0000	DEAD
36378.4	101	ORQLCI_Expert	688.02	0.0000	DEAD
36438.5	93	ORQLCI_Expert	688.38	0.0000	DEAD
36558.7	19	ORQLCI_Expert	678.62	0.0000	DEAD
36558.7	84	ORQLCI_Expert	687.17	0.0000	DEAD
36618.8	16	ORQLCI_Expert	678.75	0.0000	DEAD
36618.8	70	ORQLCI_Expert	677.95	0.0000	DEAD
36618.8	72	ORQLCI_Expert	687.71	0.0000	DEAD
36618.8	74	ORQLCI_Expert	687.80	0.0000	DEAD
36618.8	85	ORQLCI_Expert	687.31	0.0000	DEAD
36618.8	186	ORQLCI_Expert	684.22	0.0000	DEAD
36618.8	187	ORQLCI_Expert	683.99	0.0000	DEAD
36678.9	88	ORQLCI_Expert	688.43	0.0000	DEAD
36678.9	115	ORQLCI_Expert	685.78	0.0000	DEAD
36739.0	32	ORQLCI_Expert	679.47	0.0000	DEAD
37219.8	4	ORQLCI_Expert	680.72	0.0000	DEAD
37340.0	20	ORQLCI_Expert	678.57	0.0000	DEAD
37340.0	96	ORQLCI_Expert	688.07	0.0000	DEAD
37820.8	99	ORQLCI_Expert	687.93	0.0000	DEAD
37820.8	108	ORQLCI_Expert	686.10	0.0000	DEAD
38181.4	123	ORQLCI_Expert	686.86	0.0000	DEAD
38421.8	1	ORQLCI_Expert	681.04	0.0000	DEAD
38542.0	162	ORQLCI_Expert	685.29	0.0000	DEAD
38722.3	56	ORQLCI_Expert	678.39	0.0000	DEAD
38782.4	189	ORQLCI_Expert	684.08	0.0000	DEAD
38902.6	26	ORQLCI_Expert	679.92	0.0000	DEAD
38962.7	136	ORQLCI_Expert	684.84	0.0000	DEAD
39263.2	25	ORQLCI_Expert	679.96	0.0000	DEAD
39443.5	10	ORQLCI_Expert	679.20	0.0000	DEAD
39503.6	62	ORQLCI_Expert	678.30	0.0000	DEAD
39623.8	124	ORQLCI_Expert	686.81	0.0000	DEAD
39804.1	23	ORQLCI_Expert	679.87	0.0000	DEAD
40465.2	43	ORQLCI_Expert	677.54	0.0000	DEAD
40705.6	5	ORQLCI_Expert	680.86	0.0000	DEAD
40825.8	11	ORQLCI_Expert	678.98	0.0000	DEAD
41126.3	169	ORQLCI_Expert	683.54	0.0000	DEAD
41126.3	183	ORQLCI_Expert	684.17	0.0000	DEAD
41186.4	51	ORQLCI_Expert	677.18	0.0000	DEAD
41727.3	8	ORQLCI_Expert	679.11	0.0000	DEAD
41787.4	58	ORQLCI_Expert	678.48	0.0000	DEAD
41847.5	113	ORQLCI_Expert	686.05	0.0000	DEAD
41907.6	158	ORQLCI_Expert	685.47	0.0000	DEAD
41967.7	0	ORQLCI_Expert	680.90	0.0000	DEAD
42148.0	175	ORQLCI_Expert	683.10	0.0000	DEAD
42268.2	39	ORQLCI_Expert	677.72	0.0000	DEAD
42448.5	106	ORQLCI_Expert	686.37	0.0000	DEAD
42508.6	153	ORQLCI_Expert	685.69	0.0000	DEAD
42749.0	73	ORQLCI_Expert	687.84	0.0000	DEAD
42749.0	150	ORQLCI_Expert	684.40	0.0000	DEAD
42869.2	54	ORQLCI_Expert	677.23	0.0000	DEAD
42869.2	191	ORQLCI_Expert	683.81	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 108
