# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
16725.7	49	Epidemic	2870.98	0.0000	DEAD
18047.9	46	Epidemic	2871.03	0.0000	DEAD
18769.1	195	Epidemic	2873.45	0.0000	DEAD
19069.6	45	Epidemic	2871.05	0.0000	DEAD
19610.5	61	Epidemic	2871.34	0.0000	DEAD
19911.0	183	Epidemic	2873.67	0.0000	DEAD
20091.3	104	Epidemic	2874.51	0.0000	DEAD
20211.5	4	Epidemic	2872.29	0.0000	DEAD
20512.0	194	Epidemic	2873.54	0.0000	DEAD
20692.3	23	Epidemic	2871.95	0.0000	DEAD
20752.4	25	Epidemic	2871.98	0.0000	DEAD
20752.4	173	Epidemic	2873.35	0.0000	DEAD
20812.5	70	Epidemic	2871.18	0.0000	DEAD
20872.6	199	Epidemic	2877.40	0.0000	DEAD
20932.7	190	Epidemic	2873.61	0.0000	DEAD
20992.8	182	Epidemic	2873.18	0.0000	DEAD
21052.9	191	Epidemic	2873.53	0.0000	DEAD
21173.1	198	Epidemic	2873.47	0.0000	DEAD
21473.6	107	Epidemic	2874.46	0.0000	DEAD
21473.6	121	Epidemic	2874.85	0.0000	DEAD
21533.7	111	Epidemic	2874.39	0.0000	DEAD
21593.8	32	Epidemic	2871.79	0.0000	DEAD
21714.0	144	Epidemic	2873.79	0.0000	DEAD
21774.1	120	Epidemic	2874.80	0.0000	DEAD
21954.4	84	Epidemic	2874.87	0.0000	DEAD
21954.4	196	Epidemic	2873.44	0.0000	DEAD
22014.5	99	Epidemic	2875.17	0.0000	DEAD
22074.6	106	Epidemic	2874.55	0.0000	DEAD
22134.7	74	Epidemic	2875.12	0.0000	DEAD
22315.0	82	Epidemic	2874.98	0.0000	DEAD
22495.3	56	Epidemic	2871.36	0.0000	DEAD
22495.3	117	Epidemic	2874.35	0.0000	DEAD
22555.4	100	Epidemic	2875.16	0.0000	DEAD
22555.4	150	Epidemic	2873.76	0.0000	DEAD
22615.5	33	Epidemic	2871.84	0.0000	DEAD
22675.6	35	Epidemic	2871.73	0.0000	DEAD
22675.6	112	Epidemic	2874.37	0.0000	DEAD
22735.7	76	Epidemic	2875.01	0.0000	DEAD
22735.7	148	Epidemic	2873.72	0.0000	DEAD
22735.7	193	Epidemic	2873.56	0.0000	DEAD
22795.8	3	Epidemic	2872.31	0.0000	DEAD
22795.8	101	Epidemic	2875.21	0.0000	DEAD
22855.9	81	Epidemic	2874.99	0.0000	DEAD
22855.9	139	Epidemic	2873.88	0.0000	DEAD
22855.9	189	Epidemic	2873.63	0.0000	DEAD
22916.0	13	Epidemic	2871.63	0.0000	DEAD
22916.0	119	Epidemic	2874.82	0.0000	DEAD
22976.1	20	Epidemic	2871.43	0.0000	DEAD
22976.1	122	Epidemic	2874.83	0.0000	DEAD
23156.4	97	Epidemic	2875.28	0.0000	DEAD
23216.5	94	Epidemic	2875.33	0.0000	DEAD
23216.5	176	Epidemic	2873.22	0.0000	DEAD
23276.6	66	Epidemic	2871.25	0.0000	DEAD
23276.6	127	Epidemic	2874.67	0.0000	DEAD
23276.6	197	Epidemic	2873.49	0.0000	DEAD
23336.7	40	Epidemic	2871.07	0.0000	DEAD
23336.7	73	Epidemic	2875.14	0.0000	DEAD
23336.7	153	Epidemic	2874.28	0.0000	DEAD
23396.8	71	Epidemic	2875.10	0.0000	DEAD
23456.9	54	Epidemic	2870.89	0.0000	DEAD
23456.9	91	Epidemic	2875.32	0.0000	DEAD
23456.9	145	Epidemic	2873.85	0.0000	DEAD
23517.0	37	Epidemic	2871.77	0.0000	DEAD
23517.0	42	Epidemic	2871.11	0.0000	DEAD
23637.2	125	Epidemic	2874.78	0.0000	DEAD
23697.3	75	Epidemic	2875.03	0.0000	DEAD
23757.4	90	Epidemic	2875.41	0.0000	DEAD
23757.4	138	Epidemic	2873.97	0.0000	DEAD
23817.5	69	Epidemic	2871.20	0.0000	DEAD
23817.5	78	Epidemic	2875.05	0.0000	DEAD
23817.5	168	Epidemic	2873.36	0.0000	DEAD
23877.6	80	Epidemic	2874.94	0.0000	DEAD
23877.6	149	Epidemic	2873.78	0.0000	DEAD
23997.8	27	Epidemic	2871.88	0.0000	DEAD
23997.8	116	Epidemic	2874.30	0.0000	DEAD
24118.0	8	Epidemic	2871.64	0.0000	DEAD
24178.1	103	Epidemic	2874.53	0.0000	DEAD
24178.1	118	Epidemic	2874.33	0.0000	DEAD
24178.1	128	Epidemic	2874.65	0.0000	DEAD
24178.1	167	Epidemic	2873.38	0.0000	DEAD
24238.2	28	Epidemic	2871.86	0.0000	DEAD
24238.2	43	Epidemic	2871.02	0.0000	DEAD
24298.3	11	Epidemic	2871.59	0.0000	DEAD
24358.4	12	Epidemic	2871.57	0.0000	DEAD
24478.6	72	Epidemic	2875.08	0.0000	DEAD
24478.6	126	Epidemic	2874.76	0.0000	DEAD
24598.8	31	Epidemic	2871.81	0.0000	DEAD
24598.8	47	Epidemic	2870.95	0.0000	DEAD
24658.9	83	Epidemic	2874.89	0.0000	DEAD
24779.1	88	Epidemic	2875.37	0.0000	DEAD
24779.1	142	Epidemic	2873.90	0.0000	DEAD
24839.2	98	Epidemic	2875.26	0.0000	DEAD
24839.2	105	Epidemic	2874.56	0.0000	DEAD
24839.2	175	Epidemic	2873.24	0.0000	DEAD
24899.3	87	Epidemic	2875.39	0.0000	DEAD
24899.3	113	Epidemic	2874.42	0.0000	DEAD
24959.4	79	Epidemic	2874.96	0.0000	DEAD
24959.4	124	Epidemic	2874.73	0.0000	DEAD
24959.4	147	Epidemic	2873.74	0.0000	DEAD
25019.5	68	Epidemic	2871.14	0.0000	DEAD
25019.5	95	Epidemic	2875.25	0.0000	DEAD
25079.6	93	Epidemic	2875.35	0.0000	DEAD
25139.7	109	Epidemic	2874.49	0.0000	DEAD
25139.7	161	Epidemic	2874.13	0.0000	DEAD
25199.8	174	Epidemic	2873.33	0.0000	DEAD
25259.9	86	Epidemic	2874.90	0.0000	DEAD
25259.9	108	Epidemic	2874.44	0.0000	DEAD
25320.0	77	Epidemic	2875.07	0.0000	DEAD
25440.2	89	Epidemic	2875.42	0.0000	DEAD
25500.3	48	Epidemic	2870.93	0.0000	DEAD
25500.3	64	Epidemic	2871.21	0.0000	DEAD
25500.3	123	Epidemic	2874.74	0.0000	DEAD
25680.6	62	Epidemic	2871.32	0.0000	DEAD
25680.6	158	Epidemic	2874.19	0.0000	DEAD
25740.7	92	Epidemic	2875.30	0.0000	DEAD
25800.8	102	Epidemic	2875.19	0.0000	DEAD
25860.9	110	Epidemic	2874.47	0.0000	DEAD
25921.0	30	Epidemic	2871.89	0.0000	DEAD
25921.0	140	Epidemic	2873.87	0.0000	DEAD
25981.1	19	Epidemic	2871.45	0.0000	DEAD
25981.1	115	Epidemic	2874.31	0.0000	DEAD
26161.4	38	Epidemic	2871.75	0.0000	DEAD
26942.7	52	Epidemic	2870.86	0.0000	DEAD
26942.7	192	Epidemic	2873.51	0.0000	DEAD
27303.3	60	Epidemic	2871.29	0.0000	DEAD
27363.4	44	Epidemic	2871.00	0.0000	DEAD
27363.4	187	Epidemic	2873.60	0.0000	DEAD
27423.5	162	Epidemic	2874.12	0.0000	DEAD
27543.7	141	Epidemic	2873.92	0.0000	DEAD
27724.0	6	Epidemic	2872.32	0.0000	DEAD
27964.4	114	Epidemic	2874.40	0.0000	DEAD
28084.6	1	Epidemic	2872.41	0.0000	DEAD
28084.6	65	Epidemic	2871.27	0.0000	DEAD
28204.8	58	Epidemic	2871.39	0.0000	DEAD
28325.0	135	Epidemic	2873.96	0.0000	DEAD
28385.1	134	Epidemic	2874.62	0.0000	DEAD
28565.4	166	Epidemic	2874.04	0.0000	DEAD
28926.0	17	Epidemic	2871.55	0.0000	DEAD
28926.0	26	Epidemic	2871.97	0.0000	DEAD
29226.5	29	Epidemic	2871.91	0.0000	DEAD
29226.5	146	Epidemic	2873.83	0.0000	DEAD
29286.6	24	Epidemic	2871.93	0.0000	DEAD
29406.8	15	Epidemic	2871.52	0.0000	DEAD
29527.0	59	Epidemic	2871.30	0.0000	DEAD
29527.0	130	Epidemic	2874.69	0.0000	DEAD
29707.3	143	Epidemic	2873.81	0.0000	DEAD
29887.6	96	Epidemic	2875.23	0.0000	DEAD
30729.0	171	Epidemic	2873.31	0.0000	DEAD
31149.7	57	Epidemic	2871.41	0.0000	DEAD
31330.0	179	Epidemic	2873.17	0.0000	DEAD
31450.2	172	Epidemic	2873.29	0.0000	DEAD
31931.0	5	Epidemic	2872.34	0.0000	DEAD
32592.1	67	Epidemic	2871.16	0.0000	DEAD
32592.1	137	Epidemic	2873.99	0.0000	DEAD
32652.2	185	Epidemic	2873.70	0.0000	DEAD
32832.5	36	Epidemic	2871.72	0.0000	DEAD
32832.5	152	Epidemic	2874.22	0.0000	DEAD
33734.0	53	Epidemic	2870.91	0.0000	DEAD
33914.3	160	Epidemic	2874.08	0.0000	DEAD
34395.1	164	Epidemic	2874.01	0.0000	DEAD
34635.5	181	Epidemic	2873.20	0.0000	DEAD
34815.8	85	Epidemic	2874.92	0.0000	DEAD
35717.3	159	Epidemic	2874.10	0.0000	DEAD
37700.6	34	Epidemic	2871.82	0.0000	DEAD
38181.4	157	Epidemic	2874.21	0.0000	DEAD
38301.6	51	Epidemic	2870.87	0.0000	DEAD
39263.2	188	Epidemic	2873.58	0.0000	DEAD
39383.4	18	Epidemic	2871.54	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 168
