# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
31870.9	73	ORQLCI_Expert	2063.53	0.0000	DEAD
32592.1	112	ORQLCI_Expert	2057.75	0.0000	DEAD
32652.2	127	ORQLCI_Expert	2060.04	0.0000	DEAD
32832.5	64	ORQLCI_Expert	2034.10	0.0000	DEAD
32892.6	95	ORQLCI_Expert	2064.34	0.0000	DEAD
33012.8	116	ORQLCI_Expert	2057.22	0.0000	DEAD
33373.4	86	ORQLCI_Expert	2061.79	0.0000	DEAD
33673.9	197	ORQLCI_Expert	2051.17	0.0000	DEAD
33734.0	107	ORQLCI_Expert	2058.43	0.0000	DEAD
33794.1	72	ORQLCI_Expert	2063.13	0.0000	DEAD
34335.0	85	ORQLCI_Expert	2061.92	0.0000	DEAD
34455.2	68	ORQLCI_Expert	2033.57	0.0000	DEAD
34515.3	88	ORQLCI_Expert	2065.28	0.0000	DEAD
34575.4	109	ORQLCI_Expert	2058.69	0.0000	DEAD
34635.5	122	ORQLCI_Expert	2061.25	0.0000	DEAD
35176.4	82	ORQLCI_Expert	2062.32	0.0000	DEAD
35176.4	199	ORQLCI_Expert	2080.46	0.0000	DEAD
35356.7	121	ORQLCI_Expert	2061.38	0.0000	DEAD
35837.5	104	ORQLCI_Expert	2058.83	0.0000	DEAD
35957.7	78	ORQLCI_Expert	2062.86	0.0000	DEAD
36198.1	106	ORQLCI_Expert	2059.10	0.0000	DEAD
36258.2	111	ORQLCI_Expert	2057.89	0.0000	DEAD
36318.3	74	ORQLCI_Expert	2063.40	0.0000	DEAD
36318.3	102	ORQLCI_Expert	2063.94	0.0000	DEAD
36378.4	99	ORQLCI_Expert	2063.80	0.0000	DEAD
36438.5	196	ORQLCI_Expert	2050.77	0.0000	DEAD
36558.7	100	ORQLCI_Expert	2063.67	0.0000	DEAD
36618.8	75	ORQLCI_Expert	2062.73	0.0000	DEAD
36678.9	96	ORQLCI_Expert	2064.20	0.0000	DEAD
36739.0	125	ORQLCI_Expert	2060.84	0.0000	DEAD
36859.2	66	ORQLCI_Expert	2034.37	0.0000	DEAD
36859.2	90	ORQLCI_Expert	2065.55	0.0000	DEAD
36919.3	93	ORQLCI_Expert	2065.14	0.0000	DEAD
36919.3	164	ORQLCI_Expert	2055.07	0.0000	DEAD
36979.4	117	ORQLCI_Expert	2057.62	0.0000	DEAD
37099.6	67	ORQLCI_Expert	2033.70	0.0000	DEAD
37279.9	79	ORQLCI_Expert	2062.19	0.0000	DEAD
37520.3	114	ORQLCI_Expert	2058.02	0.0000	DEAD
37580.4	91	ORQLCI_Expert	2064.88	0.0000	DEAD
37640.5	110	ORQLCI_Expert	2058.56	0.0000	DEAD
37941.0	97	ORQLCI_Expert	2064.61	0.0000	DEAD
38001.1	76	ORQLCI_Expert	2062.59	0.0000	DEAD
38121.3	83	ORQLCI_Expert	2061.65	0.0000	DEAD
38181.4	120	ORQLCI_Expert	2060.98	0.0000	DEAD
38241.5	80	ORQLCI_Expert	2062.05	0.0000	DEAD
38662.2	40	ORQLCI_Expert	2033.03	0.0000	DEAD
39082.9	101	ORQLCI_Expert	2064.07	0.0000	DEAD
39383.4	69	ORQLCI_Expert	2033.97	0.0000	DEAD
39804.1	123	ORQLCI_Expert	2060.58	0.0000	DEAD
40104.6	194	ORQLCI_Expert	2051.57	0.0000	DEAD
40164.7	157	ORQLCI_Expert	2056.54	0.0000	DEAD
40284.9	189	ORQLCI_Expert	2052.25	0.0000	DEAD
40525.3	5	ORQLCI_Expert	2042.57	0.0000	DEAD
40525.3	103	ORQLCI_Expert	2058.96	0.0000	DEAD
41907.6	198	ORQLCI_Expert	2051.04	0.0000	DEAD
43049.5	65	ORQLCI_Expert	2034.51	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 56
