# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
73620.0	5	Epidemic	872.34	0.0000	DEAD
73860.0	9	Epidemic	871.70	0.0000	DEAD
73860.0	14	Epidemic	871.61	0.0000	DEAD
73920.0	0	Epidemic	872.36	0.0000	DEAD
73920.0	4	Epidemic	872.29	0.0000	DEAD
74040.0	25	Epidemic	871.98	0.0000	DEAD
74280.0	39	Epidemic	871.09	0.0000	DEAD
74520.0	12	Epidemic	871.57	0.0000	DEAD
74760.0	8	Epidemic	871.64	0.0000	DEAD
75360.0	16	Epidemic	871.50	0.0000	DEAD
75840.0	18	Epidemic	871.54	0.0000	DEAD
76680.0	26	Epidemic	871.97	0.0000	DEAD
76860.0	29	Epidemic	871.91	0.0000	DEAD
76980.0	6	Epidemic	872.32	0.0000	DEAD
77340.0	1	Epidemic	872.41	0.0000	DEAD
77760.0	37	Epidemic	871.77	0.0000	DEAD
77820.0	34	Epidemic	871.82	0.0000	DEAD
77880.0	32	Epidemic	871.79	0.0000	DEAD
77940.0	35	Epidemic	871.73	0.0000	DEAD
78000.0	15	Epidemic	871.52	0.0000	DEAD
78660.0	38	Epidemic	871.75	0.0000	DEAD
81600.0	23	Epidemic	871.95	0.0000	DEAD
81900.0	21	Epidemic	871.48	0.0000	DEAD
83400.0	24	Epidemic	871.93	0.0000	DEAD
86700.0	7	Epidemic	871.66	0.0000	DEAD
87060.0	28	Epidemic	871.86	0.0000	DEAD
88260.0	22	Epidemic	871.46	0.0000	DEAD
88980.0	31	Epidemic	871.81	0.0000	DEAD
89880.0	2	Epidemic	872.40	0.0000	DEAD
93780.0	10	Epidemic	871.68	0.0000	DEAD
93780.0	13	Epidemic	871.63	0.0000	DEAD
100080.0	3	Epidemic	872.31	0.0000	DEAD
108660.0	36	Epidemic	871.72	0.0000	DEAD
113160.0	27	Epidemic	871.88	0.0000	DEAD
134760.0	19	Epidemic	871.45	0.0000	DEAD
172140.0	33	Epidemic	871.84	0.0000	DEAD
172260.0	17	Epidemic	871.55	0.0000	DEAD
249600.0	11	Epidemic	871.59	0.0000	DEAD
266100.0	30	Epidemic	871.89	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 39
