# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
166680.0	26	ORQLCI_NoEnergyCtx	679.92	0.0000	DEAD
167940.0	28	ORQLCI_NoEnergyCtx	679.65	0.0000	DEAD
168180.0	8	ORQLCI_NoEnergyCtx	679.11	0.0000	DEAD
171060.0	4	ORQLCI_NoEnergyCtx	680.72	0.0000	DEAD
171600.0	17	ORQLCI_NoEnergyCtx	678.89	0.0000	DEAD
173520.0	29	ORQLCI_NoEnergyCtx	679.78	0.0000	DEAD
178740.0	36	ORQLCI_NoEnergyCtx	679.29	0.0000	DEAD
179700.0	14	ORQLCI_NoEnergyCtx	679.02	0.0000	DEAD
179820.0	2	ORQLCI_NoEnergyCtx	680.99	0.0000	DEAD
180000.0	7	ORQLCI_NoEnergyCtx	679.15	0.0000	DEAD
188700.0	23	ORQLCI_NoEnergyCtx	679.87	0.0000	DEAD
198900.0	24	ORQLCI_NoEnergyCtx	679.83	0.0000	DEAD
199080.0	39	ORQLCI_NoEnergyCtx	677.72	0.0000	DEAD
209940.0	0	ORQLCI_NoEnergyCtx	680.90	0.0000	DEAD
215640.0	1	ORQLCI_NoEnergyCtx	681.04	0.0000	DEAD
223560.0	32	ORQLCI_NoEnergyCtx	679.47	0.0000	DEAD
224040.0	31	ORQLCI_NoEnergyCtx	679.51	0.0000	DEAD
235800.0	19	ORQLCI_NoEnergyCtx	678.62	0.0000	DEAD
244200.0	25	ORQLCI_NoEnergyCtx	679.96	0.0000	DEAD
244920.0	13	ORQLCI_NoEnergyCtx	679.07	0.0000	DEAD
244920.0	15	ORQLCI_NoEnergyCtx	678.80	0.0000	DEAD
246000.0	21	ORQLCI_NoEnergyCtx	678.71	0.0000	DEAD
247140.0	40	ORQLCI_NoEnergyCtx	677.68	0.0000	DEAD
247560.0	22	ORQLCI_NoEnergyCtx	678.66	0.0000	DEAD
249780.0	12	ORQLCI_NoEnergyCtx	678.93	0.0000	DEAD
249840.0	5	ORQLCI_NoEnergyCtx	680.86	0.0000	DEAD
250800.0	9	ORQLCI_NoEnergyCtx	679.24	0.0000	DEAD
251340.0	18	ORQLCI_NoEnergyCtx	678.84	0.0000	DEAD
257520.0	10	ORQLCI_NoEnergyCtx	679.20	0.0000	DEAD
257640.0	34	ORQLCI_NoEnergyCtx	679.56	0.0000	DEAD
261120.0	20	ORQLCI_NoEnergyCtx	678.57	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 31
