# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
172200.0	17	ORQLCI_Expert	678.89	0.0000	DEAD
181320.0	28	ORQLCI_Expert	679.65	0.0000	DEAD
187800.0	8	ORQLCI_Expert	679.11	0.0000	DEAD
188760.0	23	ORQLCI_Expert	679.87	0.0000	DEAD
196800.0	2	ORQLCI_Expert	680.99	0.0000	DEAD
197040.0	4	ORQLCI_Expert	680.72	0.0000	DEAD
201120.0	24	ORQLCI_Expert	679.83	0.0000	DEAD
202920.0	31	ORQLCI_Expert	679.51	0.0000	DEAD
207360.0	7	ORQLCI_Expert	679.15	0.0000	DEAD
207720.0	14	ORQLCI_Expert	679.02	0.0000	DEAD
215520.0	36	ORQLCI_Expert	679.29	0.0000	DEAD
223920.0	29	ORQLCI_Expert	679.78	0.0000	DEAD
224040.0	21	ORQLCI_Expert	678.71	0.0000	DEAD
227400.0	39	ORQLCI_Expert	677.72	0.0000	DEAD
233760.0	19	ORQLCI_Expert	678.62	0.0000	DEAD
249840.0	9	ORQLCI_Expert	679.24	0.0000	DEAD
253560.0	12	ORQLCI_Expert	678.93	0.0000	DEAD
256680.0	15	ORQLCI_Expert	678.80	0.0000	DEAD
258000.0	0	ORQLCI_Expert	680.90	0.0000	DEAD
258060.0	18	ORQLCI_Expert	678.84	0.0000	DEAD
259920.0	38	ORQLCI_Expert	679.38	0.0000	DEAD
266400.0	32	ORQLCI_Expert	679.47	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 22
