# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
74700.0	14	Prophet	871.61	0.0000	DEAD
74880.0	12	Prophet	871.57	0.0000	DEAD
75120.0	26	Prophet	871.97	0.0000	DEAD
75300.0	0	Prophet	872.36	0.0000	DEAD
75420.0	5	Prophet	872.34	0.0000	DEAD
75420.0	16	Prophet	871.50	0.0000	DEAD
75480.0	39	Prophet	871.09	0.0000	DEAD
75600.0	4	Prophet	872.29	0.0000	DEAD
75660.0	7	Prophet	871.66	0.0000	DEAD
75840.0	28	Prophet	871.86	0.0000	DEAD
76080.0	8	Prophet	871.64	0.0000	DEAD
76380.0	18	Prophet	871.54	0.0000	DEAD
76380.0	29	Prophet	871.91	0.0000	DEAD
77340.0	23	Prophet	871.95	0.0000	DEAD
77460.0	37	Prophet	871.77	0.0000	DEAD
80280.0	38	Prophet	871.75	0.0000	DEAD
81900.0	35	Prophet	871.73	0.0000	DEAD
82020.0	25	Prophet	871.98	0.0000	DEAD
83280.0	6	Prophet	872.32	0.0000	DEAD
83580.0	32	Prophet	871.79	0.0000	DEAD
84120.0	31	Prophet	871.81	0.0000	DEAD
84180.0	21	Prophet	871.48	0.0000	DEAD
84300.0	13	Prophet	871.63	0.0000	DEAD
85080.0	15	Prophet	871.52	0.0000	DEAD
87300.0	24	Prophet	871.93	0.0000	DEAD
88260.0	1	Prophet	872.41	0.0000	DEAD
88440.0	22	Prophet	871.46	0.0000	DEAD
89100.0	9	Prophet	871.70	0.0000	DEAD
89580.0	33	Prophet	871.84	0.0000	DEAD
89880.0	2	Prophet	872.40	0.0000	DEAD
99000.0	34	Prophet	871.82	0.0000	DEAD
108480.0	3	Prophet	872.31	0.0000	DEAD
108660.0	27	Prophet	871.88	0.0000	DEAD
108720.0	36	Prophet	871.72	0.0000	DEAD
184920.0	19	Prophet	871.45	0.0000	DEAD
259440.0	10	Prophet	871.68	0.0000	DEAD
259740.0	20	Prophet	871.43	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 37
