# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
4545.1	196	ORQLCI_Expert	683.59	0.0000	DEAD
5205.1	199	ORQLCI_Expert	693.49	0.0000	DEAD
7305.1	194	ORQLCI_Expert	683.86	0.0000	DEAD
7965.1	197	ORQLCI_Expert	683.72	0.0000	DEAD
11085.1	111	ORQLCI_Expert	685.96	0.0000	DEAD
11865.1	198	ORQLCI_Expert	683.68	0.0000	DEAD
12405.1	195	ORQLCI_Expert	683.63	0.0000	DEAD
13845.1	127	ORQLCI_Expert	686.68	0.0000	DEAD
14385.1	110	ORQLCI_Expert	686.19	0.0000	DEAD
18528.7	119	ORQLCI_Expert	687.04	0.0000	DEAD
20391.8	64	ORQLCI_Expert	678.03	0.0000	DEAD
22615.5	120	ORQLCI_Expert	686.99	0.0000	DEAD
23336.7	103	ORQLCI_Expert	686.32	0.0000	DEAD
23757.4	94	ORQLCI_Expert	688.34	0.0000	DEAD
23877.6	116	ORQLCI_Expert	685.74	0.0000	DEAD
24057.9	79	ORQLCI_Expert	687.40	0.0000	DEAD
25199.8	89	ORQLCI_Expert	688.56	0.0000	DEAD
25259.9	80	ORQLCI_Expert	687.35	0.0000	DEAD
25560.4	86	ORQLCI_Expert	687.26	0.0000	DEAD
26161.4	112	ORQLCI_Expert	685.92	0.0000	DEAD
26281.6	97	ORQLCI_Expert	688.20	0.0000	DEAD
26522.0	76	ORQLCI_Expert	687.53	0.0000	DEAD
26642.2	107	ORQLCI_Expert	686.14	0.0000	DEAD
26702.3	75	ORQLCI_Expert	687.58	0.0000	DEAD
26762.4	114	ORQLCI_Expert	686.01	0.0000	DEAD
27303.3	65	ORQLCI_Expert	678.17	0.0000	DEAD
28204.8	87	ORQLCI_Expert	688.47	0.0000	DEAD
28926.0	92	ORQLCI_Expert	688.25	0.0000	DEAD
29166.4	42	ORQLCI_Expert	677.77	0.0000	DEAD
29286.6	100	ORQLCI_Expert	687.89	0.0000	DEAD
29827.5	83	ORQLCI_Expert	687.22	0.0000	DEAD
30248.2	36	ORQLCI_Expert	679.29	0.0000	DEAD
30368.4	126	ORQLCI_Expert	686.90	0.0000	DEAD
30548.7	104	ORQLCI_Expert	686.28	0.0000	DEAD
31450.2	90	ORQLCI_Expert	688.52	0.0000	DEAD
31690.6	125	ORQLCI_Expert	686.95	0.0000	DEAD
31810.8	69	ORQLCI_Expert	677.99	0.0000	DEAD
32471.9	77	ORQLCI_Expert	687.66	0.0000	DEAD
32471.9	91	ORQLCI_Expert	688.29	0.0000	DEAD
32772.4	82	ORQLCI_Expert	687.44	0.0000	DEAD
32892.6	109	ORQLCI_Expert	686.23	0.0000	DEAD
34395.1	15	ORQLCI_Expert	678.80	0.0000	DEAD
34515.3	71	ORQLCI_Expert	687.75	0.0000	DEAD
34515.3	105	ORQLCI_Expert	686.41	0.0000	DEAD
35176.4	78	ORQLCI_Expert	687.62	0.0000	DEAD
36017.8	98	ORQLCI_Expert	688.16	0.0000	DEAD
36077.9	122	ORQLCI_Expert	687.08	0.0000	DEAD
36077.9	193	ORQLCI_Expert	683.90	0.0000	DEAD
36138.0	81	ORQLCI_Expert	687.49	0.0000	DEAD
36198.1	68	ORQLCI_Expert	677.86	0.0000	DEAD
36198.1	117	ORQLCI_Expert	685.87	0.0000	DEAD
36258.2	102	ORQLCI_Expert	687.98	0.0000	DEAD
36318.3	93	ORQLCI_Expert	688.38	0.0000	DEAD
36378.4	88	ORQLCI_Expert	688.43	0.0000	DEAD
36378.4	95	ORQLCI_Expert	688.11	0.0000	DEAD
36438.5	101	ORQLCI_Expert	688.02	0.0000	DEAD
36558.7	84	ORQLCI_Expert	687.17	0.0000	DEAD
36618.8	32	ORQLCI_Expert	679.47	0.0000	DEAD
36618.8	70	ORQLCI_Expert	677.95	0.0000	DEAD
36618.8	118	ORQLCI_Expert	685.83	0.0000	DEAD
36618.8	121	ORQLCI_Expert	687.13	0.0000	DEAD
36859.2	7	ORQLCI_Expert	679.15	0.0000	DEAD
36859.2	66	ORQLCI_Expert	678.12	0.0000	DEAD
36979.4	108	ORQLCI_Expert	686.10	0.0000	DEAD
37039.5	85	ORQLCI_Expert	687.31	0.0000	DEAD
37159.7	67	ORQLCI_Expert	677.90	0.0000	DEAD
37279.9	74	ORQLCI_Expert	687.80	0.0000	DEAD
37340.0	115	ORQLCI_Expert	685.78	0.0000	DEAD
38722.3	19	ORQLCI_Expert	678.62	0.0000	DEAD
40224.8	106	ORQLCI_Expert	686.37	0.0000	DEAD
40585.4	184	ORQLCI_Expert	684.13	0.0000	DEAD
40825.8	96	ORQLCI_Expert	688.07	0.0000	DEAD
41126.3	99	ORQLCI_Expert	687.93	0.0000	DEAD
41186.4	4	ORQLCI_Expert	680.72	0.0000	DEAD
41607.1	72	ORQLCI_Expert	687.71	0.0000	DEAD
41787.4	23	ORQLCI_Expert	679.87	0.0000	DEAD
42568.7	162	ORQLCI_Expert	685.29	0.0000	DEAD
42749.0	73	ORQLCI_Expert	687.84	0.0000	DEAD
42869.2	113	ORQLCI_Expert	686.05	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 79
