# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
18228.2	46	Prophet	2871.03	0.0000	DEAD
19670.6	61	Prophet	2871.34	0.0000	DEAD
20331.7	195	Prophet	2873.45	0.0000	DEAD
20692.3	4	Prophet	2872.29	0.0000	DEAD
20932.7	190	Prophet	2873.61	0.0000	DEAD
21353.4	49	Prophet	2870.98	0.0000	DEAD
21653.9	191	Prophet	2873.53	0.0000	DEAD
22014.5	104	Prophet	2874.51	0.0000	DEAD
22254.9	107	Prophet	2874.46	0.0000	DEAD
22254.9	199	Prophet	2877.40	0.0000	DEAD
22375.1	74	Prophet	2875.12	0.0000	DEAD
22435.2	189	Prophet	2873.63	0.0000	DEAD
22435.2	197	Prophet	2873.49	0.0000	DEAD
22495.3	56	Prophet	2871.36	0.0000	DEAD
22615.5	32	Prophet	2871.79	0.0000	DEAD
22615.5	99	Prophet	2875.17	0.0000	DEAD
22735.7	70	Prophet	2871.18	0.0000	DEAD
22735.7	76	Prophet	2875.01	0.0000	DEAD
22855.9	23	Prophet	2871.95	0.0000	DEAD
23096.3	82	Prophet	2874.98	0.0000	DEAD
23156.4	35	Prophet	2871.73	0.0000	DEAD
23216.5	196	Prophet	2873.44	0.0000	DEAD
23396.8	139	Prophet	2873.88	0.0000	DEAD
23456.9	198	Prophet	2873.47	0.0000	DEAD
23517.0	127	Prophet	2874.67	0.0000	DEAD
23637.2	20	Prophet	2871.43	0.0000	DEAD
23637.2	25	Prophet	2871.98	0.0000	DEAD
23697.3	84	Prophet	2874.87	0.0000	DEAD
23697.3	111	Prophet	2874.39	0.0000	DEAD
23697.3	148	Prophet	2873.72	0.0000	DEAD
23697.3	194	Prophet	2873.54	0.0000	DEAD
23757.4	117	Prophet	2874.35	0.0000	DEAD
23757.4	128	Prophet	2874.65	0.0000	DEAD
23937.7	101	Prophet	2875.21	0.0000	DEAD
23937.7	106	Prophet	2874.55	0.0000	DEAD
23937.7	181	Prophet	2873.20	0.0000	DEAD
23997.8	27	Prophet	2871.88	0.0000	DEAD
23997.8	183	Prophet	2873.67	0.0000	DEAD
24178.1	122	Prophet	2874.83	0.0000	DEAD
24178.1	167	Prophet	2873.38	0.0000	DEAD
24238.2	8	Prophet	2871.64	0.0000	DEAD
24238.2	100	Prophet	2875.16	0.0000	DEAD
24298.3	97	Prophet	2875.28	0.0000	DEAD
24298.3	120	Prophet	2874.80	0.0000	DEAD
24298.3	150	Prophet	2873.76	0.0000	DEAD
24358.4	69	Prophet	2871.20	0.0000	DEAD
24418.5	45	Prophet	2871.05	0.0000	DEAD
24418.5	168	Prophet	2873.36	0.0000	DEAD
24478.6	43	Prophet	2871.02	0.0000	DEAD
24538.7	28	Prophet	2871.86	0.0000	DEAD
24538.7	54	Prophet	2870.89	0.0000	DEAD
24538.7	142	Prophet	2873.90	0.0000	DEAD
24598.8	144	Prophet	2873.79	0.0000	DEAD
24658.9	47	Prophet	2870.95	0.0000	DEAD
24719.0	81	Prophet	2874.99	0.0000	DEAD
24779.1	73	Prophet	2875.14	0.0000	DEAD
24779.1	77	Prophet	2875.07	0.0000	DEAD
24779.1	125	Prophet	2874.78	0.0000	DEAD
24839.2	31	Prophet	2871.81	0.0000	DEAD
24839.2	105	Prophet	2874.56	0.0000	DEAD
24899.3	66	Prophet	2871.25	0.0000	DEAD
24899.3	116	Prophet	2874.30	0.0000	DEAD
24899.3	126	Prophet	2874.76	0.0000	DEAD
25019.5	11	Prophet	2871.59	0.0000	DEAD
25019.5	90	Prophet	2875.41	0.0000	DEAD
25199.8	79	Prophet	2874.96	0.0000	DEAD
25199.8	121	Prophet	2874.85	0.0000	DEAD
25199.8	123	Prophet	2874.74	0.0000	DEAD
25259.9	112	Prophet	2874.37	0.0000	DEAD
25380.1	3	Prophet	2872.31	0.0000	DEAD
25380.1	12	Prophet	2871.57	0.0000	DEAD
25380.1	93	Prophet	2875.35	0.0000	DEAD
25440.2	83	Prophet	2874.89	0.0000	DEAD
25440.2	173	Prophet	2873.35	0.0000	DEAD
25560.4	13	Prophet	2871.63	0.0000	DEAD
25560.4	72	Prophet	2875.08	0.0000	DEAD
25620.5	134	Prophet	2874.62	0.0000	DEAD
25620.5	140	Prophet	2873.87	0.0000	DEAD
25620.5	172	Prophet	2873.29	0.0000	DEAD
25740.7	103	Prophet	2874.53	0.0000	DEAD
25740.7	113	Prophet	2874.42	0.0000	DEAD
25800.8	75	Prophet	2875.03	0.0000	DEAD
25800.8	98	Prophet	2875.26	0.0000	DEAD
25860.9	78	Prophet	2875.05	0.0000	DEAD
25860.9	174	Prophet	2873.33	0.0000	DEAD
25921.0	40	Prophet	2871.07	0.0000	DEAD
25921.0	80	Prophet	2874.94	0.0000	DEAD
25921.0	145	Prophet	2873.85	0.0000	DEAD
25981.1	86	Prophet	2874.90	0.0000	DEAD
26041.2	87	Prophet	2875.39	0.0000	DEAD
26101.3	91	Prophet	2875.32	0.0000	DEAD
26101.3	161	Prophet	2874.13	0.0000	DEAD
26221.5	68	Prophet	2871.14	0.0000	DEAD
26221.5	141	Prophet	2873.92	0.0000	DEAD
26221.5	193	Prophet	2873.56	0.0000	DEAD
26341.7	115	Prophet	2874.31	0.0000	DEAD
26522.0	94	Prophet	2875.33	0.0000	DEAD
26582.1	24	Prophet	2871.93	0.0000	DEAD
26582.1	110	Prophet	2874.47	0.0000	DEAD
26642.2	124	Prophet	2874.73	0.0000	DEAD
26702.3	64	Prophet	2871.21	0.0000	DEAD
26702.3	185	Prophet	2873.70	0.0000	DEAD
26822.5	71	Prophet	2875.10	0.0000	DEAD
27183.1	119	Prophet	2874.82	0.0000	DEAD
27303.3	108	Prophet	2874.44	0.0000	DEAD
27603.8	57	Prophet	2871.41	0.0000	DEAD
27663.9	38	Prophet	2871.75	0.0000	DEAD
27724.0	37	Prophet	2871.77	0.0000	DEAD
27844.2	118	Prophet	2874.33	0.0000	DEAD
27904.3	89	Prophet	2875.42	0.0000	DEAD
27964.4	109	Prophet	2874.49	0.0000	DEAD
27964.4	114	Prophet	2874.40	0.0000	DEAD
28204.8	60	Prophet	2871.29	0.0000	DEAD
28204.8	92	Prophet	2875.30	0.0000	DEAD
28325.0	95	Prophet	2875.25	0.0000	DEAD
28505.3	102	Prophet	2875.19	0.0000	DEAD
28565.4	158	Prophet	2874.19	0.0000	DEAD
28986.1	88	Prophet	2875.37	0.0000	DEAD
29046.2	17	Prophet	2871.55	0.0000	DEAD
29346.7	138	Prophet	2873.97	0.0000	DEAD
29527.0	67	Prophet	2871.16	0.0000	DEAD
29587.1	96	Prophet	2875.23	0.0000	DEAD
29587.1	162	Prophet	2874.12	0.0000	DEAD
29647.2	15	Prophet	2871.52	0.0000	DEAD
29647.2	30	Prophet	2871.89	0.0000	DEAD
29707.3	59	Prophet	2871.30	0.0000	DEAD
29827.5	58	Prophet	2871.39	0.0000	DEAD
29827.5	175	Prophet	2873.24	0.0000	DEAD
29887.6	153	Prophet	2874.28	0.0000	DEAD
30007.8	65	Prophet	2871.27	0.0000	DEAD
30128.0	155	Prophet	2874.17	0.0000	DEAD
31029.5	159	Prophet	2874.10	0.0000	DEAD
31390.1	52	Prophet	2870.86	0.0000	DEAD
31810.8	33	Prophet	2871.84	0.0000	DEAD
31991.1	85	Prophet	2874.92	0.0000	DEAD
32051.2	147	Prophet	2873.74	0.0000	DEAD
32171.4	132	Prophet	2874.58	0.0000	DEAD
32592.1	179	Prophet	2873.17	0.0000	DEAD
32892.6	192	Prophet	2873.51	0.0000	DEAD
33133.0	146	Prophet	2873.83	0.0000	DEAD
33553.7	170	Prophet	2873.40	0.0000	DEAD
33974.4	164	Prophet	2874.01	0.0000	DEAD
34274.9	129	Prophet	2874.71	0.0000	DEAD
35116.3	42	Prophet	2871.11	0.0000	DEAD
35837.5	5	Prophet	2872.34	0.0000	DEAD
35957.7	44	Prophet	2871.00	0.0000	DEAD
37460.2	34	Prophet	2871.82	0.0000	DEAD
37880.9	10	Prophet	2871.68	0.0000	DEAD
38121.3	149	Prophet	2873.78	0.0000	DEAD
38481.9	51	Prophet	2870.87	0.0000	DEAD
38902.6	157	Prophet	2874.21	0.0000	DEAD
39022.8	1	Prophet	2872.41	0.0000	DEAD
40164.7	29	Prophet	2871.91	0.0000	DEAD
40405.1	156	Prophet	2874.15	0.0000	DEAD
41126.3	48	Prophet	2870.93	0.0000	DEAD
41246.5	163	Prophet	2874.03	0.0000	DEAD
41426.8	53	Prophet	2870.91	0.0000	DEAD
41486.9	169	Prophet	2873.42	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 158
