# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
3043.4	197	ORQLCI_NoEnergyCtx	683.72	0.0000	DEAD
3223.7	199	ORQLCI_NoEnergyCtx	693.49	0.0000	DEAD
3464.1	196	ORQLCI_NoEnergyCtx	683.59	0.0000	DEAD
3764.6	194	ORQLCI_NoEnergyCtx	683.86	0.0000	DEAD
7605.1	111	ORQLCI_NoEnergyCtx	685.96	0.0000	DEAD
7965.1	198	ORQLCI_NoEnergyCtx	683.68	0.0000	DEAD
14445.1	64	ORQLCI_NoEnergyCtx	678.03	0.0000	DEAD
14805.1	110	ORQLCI_NoEnergyCtx	686.19	0.0000	DEAD
16485.3	127	ORQLCI_NoEnergyCtx	686.68	0.0000	DEAD
18528.7	119	ORQLCI_NoEnergyCtx	687.04	0.0000	DEAD
19249.9	79	ORQLCI_NoEnergyCtx	687.40	0.0000	DEAD
19310.0	120	ORQLCI_NoEnergyCtx	686.99	0.0000	DEAD
20271.6	42	ORQLCI_NoEnergyCtx	677.77	0.0000	DEAD
21052.9	103	ORQLCI_NoEnergyCtx	686.32	0.0000	DEAD
22555.4	80	ORQLCI_NoEnergyCtx	687.35	0.0000	DEAD
23036.2	116	ORQLCI_NoEnergyCtx	685.74	0.0000	DEAD
23757.4	94	ORQLCI_NoEnergyCtx	688.34	0.0000	DEAD
24658.9	195	ORQLCI_NoEnergyCtx	683.63	0.0000	DEAD
25139.7	86	ORQLCI_NoEnergyCtx	687.26	0.0000	DEAD
25199.8	89	ORQLCI_NoEnergyCtx	688.56	0.0000	DEAD
25259.9	82	ORQLCI_NoEnergyCtx	687.44	0.0000	DEAD
25259.9	107	ORQLCI_NoEnergyCtx	686.14	0.0000	DEAD
25740.7	97	ORQLCI_NoEnergyCtx	688.20	0.0000	DEAD
26161.4	114	ORQLCI_NoEnergyCtx	686.01	0.0000	DEAD
26281.6	65	ORQLCI_NoEnergyCtx	678.17	0.0000	DEAD
26702.3	75	ORQLCI_NoEnergyCtx	687.58	0.0000	DEAD
27303.3	83	ORQLCI_NoEnergyCtx	687.22	0.0000	DEAD
27784.1	100	ORQLCI_NoEnergyCtx	687.89	0.0000	DEAD
27784.1	126	ORQLCI_NoEnergyCtx	686.90	0.0000	DEAD
28204.8	36	ORQLCI_NoEnergyCtx	679.29	0.0000	DEAD
28264.9	104	ORQLCI_NoEnergyCtx	686.28	0.0000	DEAD
28385.1	15	ORQLCI_NoEnergyCtx	678.80	0.0000	DEAD
28865.9	125	ORQLCI_NoEnergyCtx	686.95	0.0000	DEAD
28926.0	92	ORQLCI_NoEnergyCtx	688.25	0.0000	DEAD
29527.0	78	ORQLCI_NoEnergyCtx	687.62	0.0000	DEAD
29827.5	76	ORQLCI_NoEnergyCtx	687.53	0.0000	DEAD
30007.8	98	ORQLCI_NoEnergyCtx	688.16	0.0000	DEAD
