time delivery_prob overhead_ratio latency_avg dropped created delivered
1000.0000 0.0800 122.7500 633.3750 0 50 4
2000.1000 0.2000 94.6000 1013.6100 0 100 20
3000.1000 0.2384 99.7222 1289.7028 0 151 36
4000.1000 0.2871 91.3966 1556.5672 0 202 58
5000.0000 0.3597 80.4835 1919.2242 73 253 91
6000.0000 0.3902 78.8067 2148.5546 464 305 119
7000.0000 0.4225 76.2000 2433.7460 1388 355 150
8000.0000 0.4272 78.6127 2618.4821 2636 405 173
9000.0000 0.4345 78.7337 2835.7181 4170 458 199
10000.0000 0.4431 79.4292 2928.2611 5948 510 226
11000.0000 0.4518 78.3281 3158.6391 7441 560 253
12000.0000 0.4510 78.6341 3343.6826 9058 612 276
13000.0000 0.4622 78.5196 3549.6542 11186 662 306
14000.0000 0.4635 79.7333 3574.5918 13407 712 330
15000.0000 0.4731 78.8083 3766.1933 15465 761 360
16000.0000 0.4791 78.3059 3892.9902 17525 812 389
17000.0000 0.4774 78.8908 4075.9367 19595 863 412
18000.0000 0.4781 78.8490 4168.4114 21611 914 437
19000.0000 0.4870 77.7915 4415.5934 26462 965 470
20000.1000 0.4828 77.3849 4563.2817 30248 1017 491
21000.1000 0.4906 75.7080 4779.9166 33218 1068 524
22000.1000 0.4911 75.8452 4882.9545 35545 1118 549
23000.1000 0.5103 72.5394 5052.7802 37084 1170 597
24000.1000 0.5262 70.1822 5263.0341 38735 1220 642
25000.1000 0.5523 66.8875 5481.5952 40238 1271 702
26000.1000 0.5809 63.2865 5720.8540 41632 1322 768
27000.1000 0.5834 62.5968 5809.2787 43098 1373 801
28000.1000 0.5888 61.6687 5879.5244 44431 1425 839
29000.1000 0.5955 60.6382 5990.7679 45766 1476 879
30000.1000 0.6001 60.0207 6080.1502 47062 1528 917
31000.1000 0.6146 58.7796 6150.8915 48716 1580 971
32000.1000 0.6168 58.9990 6230.9795 51007 1631 1006
33000.1000 0.6270 58.4820 6321.7079 53126 1681 1054
34000.1000 0.6363 57.8475 6415.6800 55438 1732 1102
35000.1000 0.6414 57.5494 6428.8510 57683 1782 1143
36000.1000 0.6434 57.3331 6453.1808 60078 1834 1180
37000.1000 0.6501 56.7741 6527.2743 62060 1886 1226
38000.1000 0.6606 56.0133 6594.4947 64243 1936 1279
39000.1000 0.6640 55.7727 6642.7096 66309 1988 1320
40000.1000 0.6631 55.8935 6700.3064 68639 2039 1352
41000.1000 0.6673 55.3257 6728.4146 70273 2089 1394
42000.1000 0.6738 54.8773 6782.6464 72121 2140 1442
43000.1000 0.6749 54.8372 6805.3739 73915 2193 1480
43200.1000 0.6762 54.7831 6808.7346 74275 2202 1489
