time delivery_prob overhead_ratio latency_avg dropped created delivered
1000.0000 3.4200 0.8187 440.9129 0 50 171
2000.1000 7.4900 0.5154 857.9511 0 100 749
3000.1000 10.0993 0.5207 1237.9711 0 151 1525
4000.1000 11.3020 0.5537 1544.2532 0 202 2283
5000.0000 12.3241 0.6001 1836.2322 0 253 3118
6000.0000 13.2721 0.5862 2156.4497 0 305 4048
7000.0000 14.1239 0.5538 2470.3057 0 355 5014
8000.0000 15.1383 0.4856 2836.6351 0 405 6131
9000.0000 15.8472 0.4397 3142.7924 0 458 7258
10000.0000 16.3059 0.4180 3422.9154 0 510 8316
11000.0000 16.4071 0.4112 3691.0845 0 560 9188
12000.0000 16.6536 0.4053 3966.3260 0 612 10192
13000.0000 17.0967 0.4082 4281.6772 0 662 11318
14000.0000 17.3525 0.4141 4558.8824 0 712 12355
15000.0000 17.4218 0.4147 4795.6736 0 761 13258
16000.0000 17.7241 0.4067 5088.5136 0 812 14392
17000.0000 18.0197 0.3945 5366.3571 0 863 15551
18000.0000 18.4234 0.3823 5682.0375 7 914 16839
19000.0000 18.9171 0.3688 5981.4279 845 965 18255
20000.1000 18.9469 0.3630 6176.2525 1627 1017 19269
21000.1000 19.0581 0.3585 6346.7874 2598 1068 20354
22000.1000 19.3462 0.3524 6507.3503 3327 1118 21629
23000.1000 19.4735 0.3491 6654.9113 3455 1170 22784
24000.1000 19.5959 0.3453 6773.3752 3952 1220 23907
25000.1000 19.7939 0.3426 6893.9301 4430 1271 25158
26000.1000 19.9206 0.3367 6997.9873 4919 1322 26335
27000.1000 19.9854 0.3294 7070.5090 5011 1373 27440
28000.1000 20.0772 0.3213 7148.4587 5173 1425 28610
29000.1000 20.2148 0.3140 7221.5609 6374 1476 29837
30000.1000 20.3429 0.3078 7307.2308 7057 1528 31084
31000.1000 20.4975 0.3055 7370.1358 7540 1580 32386
32000.1000 20.6542 0.3011 7432.2532 7627 1631 33687
33000.1000 20.9560 0.2937 7502.3967 7700 1681 35227
34000.1000 21.2055 0.2863 7570.6947 8175 1732 36728
35000.1000 21.3777 0.2789 7622.1064 8474 1782 38095
36000.1000 21.5120 0.2720 7668.7083 8933 1834 39453
37000.1000 21.6612 0.2662 7716.7360 9014 1886 40853
38000.1000 21.8146 0.2621 7752.7470 9289 1936 42233
39000.1000 21.9085 0.2580 7789.3425 9957 1988 43554
40000.1000 22.0000 0.2531 7815.2904 10433 2039 44858
41000.1000 22.0603 0.2490 7845.0279 10506 2089 46084
42000.1000 22.1093 0.2447 7877.7667 10570 2140 47314
43000.1000 22.1778 0.2405 7904.6174 11033 2193 48636
43200.1000 22.2044 0.2398 7908.0914 11241 2202 48894
