time delivery_prob overhead_ratio latency_avg dropped created delivered
1000.0000 0.0000 0.0000 0.0 0 50 0
2000.1000 0.0900 59.0000 1185.1778 0 100 9
3000.1000 0.1722 58.0769 1239.7769 0 151 26
4000.1000 0.2525 55.2745 1650.3020 0 202 51
5000.0000 0.3399 51.4302 2034.5733 0 253 86
6000.0000 0.3869 53.7966 2341.6525 371 305 118
7000.0000 0.4141 57.0544 2609.2000 931 355 147
8000.0000 0.4272 60.3179 2755.0069 1534 405 173
9000.0000 0.4236 64.8402 2828.2918 2460 458 194
10000.0000 0.4275 66.7294 2914.2794 3570 510 218
11000.0000 0.4304 67.7510 3076.5643 4721 560 241
12000.0000 0.4314 69.1212 3143.7341 6200 612 264
13000.0000 0.4275 72.1555 3273.2661 8006 662 283
14000.0000 0.4368 72.4084 3409.2244 9920 712 311
15000.0000 0.4442 73.8107 3466.7615 12256 761 338
16000.0000 0.4618 72.0613 3693.3763 14232 812 375
17000.0000 0.4635 72.9975 3829.0350 16393 863 400
18000.0000 0.4705 72.6186 3971.2126 18470 914 430
19000.0000 0.4808 72.1228 4169.2073 22694 965 464
20000.1000 0.4798 71.8361 4293.7662 26098 1017 488
21000.1000 0.4813 71.6109 4420.7899 28784 1068 514
22000.1000 0.4839 71.5656 4516.3373 31288 1118 541
23000.1000 0.4863 71.3357 4743.4315 33051 1170 569
24000.1000 0.4893 70.7655 4863.9638 34876 1220 597
25000.1000 0.5012 69.2700 4972.2300 36612 1271 637
26000.1000 0.5091 68.1560 5099.1666 38098 1322 673
27000.1000 0.5106 67.7832 5192.4613 40562 1373 701
28000.1000 0.5200 66.5641 5273.4486 42091 1425 741
29000.1000 0.5271 65.4769 5356.4344 43427 1476 778
30000.1000 0.5366 64.5049 5526.0157 44939 1528 820
31000.1000 0.5487 63.2930 5521.4355 46557 1580 867
32000.1000 0.5536 63.0753 5605.5336 49098 1631 903
33000.1000 0.5550 63.5466 5736.8387 51434 1681 933
34000.1000 0.5629 63.2667 5834.8823 53995 1732 975
35000.1000 0.5662 62.9376 5874.6495 56071 1782 1009
36000.1000 0.5682 62.9040 5892.4147 57759 1834 1042
37000.1000 0.5737 62.4316 5971.0947 59557 1886 1082
38000.1000 0.5785 61.9536 6052.3696 61741 1936 1120
39000.1000 0.5810 61.5593 6132.6736 63798 1988 1155
40000.1000 0.5792 61.8315 6189.7785 65568 2039 1181
41000.1000 0.5850 60.9509 6234.7480 67655 2089 1222
42000.1000 0.5869 60.7842 6260.4357 69622 2140 1256
43000.1000 0.5914 60.2675 6338.7032 71145 2193 1297
43200.1000 0.5931 60.2542 6330.3519 71474 2202 1306
