# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
41847.5	110	ORQLCI_NoEnergyCtx	1509.61	0.0000	DEAD
45513.6	90	ORQLCI_NoEnergyCtx	1514.74	0.0000	DEAD
45513.6	97	ORQLCI_NoEnergyCtx	1514.05	0.0000	DEAD
46415.1	95	ORQLCI_NoEnergyCtx	1513.85	0.0000	DEAD
46475.2	85	ORQLCI_NoEnergyCtx	1512.07	0.0000	DEAD
47016.1	116	ORQLCI_NoEnergyCtx	1508.63	0.0000	DEAD
47136.3	78	ORQLCI_NoEnergyCtx	1512.76	0.0000	DEAD
47677.2	83	ORQLCI_NoEnergyCtx	1511.88	0.0000	DEAD
48698.9	122	ORQLCI_NoEnergyCtx	1511.58	0.0000	DEAD
48999.4	108	ORQLCI_NoEnergyCtx	1509.41	0.0000	DEAD
49239.8	59	ORQLCI_NoEnergyCtx	1492.17	0.0000	DEAD
49239.8	87	ORQLCI_NoEnergyCtx	1514.64	0.0000	DEAD
49360.0	197	ORQLCI_NoEnergyCtx	1504.19	0.0000	DEAD
49540.3	98	ORQLCI_NoEnergyCtx	1513.95	0.0000	DEAD
49600.4	86	ORQLCI_NoEnergyCtx	1511.98	0.0000	DEAD
50381.7	127	ORQLCI_NoEnergyCtx	1510.70	0.0000	DEAD
51403.4	66	ORQLCI_NoEnergyCtx	1491.87	0.0000	DEAD
51463.5	158	ORQLCI_NoEnergyCtx	1508.03	0.0000	DEAD
51764.0	117	ORQLCI_NoEnergyCtx	1508.92	0.0000	DEAD
51884.2	99	ORQLCI_NoEnergyCtx	1513.45	0.0000	DEAD
51884.2	112	ORQLCI_NoEnergyCtx	1509.02	0.0000	DEAD
51884.2	121	ORQLCI_NoEnergyCtx	1511.68	0.0000	DEAD
52004.4	68	ORQLCI_NoEnergyCtx	1491.28	0.0000	DEAD
52004.4	111	ORQLCI_NoEnergyCtx	1509.12	0.0000	DEAD
52064.5	91	ORQLCI_NoEnergyCtx	1514.24	0.0000	DEAD
52365.0	69	ORQLCI_NoEnergyCtx	1491.58	0.0000	DEAD
52485.2	76	ORQLCI_NoEnergyCtx	1512.57	0.0000	DEAD
52545.3	194	ORQLCI_NoEnergyCtx	1504.49	0.0000	DEAD
52605.4	104	ORQLCI_NoEnergyCtx	1509.81	0.0000	DEAD
52725.6	64	ORQLCI_NoEnergyCtx	1491.68	0.0000	DEAD
52785.7	82	ORQLCI_NoEnergyCtx	1512.37	0.0000	DEAD
52845.8	120	ORQLCI_NoEnergyCtx	1511.38	0.0000	DEAD
53146.3	113	ORQLCI_NoEnergyCtx	1509.32	0.0000	DEAD
53326.6	88	ORQLCI_NoEnergyCtx	1514.54	0.0000	DEAD
53386.7	93	ORQLCI_NoEnergyCtx	1514.44	0.0000	DEAD
53386.7	103	ORQLCI_NoEnergyCtx	1509.91	0.0000	DEAD
