time delivery_prob overhead_ratio latency_avg dropped created delivered
1000.0000 0.0000 0.0000 0.0 0 0 0
2000.1000 0.0746 57.2000 280.5400 0 67 5
3000.1000 0.2667 42.6667 886.0556 188 135 36
4000.1000 0.3951 44.6049 1116.0037 675 205 81
5000.0000 0.4505 55.9431 1326.2650 2266 273 123
6000.0000 0.4588 68.9295 1398.9917 4954 340 156
7000.0000 0.4587 76.6667 1524.4138 7992 412 189
8000.0000 0.4489 84.2186 1631.9167 11000 479 215
9000.0000 0.4562 89.5000 1760.3312 14712 548 250
10000.0000 0.4594 93.2049 1853.5357 18403 616 283
11000.0000 0.4648 98.2429 2006.1767 22876 682 317
12000.0000 0.4593 103.4884 2050.5674 27094 749 344
13000.0000 0.4487 109.6894 2084.0117 31417 818 367
14000.0000 0.4497 113.5126 2119.5563 36044 885 398
15000.0000 0.4498 115.7837 2230.4137 40495 956 430
16000.0000 0.4531 118.6659 2290.9024 45633 1024 464
17000.0000 0.4432 125.1178 2332.7723 51059 1092 484
18000.0000 0.4367 129.1243 2396.2456 55851 1161 507
19000.0000 0.4365 130.9235 2362.8377 60412 1228 536
20000.1000 0.4395 131.9421 2375.0412 65288 1297 570
21000.1000 0.4345 134.4057 2402.4327 69832 1367 594
22000.1000 0.4318 135.8887 2433.9019 74209 1436 620
23000.1000 0.4250 138.6484 2441.6405 78644 1506 640
24000.1000 0.4240 140.9130 2476.1945 83894 1573 667
25000.1000 0.4226 142.7720 2494.5042 88759 1640 693
26000.1000 0.4187 145.1075 2543.7663 93710 1710 716
27000.1000 0.4168 147.2011 2560.6829 98906 1778 741
28000.1000 0.4145 149.5496 2564.0944 104324 1848 766
29000.1000 0.4119 151.6392 2559.4708 109501 1918 790
30000.1000 0.4111 153.5711 2570.8551 114981 1985 816
31000.1000 0.4126 153.8949 2577.4460 120040 2053 847
32000.1000 0.4136 154.2665 2624.9936 125190 2123 878
33000.1000 0.4147 155.4235 2612.8149 131003 2192 909
34000.1000 0.4112 157.4575 2603.7055 136015 2259 929
35000.1000 0.4096 158.4602 2628.9417 140896 2329 954
36000.1000 0.4065 161.2141 2639.6566 147124 2401 976
37000.1000 0.4031 163.4709 2642.2087 152049 2471 996
38000.1000 0.4069 162.9130 2648.4026 157883 2541 1034
39000.1000 0.4055 164.9953 2660.2653 163966 2609 1058
40000.1000 0.4073 165.5152 2690.3579 169596 2674 1089
41000.1000 0.4103 164.9263 2704.5394 175174 2744 1126
42000.1000 0.4086 166.3690 2739.0830 180688 2812 1149
43000.1000 0.4073 167.4808 2751.8970 186241 2880 1173
44000.1000 0.4067 168.4988 2770.5451 192172 2953 1201
45000.1000 0.4087 168.4029 2768.6289 197858 3024 1236
46000.1000 0.4119 168.0173 2781.5808 203947 3093 1274
47000.1000 0.4116 168.9247 2808.6569 209928 3163 1302
48000.1000 0.4135 169.3089 2817.3098 216264 3233 1337
49000.1000 0.4125 170.3140 2803.6499 221945 3304 1363
50000.1000 0.4125 171.0467 2820.5539 227817 3372 1391
51000.1000 0.4127 171.6885 2831.4374 233571 3438 1419
52000.1000 0.4119 172.6766 2846.8453 239482 3506 1444
53000.1000 0.4133 172.9648 2852.1358 245656 3574 1477
54000.1000 0.4134 173.6315 2853.4179 251693 3643 1506
55000.1000 0.4131 173.9856 2851.1153 256943 3711 1533
56000.1000 0.4121 174.6235 2852.7241 262534 3783 1559
57000.1000 0.4124 174.8678 2865.9062 268244 3853 1589
58000.1000 0.4115 175.8185 2865.3632 274438 3922 1614
59000.1000 0.4125 175.6594 2859.4765 280136 3993 1647
60000.1000 0.4121 176.8082 2862.8241 286809 4062 1674
61000.1000 0.4102 178.1347 2863.2054 292457 4127 1693
62000.1000 0.4094 179.1339 2855.5936 298729 4196 1718
63000.1000 0.4085 180.2773 2863.0912 305170 4264 1742
64000.1000 0.4082 181.1471 2874.2987 311428 4331 1768
65000.1000 0.4072 182.0061 2865.6881 317552 4403 1793
66000.1000 0.4067 182.6960 2861.1980 323629 4473 1819
67000.1000 0.4075 182.8805 2866.3478 329720 4540 1850
68000.1000 0.4071 183.3559 2875.4728 335670 4611 1877
69000.1000 0.4075 183.3589 2871.5247 341146 4677 1906
70000.1000 0.4062 184.4232 2881.9451 347333 4746 1928
71000.1000 0.4056 184.9647 2887.4094 353076 4815 1953
72000.1000 0.4050 185.4603 2879.1146 359057 4886 1979
73000.1000 0.4044 185.8847 2877.2265 364523 4955 2004
74000.1000 0.4051 185.6031 2872.6395 369955 5026 2036
75000.1000 0.4051 186.0325 2877.4266 376010 5095 2064
76000.1000 0.4042 186.8050 2884.8058 381881 5163 2087
77000.1000 0.4027 187.6412 2882.6317 387510 5232 2107
78000.0000 0.4044 187.3946 2892.3459 394064 5302 2144
79000.0000 0.4032 188.3811 2894.7588 400187 5370 2165
80000.0000 0.4031 188.5805 2901.2867 406144 5441 2193
81000.0000 0.4025 188.9563 2897.1687 411714 5511 2218
82000.0000 0.4027 189.1385 2911.5888 417303 5578 2246
83000.0000 0.4032 188.9122 2918.5009 422908 5648 2277
84000.0000 0.4040 188.8900 2920.9757 428939 5716 2309
85000.0000 0.4032 189.7045 2922.2962 435197 5784 2332
86000.0000 0.4032 189.7073 2927.8685 440728 5855 2361
86400.0000 0.4033 189.8756 2924.3517 443197 5882 2372
