Run 1/1
Running simulation 'Epidemic_Reality_Baseline'
60.0 209594: 3493.18 1/s
120.0 281526: 1198.79 1/s
180.0 392711: 1853.05 1/s
240.0 483285: 1509.54 1/s
300.0 567781: 1408.24 1/s
360.0 699816: 2200.55 1/s
420.0 794631: 1580.22 1/s
480.0 892342: 1628.49 1/s
540.0 1055991: 2727.44 1/s
600.0 1131211: 1253.65 1/s
660.0 1196697: 1091.42 1/s
720.0 1311667: 1916.13 1/s
780.0 1389343: 1294.56 1/s
840.0 1431519: 702.91 1/s
900.0 1491573: 1000.87 1/s
959.9 1698181: 3453.25 1/s
Simulation done in 959.70s
---
All done in 960.05s
