# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
44400.0	24	Epidemic	571.93	0.0000	DEAD
72780.0	39	Epidemic	571.09	0.0000	DEAD
72840.0	5	Epidemic	572.34	0.0000	DEAD
72960.0	28	Epidemic	571.86	0.0000	DEAD
73320.0	0	Epidemic	572.36	0.0000	DEAD
73380.0	26	Epidemic	571.97	0.0000	DEAD
73440.0	14	Epidemic	571.61	0.0000	DEAD
73560.0	4	Epidemic	572.29	0.0000	DEAD
73560.0	6	Epidemic	572.32	0.0000	DEAD
73620.0	9	Epidemic	571.70	0.0000	DEAD
73620.0	12	Epidemic	571.57	0.0000	DEAD
74040.0	16	Epidemic	571.50	0.0000	DEAD
74100.0	35	Epidemic	571.73	0.0000	DEAD
74760.0	8	Epidemic	571.64	0.0000	DEAD
74760.0	29	Epidemic	571.91	0.0000	DEAD
75000.0	18	Epidemic	571.54	0.0000	DEAD
76920.0	1	Epidemic	572.41	0.0000	DEAD
77340.0	23	Epidemic	571.95	0.0000	DEAD
77580.0	15	Epidemic	571.52	0.0000	DEAD
77580.0	32	Epidemic	571.79	0.0000	DEAD
78420.0	37	Epidemic	571.77	0.0000	DEAD
79500.0	33	Epidemic	571.84	0.0000	DEAD
81600.0	22	Epidemic	571.46	0.0000	DEAD
81780.0	21	Epidemic	571.48	0.0000	DEAD
81840.0	13	Epidemic	571.63	0.0000	DEAD
82080.0	36	Epidemic	571.72	0.0000	DEAD
82200.0	2	Epidemic	572.40	0.0000	DEAD
82260.0	31	Epidemic	571.81	0.0000	DEAD
82560.0	38	Epidemic	571.75	0.0000	DEAD
87000.0	25	Epidemic	571.98	0.0000	DEAD
87600.0	10	Epidemic	571.68	0.0000	DEAD
89040.0	27	Epidemic	571.88	0.0000	DEAD
89280.0	3	Epidemic	572.31	0.0000	DEAD
159240.0	7	Epidemic	571.66	0.0000	DEAD
161700.0	17	Epidemic	571.55	0.0000	DEAD
164940.0	20	Epidemic	571.43	0.0000	DEAD
165480.0	34	Epidemic	571.82	0.0000	DEAD
174060.0	19	Epidemic	571.45	0.0000	DEAD
174120.0	40	Epidemic	571.07	0.0000	DEAD
249600.0	11	Epidemic	571.59	0.0000	DEAD
265080.0	30	Epidemic	571.89	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 41
