# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
74040.0	39	ORQLCI	571.09	0.0000	DEAD
74160.0	25	ORQLCI	571.98	0.0000	DEAD
74400.0	5	ORQLCI	572.34	0.0000	DEAD
74700.0	0	ORQLCI	572.36	0.0000	DEAD
76320.0	12	ORQLCI	571.57	0.0000	DEAD
77340.0	23	ORQLCI	571.95	0.0000	DEAD
77760.0	14	ORQLCI	571.61	0.0000	DEAD
82140.0	21	ORQLCI	571.48	0.0000	DEAD
83340.0	24	ORQLCI	571.93	0.0000	DEAD
92760.0	4	ORQLCI	572.29	0.0000	DEAD
96840.0	8	ORQLCI	571.64	0.0000	DEAD
112860.0	31	ORQLCI	571.81	0.0000	DEAD
119280.0	28	ORQLCI	571.86	0.0000	DEAD
123360.0	32	ORQLCI	571.79	0.0000	DEAD
163680.0	2	ORQLCI	572.40	0.0000	DEAD
170640.0	9	ORQLCI	571.70	0.0000	DEAD
171360.0	17	ORQLCI	571.55	0.0000	DEAD
175800.0	22	ORQLCI	571.46	0.0000	DEAD
177180.0	26	ORQLCI	571.97	0.0000	DEAD
178560.0	34	ORQLCI	571.82	0.0000	DEAD
180000.0	36	ORQLCI	571.72	0.0000	DEAD
184920.0	10	ORQLCI	571.68	0.0000	DEAD
185460.0	1	ORQLCI	572.41	0.0000	DEAD
188640.0	13	ORQLCI	571.63	0.0000	DEAD
191400.0	20	ORQLCI	571.43	0.0000	DEAD
193140.0	33	ORQLCI	571.84	0.0000	DEAD
193800.0	29	ORQLCI	571.91	0.0000	DEAD
201840.0	7	ORQLCI	571.66	0.0000	DEAD
202080.0	40	ORQLCI	571.07	0.0000	DEAD
207600.0	19	ORQLCI	571.45	0.0000	DEAD
215160.0	38	ORQLCI	571.75	0.0000	DEAD
244140.0	18	ORQLCI	571.54	0.0000	DEAD
244440.0	16	ORQLCI	571.50	0.0000	DEAD
245520.0	3	ORQLCI	572.31	0.0000	DEAD
246000.0	15	ORQLCI	571.52	0.0000	DEAD
246960.0	27	ORQLCI	571.88	0.0000	DEAD
250620.0	6	ORQLCI	572.32	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 37
