# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
72840.0	28	Prophet	571.86	0.0000	DEAD
73380.0	5	Prophet	572.34	0.0000	DEAD
73500.0	14	Prophet	571.61	0.0000	DEAD
73560.0	0	Prophet	572.36	0.0000	DEAD
73620.0	16	Prophet	571.50	0.0000	DEAD
73860.0	6	Prophet	572.32	0.0000	DEAD
73860.0	35	Prophet	571.73	0.0000	DEAD
74160.0	39	Prophet	571.09	0.0000	DEAD
74340.0	4	Prophet	572.29	0.0000	DEAD
74340.0	26	Prophet	571.97	0.0000	DEAD
75000.0	8	Prophet	571.64	0.0000	DEAD
75000.0	18	Prophet	571.54	0.0000	DEAD
75060.0	12	Prophet	571.57	0.0000	DEAD
75120.0	29	Prophet	571.91	0.0000	DEAD
75180.0	21	Prophet	571.48	0.0000	DEAD
75180.0	37	Prophet	571.77	0.0000	DEAD
78720.0	32	Prophet	571.79	0.0000	DEAD
81180.0	34	Prophet	571.82	0.0000	DEAD
81240.0	2	Prophet	572.40	0.0000	DEAD
81600.0	1	Prophet	572.41	0.0000	DEAD
81600.0	23	Prophet	571.95	0.0000	DEAD
81840.0	9	Prophet	571.70	0.0000	DEAD
81900.0	38	Prophet	571.75	0.0000	DEAD
83400.0	25	Prophet	571.98	0.0000	DEAD
83520.0	19	Prophet	571.45	0.0000	DEAD
84060.0	31	Prophet	571.81	0.0000	DEAD
84120.0	15	Prophet	571.52	0.0000	DEAD
84300.0	24	Prophet	571.93	0.0000	DEAD
84360.0	13	Prophet	571.63	0.0000	DEAD
88260.0	22	Prophet	571.46	0.0000	DEAD
89100.0	27	Prophet	571.88	0.0000	DEAD
89280.0	3	Prophet	572.31	0.0000	DEAD
94260.0	7	Prophet	571.66	0.0000	DEAD
94260.0	36	Prophet	571.72	0.0000	DEAD
100260.0	33	Prophet	571.84	0.0000	DEAD
211320.0	40	Prophet	571.07	0.0000	DEAD
245700.0	17	Prophet	571.55	0.0000	DEAD
249600.0	11	Prophet	571.59	0.0000	DEAD
259440.0	10	Prophet	571.68	0.0000	DEAD
259440.0	20	Prophet	571.43	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 40
