# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
9885.1	135	Epidemic	2073.96	0.0000	DEAD
9945.1	171	Epidemic	2073.31	0.0000	DEAD
9945.1	195	Epidemic	2073.45	0.0000	DEAD
10065.1	148	Epidemic	2073.72	0.0000	DEAD
10245.1	194	Epidemic	2073.54	0.0000	DEAD
10785.1	197	Epidemic	2073.49	0.0000	DEAD
11085.1	176	Epidemic	2073.22	0.0000	DEAD
11385.1	19	Epidemic	2071.45	0.0000	DEAD
11505.1	39	Epidemic	2071.09	0.0000	DEAD
12165.1	9	Epidemic	2071.70	0.0000	DEAD
12165.1	17	Epidemic	2071.55	0.0000	DEAD
12165.1	196	Epidemic	2073.44	0.0000	DEAD
12345.1	15	Epidemic	2071.52	0.0000	DEAD
12465.1	153	Epidemic	2074.28	0.0000	DEAD
12585.1	53	Epidemic	2070.91	0.0000	DEAD
12585.1	188	Epidemic	2073.58	0.0000	DEAD
12885.1	1	Epidemic	2072.41	0.0000	DEAD
12885.1	5	Epidemic	2072.34	0.0000	DEAD
12885.1	22	Epidemic	2071.46	0.0000	DEAD
13005.1	164	Epidemic	2074.01	0.0000	DEAD
13005.1	198	Epidemic	2073.47	0.0000	DEAD
13065.1	132	Epidemic	2074.58	0.0000	DEAD
13125.1	159	Epidemic	2074.10	0.0000	DEAD
13125.1	199	Epidemic	2077.40	0.0000	DEAD
13185.1	12	Epidemic	2071.57	0.0000	DEAD
13245.1	11	Epidemic	2071.59	0.0000	DEAD
13245.1	130	Epidemic	2074.69	0.0000	DEAD
13305.1	71	Epidemic	2075.10	0.0000	DEAD
13305.1	155	Epidemic	2074.17	0.0000	DEAD
13545.1	63	Epidemic	2071.23	0.0000	DEAD
13545.1	186	Epidemic	2073.69	0.0000	DEAD
13545.1	192	Epidemic	2073.51	0.0000	DEAD
13605.1	136	Epidemic	2073.94	0.0000	DEAD
13665.1	180	Epidemic	2073.15	0.0000	DEAD
13725.1	6	Epidemic	2072.32	0.0000	DEAD
13845.1	191	Epidemic	2073.53	0.0000	DEAD
13965.1	43	Epidemic	2071.02	0.0000	DEAD
