# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
67146.9	110	ORQLCI	2074.47	0.0000	DEAD
68766.9	95	ORQLCI	2075.25	0.0000	DEAD
69726.9	104	ORQLCI	2074.51	0.0000	DEAD
70086.9	198	ORQLCI	2073.47	0.0000	DEAD
70266.9	91	ORQLCI	2075.32	0.0000	DEAD
70326.9	113	ORQLCI	2074.42	0.0000	DEAD
70506.9	71	ORQLCI	2075.10	0.0000	DEAD
70506.9	112	ORQLCI	2074.37	0.0000	DEAD
70686.9	108	ORQLCI	2074.44	0.0000	DEAD
70746.9	78	ORQLCI	2075.05	0.0000	DEAD
70746.9	92	ORQLCI	2075.30	0.0000	DEAD
70926.9	75	ORQLCI	2075.03	0.0000	DEAD
70926.9	117	ORQLCI	2074.35	0.0000	DEAD
70986.9	127	ORQLCI	2074.67	0.0000	DEAD
71046.9	111	ORQLCI	2074.39	0.0000	DEAD
71166.9	197	ORQLCI	2073.49	0.0000	DEAD
71226.9	66	ORQLCI	2071.25	0.0000	DEAD
71226.9	102	ORQLCI	2075.19	0.0000	DEAD
71226.9	196	ORQLCI	2073.44	0.0000	DEAD
71466.9	114	ORQLCI	2074.40	0.0000	DEAD
71526.9	97	ORQLCI	2075.28	0.0000	DEAD
71586.9	70	ORQLCI	2071.18	0.0000	DEAD
71826.9	86	ORQLCI	2074.90	0.0000	DEAD
71946.9	94	ORQLCI	2075.33	0.0000	DEAD
72066.9	115	ORQLCI	2074.31	0.0000	DEAD
72126.9	93	ORQLCI	2075.35	0.0000	DEAD
72126.9	96	ORQLCI	2075.23	0.0000	DEAD
72126.9	98	ORQLCI	2075.26	0.0000	DEAD
72186.9	100	ORQLCI	2075.16	0.0000	DEAD
72186.9	121	ORQLCI	2074.85	0.0000	DEAD
72246.9	88	ORQLCI	2075.37	0.0000	DEAD
72246.9	90	ORQLCI	2075.41	0.0000	DEAD
72306.9	103	ORQLCI	2074.53	0.0000	DEAD
72306.9	120	ORQLCI	2074.80	0.0000	DEAD
72426.9	83	ORQLCI	2074.89	0.0000	DEAD
72606.9	64	ORQLCI	2071.21	0.0000	DEAD
72666.9	69	ORQLCI	2071.20	0.0000	DEAD
72666.9	99	ORQLCI	2075.17	0.0000	DEAD
72666.9	116	ORQLCI	2074.30	0.0000	DEAD
72726.9	122	ORQLCI	2074.83	0.0000	DEAD
72786.9	72	ORQLCI	2075.08	0.0000	DEAD
72846.9	101	ORQLCI	2075.21	0.0000	DEAD
72906.9	199	ORQLCI	2077.40	0.0000	DEAD
72966.9	124	ORQLCI	2074.73	0.0000	DEAD
73086.9	125	ORQLCI	2074.78	0.0000	DEAD
73326.9	73	ORQLCI	2075.14	0.0000	DEAD
73446.9	85	ORQLCI	2074.92	0.0000	DEAD
73686.9	76	ORQLCI	2075.01	0.0000	DEAD
73746.9	74	ORQLCI	2075.12	0.0000	DEAD
73866.9	107	ORQLCI	2074.46	0.0000	DEAD
73926.9	68	ORQLCI	2071.14	0.0000	DEAD
73926.9	81	ORQLCI	2074.99	0.0000	DEAD
73986.9	119	ORQLCI	2074.82	0.0000	DEAD
74286.9	87	ORQLCI	2075.39	0.0000	DEAD
74466.9	105	ORQLCI	2074.56	0.0000	DEAD
74646.9	80	ORQLCI	2074.94	0.0000	DEAD
74646.9	106	ORQLCI	2074.55	0.0000	DEAD
74706.9	89	ORQLCI	2075.42	0.0000	DEAD
74706.9	109	ORQLCI	2074.49	0.0000	DEAD
74766.9	77	ORQLCI	2075.07	0.0000	DEAD
75906.9	82	ORQLCI	2074.98	0.0000	DEAD
75966.9	67	ORQLCI	2071.16	0.0000	DEAD
75966.9	79	ORQLCI	2074.96	0.0000	DEAD
76086.9	123	ORQLCI	2074.74	0.0000	DEAD
76986.9	84	ORQLCI	2074.87	0.0000	DEAD
77346.9	118	ORQLCI	2074.33	0.0000	DEAD
77466.9	126	ORQLCI	2074.76	0.0000	DEAD
77646.9	65	ORQLCI	2071.27	0.0000	DEAD
79986.9	59	ORQLCI	2071.30	0.0000	DEAD
80826.9	32	ORQLCI	2071.79	0.0000	DEAD
81066.9	194	ORQLCI	2073.54	0.0000	DEAD
82146.9	153	ORQLCI	2074.28	0.0000	DEAD
82866.9	128	ORQLCI	2074.65	0.0000	DEAD
85386.9	15	ORQLCI	2071.52	0.0000	DEAD
85806.9	11	ORQLCI	2071.59	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 75
