# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
10545.1	195	Prophet	2073.45	0.0000	DEAD
11085.1	135	Prophet	2073.96	0.0000	DEAD
11805.1	171	Prophet	2073.31	0.0000	DEAD
11925.1	197	Prophet	2073.49	0.0000	DEAD
12285.1	194	Prophet	2073.54	0.0000	DEAD
12885.1	196	Prophet	2073.44	0.0000	DEAD
13185.1	17	Prophet	2071.55	0.0000	DEAD
13545.1	15	Prophet	2071.52	0.0000	DEAD
13845.1	11	Prophet	2071.59	0.0000	DEAD
13905.1	19	Prophet	2071.45	0.0000	DEAD
13965.1	136	Prophet	2073.94	0.0000	DEAD
14025.1	132	Prophet	2074.58	0.0000	DEAD
14145.1	130	Prophet	2074.69	0.0000	DEAD
14145.1	155	Prophet	2074.17	0.0000	DEAD
14385.1	148	Prophet	2073.72	0.0000	DEAD
14385.1	199	Prophet	2077.40	0.0000	DEAD
14505.1	1	Prophet	2072.41	0.0000	DEAD
14745.1	22	Prophet	2071.46	0.0000	DEAD
15045.1	153	Prophet	2074.28	0.0000	DEAD
15105.1	66	Prophet	2071.25	0.0000	DEAD
15165.1	72	Prophet	2075.08	0.0000	DEAD
15165.1	89	Prophet	2075.42	0.0000	DEAD
15225.1	69	Prophet	2071.20	0.0000	DEAD
15225.1	176	Prophet	2073.22	0.0000	DEAD
15225.1	198	Prophet	2073.47	0.0000	DEAD
15285.1	103	Prophet	2074.53	0.0000	DEAD
15345.1	53	Prophet	2070.91	0.0000	DEAD
15405.1	34	Prophet	2071.82	0.0000	DEAD
15465.1	105	Prophet	2074.56	0.0000	DEAD
15465.1	118	Prophet	2074.33	0.0000	DEAD
15585.1	63	Prophet	2071.23	0.0000	DEAD
15585.1	112	Prophet	2074.37	0.0000	DEAD
15585.1	175	Prophet	2073.24	0.0000	DEAD
15645.1	123	Prophet	2074.74	0.0000	DEAD
15705.1	100	Prophet	2075.16	0.0000	DEAD
15705.1	169	Prophet	2073.42	0.0000	DEAD
15765.1	2	Prophet	2072.40	0.0000	DEAD
15765.1	12	Prophet	2071.57	0.0000	DEAD
15765.1	107	Prophet	2074.46	0.0000	DEAD
15765.1	119	Prophet	2074.82	0.0000	DEAD
15945.1	71	Prophet	2075.10	0.0000	DEAD
15945.1	73	Prophet	2075.14	0.0000	DEAD
15945.1	81	Prophet	2074.99	0.0000	DEAD
15945.1	158	Prophet	2074.19	0.0000	DEAD
15945.1	191	Prophet	2073.53	0.0000	DEAD
16005.1	113	Prophet	2074.42	0.0000	DEAD
16065.1	5	Prophet	2072.34	0.0000	DEAD
16065.1	6	Prophet	2072.32	0.0000	DEAD
16065.1	91	Prophet	2075.32	0.0000	DEAD
16125.1	97	Prophet	2075.28	0.0000	DEAD
16185.1	87	Prophet	2075.39	0.0000	DEAD
16305.1	121	Prophet	2074.85	0.0000	DEAD
16365.1	9	Prophet	2071.70	0.0000	DEAD
16365.1	108	Prophet	2074.44	0.0000	DEAD
16425.2	8	Prophet	2071.64	0.0000	DEAD
16425.2	80	Prophet	2074.94	0.0000	DEAD
16485.3	78	Prophet	2075.05	0.0000	DEAD
16545.4	43	Prophet	2071.02	0.0000	DEAD
16545.4	115	Prophet	2074.31	0.0000	DEAD
16545.4	174	Prophet	2073.33	0.0000	DEAD
16605.5	75	Prophet	2075.03	0.0000	DEAD
16665.6	98	Prophet	2075.26	0.0000	DEAD
16665.6	172	Prophet	2073.29	0.0000	DEAD
16725.7	64	Prophet	2071.21	0.0000	DEAD
16725.7	65	Prophet	2071.27	0.0000	DEAD
16725.7	114	Prophet	2074.40	0.0000	DEAD
16725.7	146	Prophet	2073.83	0.0000	DEAD
16785.8	140	Prophet	2073.87	0.0000	DEAD
16785.8	149	Prophet	2073.78	0.0000	DEAD
16785.8	159	Prophet	2074.10	0.0000	DEAD
16845.9	99	Prophet	2075.17	0.0000	DEAD
16845.9	120	Prophet	2074.80	0.0000	DEAD
16845.9	133	Prophet	2074.64	0.0000	DEAD
16906.0	127	Prophet	2074.67	0.0000	DEAD
16966.1	83	Prophet	2074.89	0.0000	DEAD
17086.3	4	Prophet	2072.29	0.0000	DEAD
17086.3	44	Prophet	2071.00	0.0000	DEAD
17146.4	76	Prophet	2075.01	0.0000	DEAD
17146.4	124	Prophet	2074.73	0.0000	DEAD
17206.5	186	Prophet	2073.69	0.0000	DEAD
17266.6	40	Prophet	2071.07	0.0000	DEAD
17326.7	88	Prophet	2075.37	0.0000	DEAD
17326.7	125	Prophet	2074.78	0.0000	DEAD
17386.8	147	Prophet	2073.74	0.0000	DEAD
17446.9	82	Prophet	2074.98	0.0000	DEAD
17446.9	117	Prophet	2074.35	0.0000	DEAD
17446.9	192	Prophet	2073.51	0.0000	DEAD
17507.0	24	Prophet	2071.93	0.0000	DEAD
17507.0	90	Prophet	2075.41	0.0000	DEAD
17507.0	189	Prophet	2073.63	0.0000	DEAD
17567.1	109	Prophet	2074.49	0.0000	DEAD
17687.3	93	Prophet	2075.35	0.0000	DEAD
17747.4	30	Prophet	2071.89	0.0000	DEAD
17747.4	180	Prophet	2073.15	0.0000	DEAD
17867.6	7	Prophet	2071.66	0.0000	DEAD
17927.7	144	Prophet	2073.79	0.0000	DEAD
17987.8	39	Prophet	2071.09	0.0000	DEAD
18047.9	16	Prophet	2071.50	0.0000	DEAD
18168.1	101	Prophet	2075.21	0.0000	DEAD
18168.1	173	Prophet	2073.35	0.0000	DEAD
18348.4	106	Prophet	2074.55	0.0000	DEAD
18408.5	154	Prophet	2074.26	0.0000	DEAD
18528.7	181	Prophet	2073.20	0.0000	DEAD
18588.8	126	Prophet	2074.76	0.0000	DEAD
18709.0	32	Prophet	2071.79	0.0000	DEAD
18709.0	143	Prophet	2073.81	0.0000	DEAD
18829.2	3	Prophet	2072.31	0.0000	DEAD
18949.4	56	Prophet	2071.36	0.0000	DEAD
19009.5	85	Prophet	2074.92	0.0000	DEAD
19069.6	111	Prophet	2074.39	0.0000	DEAD
19129.7	25	Prophet	2071.98	0.0000	DEAD
19249.9	84	Prophet	2074.87	0.0000	DEAD
19249.9	134	Prophet	2074.62	0.0000	DEAD
19249.9	164	Prophet	2074.01	0.0000	DEAD
19370.1	96	Prophet	2075.23	0.0000	DEAD
19430.2	13	Prophet	2071.63	0.0000	DEAD
19490.3	79	Prophet	2074.96	0.0000	DEAD
19490.3	95	Prophet	2075.25	0.0000	DEAD
19490.3	122	Prophet	2074.83	0.0000	DEAD
19550.4	156	Prophet	2074.15	0.0000	DEAD
19670.6	35	Prophet	2071.73	0.0000	DEAD
19670.6	128	Prophet	2074.65	0.0000	DEAD
19730.7	70	Prophet	2071.18	0.0000	DEAD
19730.7	142	Prophet	2073.90	0.0000	DEAD
19850.9	86	Prophet	2074.90	0.0000	DEAD
19850.9	92	Prophet	2075.30	0.0000	DEAD
20091.3	10	Prophet	2071.68	0.0000	DEAD
20211.5	42	Prophet	2071.11	0.0000	DEAD
20391.8	31	Prophet	2071.81	0.0000	DEAD
20512.0	61	Prophet	2071.34	0.0000	DEAD
20512.0	102	Prophet	2075.19	0.0000	DEAD
20632.2	74	Prophet	2075.12	0.0000	DEAD
20632.2	150	Prophet	2073.76	0.0000	DEAD
20752.4	58	Prophet	2071.39	0.0000	DEAD
20932.7	77	Prophet	2075.07	0.0000	DEAD
20992.8	183	Prophet	2073.67	0.0000	DEAD
21052.9	51	Prophet	2070.87	0.0000	DEAD
21113.0	161	Prophet	2074.13	0.0000	DEAD
21593.8	57	Prophet	2071.41	0.0000	DEAD
21653.9	94	Prophet	2075.33	0.0000	DEAD
21774.1	188	Prophet	2073.58	0.0000	DEAD
21894.3	36	Prophet	2071.72	0.0000	DEAD
21894.3	104	Prophet	2074.51	0.0000	DEAD
22014.5	68	Prophet	2071.14	0.0000	DEAD
22194.8	145	Prophet	2073.85	0.0000	DEAD
22254.9	184	Prophet	2073.65	0.0000	DEAD
22495.3	46	Prophet	2071.03	0.0000	DEAD
23036.2	67	Prophet	2071.16	0.0000	DEAD
23096.3	28	Prophet	2071.86	0.0000	DEAD
23096.3	165	Prophet	2074.06	0.0000	DEAD
23276.6	23	Prophet	2071.95	0.0000	DEAD
23276.6	37	Prophet	2071.77	0.0000	DEAD
23456.9	160	Prophet	2074.08	0.0000	DEAD
23757.4	166	Prophet	2074.04	0.0000	DEAD
23877.6	54	Prophet	2070.89	0.0000	DEAD
23937.7	157	Prophet	2074.21	0.0000	DEAD
24057.9	138	Prophet	2073.97	0.0000	DEAD
24418.5	47	Prophet	2070.95	0.0000	DEAD
24598.8	170	Prophet	2073.40	0.0000	DEAD
24839.2	141	Prophet	2073.92	0.0000	DEAD
24839.2	187	Prophet	2073.60	0.0000	DEAD
24899.3	0	Prophet	2072.36	0.0000	DEAD
25019.5	110	Prophet	2074.47	0.0000	DEAD
25139.7	151	Prophet	2074.24	0.0000	DEAD
25800.8	116	Prophet	2074.30	0.0000	DEAD
25921.0	139	Prophet	2073.88	0.0000	DEAD
26161.4	29	Prophet	2071.91	0.0000	DEAD
26221.5	167	Prophet	2073.38	0.0000	DEAD
26401.8	182	Prophet	2073.18	0.0000	DEAD
26522.0	179	Prophet	2073.17	0.0000	DEAD
26762.4	59	Prophet	2071.30	0.0000	DEAD
26822.5	49	Prophet	2070.98	0.0000	DEAD
27123.0	168	Prophet	2073.36	0.0000	DEAD
27603.8	190	Prophet	2073.61	0.0000	DEAD
27603.8	193	Prophet	2073.56	0.0000	DEAD
27663.9	18	Prophet	2071.54	0.0000	DEAD
28325.0	48	Prophet	2070.93	0.0000	DEAD
28685.6	137	Prophet	2073.99	0.0000	DEAD
28865.9	52	Prophet	2070.86	0.0000	DEAD
30729.0	162	Prophet	2074.12	0.0000	DEAD
30909.3	129	Prophet	2074.71	0.0000	DEAD
31330.0	27	Prophet	2071.88	0.0000	DEAD
32171.4	26	Prophet	2071.97	0.0000	DEAD
32772.4	21	Prophet	2071.48	0.0000	DEAD
33914.3	50	Prophet	2070.96	0.0000	DEAD
35476.9	33	Prophet	2071.84	0.0000	DEAD
38602.1	14	Prophet	2071.61	0.0000	DEAD
43229.8	41	Prophet	2071.12	0.0000	DEAD
45213.1	131	Prophet	2074.60	0.0000	DEAD
49720.6	178	Prophet	2073.26	0.0000	DEAD
54107.9	185	Prophet	2073.70	0.0000	DEAD
54168.0	62	Prophet	2071.32	0.0000	DEAD
69606.9	38	Prophet	2071.75	0.0000	DEAD
70626.9	20	Prophet	2071.43	0.0000	DEAD
85266.9	45	Prophet	2071.05	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 195
