# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
1661.1	36	Epidemic	871.72	0.0000	DEAD
1721.2	97	Epidemic	875.28	0.0000	DEAD
1781.3	95	Epidemic	875.25	0.0000	DEAD
1781.3	110	Epidemic	874.47	0.0000	DEAD
1841.4	8	Epidemic	871.64	0.0000	DEAD
1961.6	7	Epidemic	871.66	0.0000	DEAD
1961.6	42	Epidemic	871.11	0.0000	DEAD
1961.6	82	Epidemic	874.98	0.0000	DEAD
1961.6	105	Epidemic	874.56	0.0000	DEAD
2021.7	86	Epidemic	874.90	0.0000	DEAD
2081.8	66	Epidemic	871.25	0.0000	DEAD
2081.8	183	Epidemic	873.67	0.0000	DEAD
2081.8	199	Epidemic	877.40	0.0000	DEAD
2141.9	17	Epidemic	871.55	0.0000	DEAD
2141.9	59	Epidemic	871.30	0.0000	DEAD
2141.9	61	Epidemic	871.34	0.0000	DEAD
2141.9	104	Epidemic	874.51	0.0000	DEAD
2141.9	112	Epidemic	874.37	0.0000	DEAD
2141.9	194	Epidemic	873.54	0.0000	DEAD
2141.9	198	Epidemic	873.47	0.0000	DEAD
2202.0	23	Epidemic	871.95	0.0000	DEAD
2202.0	74	Epidemic	875.12	0.0000	DEAD
2202.0	84	Epidemic	874.87	0.0000	DEAD
2202.0	90	Epidemic	875.41	0.0000	DEAD
2262.1	5	Epidemic	872.34	0.0000	DEAD
2262.1	63	Epidemic	871.23	0.0000	DEAD
2262.1	71	Epidemic	875.10	0.0000	DEAD
2262.1	94	Epidemic	875.33	0.0000	DEAD
2262.1	108	Epidemic	874.44	0.0000	DEAD
2262.1	113	Epidemic	874.42	0.0000	DEAD
2262.1	186	Epidemic	873.69	0.0000	DEAD
2262.1	191	Epidemic	873.53	0.0000	DEAD
2322.2	64	Epidemic	871.21	0.0000	DEAD
2322.2	75	Epidemic	875.03	0.0000	DEAD
2322.2	79	Epidemic	874.96	0.0000	DEAD
2322.2	127	Epidemic	874.67	0.0000	DEAD
2382.3	93	Epidemic	875.35	0.0000	DEAD
2382.3	102	Epidemic	875.19	0.0000	DEAD
2382.3	120	Epidemic	874.80	0.0000	DEAD
2382.3	156	Epidemic	874.15	0.0000	DEAD
2382.3	195	Epidemic	873.45	0.0000	DEAD
2442.4	57	Epidemic	871.41	0.0000	DEAD
2442.4	70	Epidemic	871.18	0.0000	DEAD
2442.4	100	Epidemic	875.16	0.0000	DEAD
2442.4	119	Epidemic	874.82	0.0000	DEAD
2442.4	197	Epidemic	873.49	0.0000	DEAD
2502.5	10	Epidemic	871.68	0.0000	DEAD
2502.5	67	Epidemic	871.16	0.0000	DEAD
2502.5	85	Epidemic	874.92	0.0000	DEAD
2502.5	118	Epidemic	874.33	0.0000	DEAD
2562.6	18	Epidemic	871.54	0.0000	DEAD
2562.6	65	Epidemic	871.27	0.0000	DEAD
2562.6	81	Epidemic	874.99	0.0000	DEAD
2562.6	96	Epidemic	875.23	0.0000	DEAD
2562.6	123	Epidemic	874.74	0.0000	DEAD
2562.6	124	Epidemic	874.73	0.0000	DEAD
2562.6	134	Epidemic	874.62	0.0000	DEAD
2562.6	135	Epidemic	873.96	0.0000	DEAD
2562.6	161	Epidemic	874.13	0.0000	DEAD
2622.7	26	Epidemic	871.97	0.0000	DEAD
2622.7	34	Epidemic	871.82	0.0000	DEAD
2622.7	69	Epidemic	871.20	0.0000	DEAD
2622.7	89	Epidemic	875.42	0.0000	DEAD
2622.7	172	Epidemic	873.29	0.0000	DEAD
2682.8	92	Epidemic	875.30	0.0000	DEAD
2682.8	109	Epidemic	874.49	0.0000	DEAD
2682.8	166	Epidemic	874.04	0.0000	DEAD
2742.9	29	Epidemic	871.91	0.0000	DEAD
2742.9	77	Epidemic	875.07	0.0000	DEAD
2742.9	87	Epidemic	875.39	0.0000	DEAD
2742.9	114	Epidemic	874.40	0.0000	DEAD
2742.9	117	Epidemic	874.35	0.0000	DEAD
2742.9	150	Epidemic	873.76	0.0000	DEAD
2803.0	9	Epidemic	871.70	0.0000	DEAD
2803.0	31	Epidemic	871.81	0.0000	DEAD
2803.0	62	Epidemic	871.32	0.0000	DEAD
2803.0	180	Epidemic	873.15	0.0000	DEAD
2803.0	185	Epidemic	873.70	0.0000	DEAD
2863.1	20	Epidemic	871.43	0.0000	DEAD
2863.1	37	Epidemic	871.77	0.0000	DEAD
2863.1	53	Epidemic	870.91	0.0000	DEAD
2863.1	54	Epidemic	870.89	0.0000	DEAD
2863.1	78	Epidemic	875.05	0.0000	DEAD
2863.1	98	Epidemic	875.26	0.0000	DEAD
2863.1	103	Epidemic	874.53	0.0000	DEAD
2863.1	107	Epidemic	874.46	0.0000	DEAD
2863.1	115	Epidemic	874.31	0.0000	DEAD
2863.1	140	Epidemic	873.87	0.0000	DEAD
2863.1	196	Epidemic	873.44	0.0000	DEAD
2923.2	14	Epidemic	871.61	0.0000	DEAD
2923.2	106	Epidemic	874.55	0.0000	DEAD
2923.2	128	Epidemic	874.65	0.0000	DEAD
2923.2	132	Epidemic	874.58	0.0000	DEAD
2923.2	147	Epidemic	873.74	0.0000	DEAD
2923.2	153	Epidemic	874.28	0.0000	DEAD
2983.3	32	Epidemic	871.79	0.0000	DEAD
2983.3	76	Epidemic	875.01	0.0000	DEAD
2983.3	83	Epidemic	874.89	0.0000	DEAD
3043.4	142	Epidemic	873.90	0.0000	DEAD
3043.4	146	Epidemic	873.83	0.0000	DEAD
3103.5	158	Epidemic	874.19	0.0000	DEAD
3103.5	173	Epidemic	873.35	0.0000	DEAD
3163.6	0	Epidemic	872.36	0.0000	DEAD
3163.6	41	Epidemic	871.12	0.0000	DEAD
3163.6	88	Epidemic	875.37	0.0000	DEAD
3163.6	188	Epidemic	873.58	0.0000	DEAD
3223.7	1	Epidemic	872.41	0.0000	DEAD
3223.7	39	Epidemic	871.09	0.0000	DEAD
3223.7	91	Epidemic	875.32	0.0000	DEAD
3223.7	137	Epidemic	873.99	0.0000	DEAD
3223.7	187	Epidemic	873.60	0.0000	DEAD
3223.7	189	Epidemic	873.63	0.0000	DEAD
3283.8	35	Epidemic	871.73	0.0000	DEAD
3283.8	73	Epidemic	875.14	0.0000	DEAD
3283.8	116	Epidemic	874.30	0.0000	DEAD
3343.9	43	Epidemic	871.02	0.0000	DEAD
3343.9	125	Epidemic	874.78	0.0000	DEAD
3404.0	11	Epidemic	871.59	0.0000	DEAD
3464.1	19	Epidemic	871.45	0.0000	DEAD
3464.1	101	Epidemic	875.21	0.0000	DEAD
3524.2	111	Epidemic	874.39	0.0000	DEAD
3584.3	2	Epidemic	872.40	0.0000	DEAD
3584.3	80	Epidemic	874.94	0.0000	DEAD
3644.4	4	Epidemic	872.29	0.0000	DEAD
3644.4	46	Epidemic	871.03	0.0000	DEAD
3644.4	72	Epidemic	875.08	0.0000	DEAD
3704.5	68	Epidemic	871.14	0.0000	DEAD
3764.6	99	Epidemic	875.17	0.0000	DEAD
3764.6	169	Epidemic	873.42	0.0000	DEAD
3764.6	171	Epidemic	873.31	0.0000	DEAD
3884.8	133	Epidemic	874.64	0.0000	DEAD
3944.9	122	Epidemic	874.83	0.0000	DEAD
4005.0	178	Epidemic	873.26	0.0000	DEAD
4065.1	27	Epidemic	871.88	0.0000	DEAD
4065.1	176	Epidemic	873.22	0.0000	DEAD
4125.1	22	Epidemic	871.46	0.0000	DEAD
4245.1	184	Epidemic	873.65	0.0000	DEAD
4305.1	28	Epidemic	871.86	0.0000	DEAD
4305.1	44	Epidemic	871.00	0.0000	DEAD
4305.1	129	Epidemic	874.71	0.0000	DEAD
4305.1	164	Epidemic	874.01	0.0000	DEAD
4365.1	143	Epidemic	873.81	0.0000	DEAD
4485.1	141	Epidemic	873.92	0.0000	DEAD
4545.1	159	Epidemic	874.10	0.0000	DEAD
4545.1	190	Epidemic	873.61	0.0000	DEAD
4665.1	126	Epidemic	874.76	0.0000	DEAD
4665.1	170	Epidemic	873.40	0.0000	DEAD
4725.1	16	Epidemic	871.50	0.0000	DEAD
4845.1	149	Epidemic	873.78	0.0000	DEAD
4905.1	6	Epidemic	872.32	0.0000	DEAD
4905.1	12	Epidemic	871.57	0.0000	DEAD
4905.1	33	Epidemic	871.84	0.0000	DEAD
4965.1	60	Epidemic	871.29	0.0000	DEAD
4965.1	155	Epidemic	874.17	0.0000	DEAD
5025.1	15	Epidemic	871.52	0.0000	DEAD
5025.1	56	Epidemic	871.36	0.0000	DEAD
5025.1	157	Epidemic	874.21	0.0000	DEAD
5025.1	179	Epidemic	873.17	0.0000	DEAD
5085.1	175	Epidemic	873.24	0.0000	DEAD
5145.1	3	Epidemic	872.31	0.0000	DEAD
5145.1	121	Epidemic	874.85	0.0000	DEAD
5205.1	193	Epidemic	873.56	0.0000	DEAD
5325.1	49	Epidemic	870.98	0.0000	DEAD
5745.1	52	Epidemic	870.86	0.0000	DEAD
5745.1	136	Epidemic	873.94	0.0000	DEAD
5745.1	182	Epidemic	873.18	0.0000	DEAD
5805.1	181	Epidemic	873.20	0.0000	DEAD
5865.1	21	Epidemic	871.48	0.0000	DEAD
6045.1	130	Epidemic	874.69	0.0000	DEAD
6405.1	24	Epidemic	871.93	0.0000	DEAD
6405.1	40	Epidemic	871.07	0.0000	DEAD
7065.1	145	Epidemic	873.85	0.0000	DEAD
7065.1	162	Epidemic	874.12	0.0000	DEAD
7125.1	138	Epidemic	873.97	0.0000	DEAD
7125.1	148	Epidemic	873.72	0.0000	DEAD
7125.1	192	Epidemic	873.51	0.0000	DEAD
7185.1	51	Epidemic	870.87	0.0000	DEAD
7305.1	131	Epidemic	874.60	0.0000	DEAD
7545.1	30	Epidemic	871.89	0.0000	DEAD
7545.1	154	Epidemic	874.26	0.0000	DEAD
7545.1	168	Epidemic	873.36	0.0000	DEAD
7785.1	151	Epidemic	874.24	0.0000	DEAD
7965.1	165	Epidemic	874.06	0.0000	DEAD
7965.1	174	Epidemic	873.33	0.0000	DEAD
8685.1	48	Epidemic	870.93	0.0000	DEAD
9045.1	58	Epidemic	871.39	0.0000	DEAD
12465.1	47	Epidemic	870.95	0.0000	DEAD
13065.1	139	Epidemic	873.88	0.0000	DEAD
13125.1	55	Epidemic	871.38	0.0000	DEAD
15945.1	177	Epidemic	873.27	0.0000	DEAD
20872.6	144	Epidemic	873.79	0.0000	DEAD
21173.1	50	Epidemic	870.96	0.0000	DEAD
21533.7	13	Epidemic	871.63	0.0000	DEAD
21834.2	160	Epidemic	874.08	0.0000	DEAD
27123.0	25	Epidemic	871.98	0.0000	DEAD
29947.7	38	Epidemic	871.75	0.0000	DEAD
29947.7	45	Epidemic	871.05	0.0000	DEAD
33253.2	163	Epidemic	874.03	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 198
