# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
77286.9	110	ORQLCI	2874.47	0.0000	DEAD
78006.9	198	ORQLCI	2873.47	0.0000	DEAD
80526.9	97	ORQLCI	2875.28	0.0000	DEAD
80646.9	115	ORQLCI	2874.31	0.0000	DEAD
81366.9	122	ORQLCI	2874.83	0.0000	DEAD
81486.9	113	ORQLCI	2874.42	0.0000	DEAD
81606.9	95	ORQLCI	2875.25	0.0000	DEAD
81606.9	112	ORQLCI	2874.37	0.0000	DEAD
81666.9	99	ORQLCI	2875.17	0.0000	DEAD
81846.9	77	ORQLCI	2875.07	0.0000	DEAD
81846.9	88	ORQLCI	2875.37	0.0000	DEAD
81966.9	90	ORQLCI	2875.41	0.0000	DEAD
82086.9	117	ORQLCI	2874.35	0.0000	DEAD
82326.9	86	ORQLCI	2874.90	0.0000	DEAD
82806.9	87	ORQLCI	2875.39	0.0000	DEAD
82926.9	66	ORQLCI	2871.25	0.0000	DEAD
83346.9	116	ORQLCI	2874.30	0.0000	DEAD
83466.9	64	ORQLCI	2871.21	0.0000	DEAD
83466.9	85	ORQLCI	2874.92	0.0000	DEAD
83646.9	78	ORQLCI	2875.05	0.0000	DEAD
83646.9	120	ORQLCI	2874.80	0.0000	DEAD
83706.9	70	ORQLCI	2871.18	0.0000	DEAD
83886.9	102	ORQLCI	2875.19	0.0000	DEAD
84006.9	98	ORQLCI	2875.26	0.0000	DEAD
84246.9	83	ORQLCI	2874.89	0.0000	DEAD
84486.9	104	ORQLCI	2874.51	0.0000	DEAD
84546.9	91	ORQLCI	2875.32	0.0000	DEAD
84606.9	124	ORQLCI	2874.73	0.0000	DEAD
84846.9	196	ORQLCI	2873.44	0.0000	DEAD
84966.9	72	ORQLCI	2875.08	0.0000	DEAD
85086.9	71	ORQLCI	2875.10	0.0000	DEAD
85146.9	75	ORQLCI	2875.03	0.0000	DEAD
85206.9	76	ORQLCI	2875.01	0.0000	DEAD
85266.9	80	ORQLCI	2874.94	0.0000	DEAD
85806.9	199	ORQLCI	2877.40	0.0000	DEAD
86226.9	111	ORQLCI	2874.39	0.0000	DEAD
86346.9	121	ORQLCI	2874.85	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 37
