# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
65106.2	110	ORQLCI	2074.47	0.0000	DEAD
66606.9	86	ORQLCI	2074.90	0.0000	DEAD
67026.9	104	ORQLCI	2074.51	0.0000	DEAD
67386.9	112	ORQLCI	2074.37	0.0000	DEAD
67626.9	95	ORQLCI	2075.25	0.0000	DEAD
67926.9	97	ORQLCI	2075.28	0.0000	DEAD
67926.9	115	ORQLCI	2074.31	0.0000	DEAD
68166.9	102	ORQLCI	2075.19	0.0000	DEAD
68706.9	93	ORQLCI	2075.35	0.0000	DEAD
69066.9	101	ORQLCI	2075.21	0.0000	DEAD
69246.9	113	ORQLCI	2074.42	0.0000	DEAD
69366.9	71	ORQLCI	2075.10	0.0000	DEAD
69426.9	85	ORQLCI	2074.92	0.0000	DEAD
69486.9	100	ORQLCI	2075.16	0.0000	DEAD
69726.9	108	ORQLCI	2074.44	0.0000	DEAD
69846.9	64	ORQLCI	2071.21	0.0000	DEAD
69906.9	66	ORQLCI	2071.25	0.0000	DEAD
69966.9	91	ORQLCI	2075.32	0.0000	DEAD
70086.9	88	ORQLCI	2075.37	0.0000	DEAD
70086.9	117	ORQLCI	2074.35	0.0000	DEAD
70146.9	87	ORQLCI	2075.39	0.0000	DEAD
70146.9	127	ORQLCI	2074.67	0.0000	DEAD
70206.9	90	ORQLCI	2075.41	0.0000	DEAD
70266.9	68	ORQLCI	2071.14	0.0000	DEAD
70506.9	75	ORQLCI	2075.03	0.0000	DEAD
70506.9	78	ORQLCI	2075.05	0.0000	DEAD
70506.9	89	ORQLCI	2075.42	0.0000	DEAD
70566.9	116	ORQLCI	2074.30	0.0000	DEAD
70866.9	99	ORQLCI	2075.17	0.0000	DEAD
70866.9	196	ORQLCI	2073.44	0.0000	DEAD
70986.9	121	ORQLCI	2074.85	0.0000	DEAD
71106.9	72	ORQLCI	2075.08	0.0000	DEAD
71106.9	119	ORQLCI	2074.82	0.0000	DEAD
71106.9	197	ORQLCI	2073.49	0.0000	DEAD
71166.9	120	ORQLCI	2074.80	0.0000	DEAD
71166.9	198	ORQLCI	2073.47	0.0000	DEAD
71286.9	111	ORQLCI	2074.39	0.0000	DEAD
71346.9	105	ORQLCI	2074.56	0.0000	DEAD
71406.9	83	ORQLCI	2074.89	0.0000	DEAD
71466.9	103	ORQLCI	2074.53	0.0000	DEAD
71526.9	81	ORQLCI	2074.99	0.0000	DEAD
71586.9	70	ORQLCI	2071.18	0.0000	DEAD
71586.9	94	ORQLCI	2075.33	0.0000	DEAD
71706.9	122	ORQLCI	2074.83	0.0000	DEAD
71766.9	98	ORQLCI	2075.26	0.0000	DEAD
71886.9	73	ORQLCI	2075.14	0.0000	DEAD
71886.9	80	ORQLCI	2074.94	0.0000	DEAD
71886.9	96	ORQLCI	2075.23	0.0000	DEAD
71886.9	114	ORQLCI	2074.40	0.0000	DEAD
71946.9	59	ORQLCI	2071.30	0.0000	DEAD
72066.9	67	ORQLCI	2071.16	0.0000	DEAD
72066.9	69	ORQLCI	2071.20	0.0000	DEAD
72066.9	84	ORQLCI	2074.87	0.0000	DEAD
72126.9	65	ORQLCI	2071.27	0.0000	DEAD
72246.9	199	ORQLCI	2077.40	0.0000	DEAD
72306.9	82	ORQLCI	2074.98	0.0000	DEAD
72306.9	125	ORQLCI	2074.78	0.0000	DEAD
72306.9	126	ORQLCI	2074.76	0.0000	DEAD
72966.9	77	ORQLCI	2075.07	0.0000	DEAD
73086.9	106	ORQLCI	2074.55	0.0000	DEAD
73266.9	92	ORQLCI	2075.30	0.0000	DEAD
73566.9	76	ORQLCI	2075.01	0.0000	DEAD
73866.9	107	ORQLCI	2074.46	0.0000	DEAD
73866.9	109	ORQLCI	2074.49	0.0000	DEAD
74346.9	123	ORQLCI	2074.74	0.0000	DEAD
74466.9	124	ORQLCI	2074.73	0.0000	DEAD
74646.9	74	ORQLCI	2075.12	0.0000	DEAD
75066.9	118	ORQLCI	2074.33	0.0000	DEAD
76086.9	79	ORQLCI	2074.96	0.0000	DEAD
77046.9	5	ORQLCI	2072.34	0.0000	DEAD
77466.9	128	ORQLCI	2074.65	0.0000	DEAD
78486.9	153	ORQLCI	2074.28	0.0000	DEAD
78846.9	194	ORQLCI	2073.54	0.0000	DEAD
79386.9	193	ORQLCI	2073.56	0.0000	DEAD
81606.9	19	ORQLCI	2071.45	0.0000	DEAD
81846.9	63	ORQLCI	2071.23	0.0000	DEAD
82146.9	129	ORQLCI	2074.71	0.0000	DEAD
82206.9	13	ORQLCI	2071.63	0.0000	DEAD
82506.9	27	ORQLCI	2071.88	0.0000	DEAD
83466.9	29	ORQLCI	2071.91	0.0000	DEAD
83766.9	158	ORQLCI	2074.19	0.0000	DEAD
84006.9	146	ORQLCI	2073.83	0.0000	DEAD
84006.9	186	ORQLCI	2073.69	0.0000	DEAD
84366.9	189	ORQLCI	2073.63	0.0000	DEAD
84486.9	21	ORQLCI	2071.48	0.0000	DEAD
85446.9	15	ORQLCI	2071.52	0.0000	DEAD
85866.9	135	ORQLCI	2073.96	0.0000	DEAD
86046.9	33	ORQLCI	2071.84	0.0000	DEAD
86046.9	150	ORQLCI	2073.76	0.0000	DEAD
86166.9	23	ORQLCI	2071.95	0.0000	DEAD
86226.9	54	ORQLCI	2070.89	0.0000	DEAD
86286.9	61	ORQLCI	2071.34	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 92
