# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
2923.2	95	ORQLCI	1675.25	0.0000	DEAD
2923.2	110	ORQLCI	1674.47	0.0000	DEAD
3283.8	59	ORQLCI	1671.30	0.0000	DEAD
3343.9	61	ORQLCI	1671.34	0.0000	DEAD
3343.9	63	ORQLCI	1671.23	0.0000	DEAD
3343.9	97	ORQLCI	1675.28	0.0000	DEAD
3404.0	66	ORQLCI	1671.25	0.0000	DEAD
3404.0	112	ORQLCI	1674.37	0.0000	DEAD
3404.0	156	ORQLCI	1674.15	0.0000	DEAD
3464.1	120	ORQLCI	1674.80	0.0000	DEAD
3524.2	17	ORQLCI	1671.55	0.0000	DEAD
3524.2	42	ORQLCI	1671.11	0.0000	DEAD
3524.2	85	ORQLCI	1674.92	0.0000	DEAD
3584.3	64	ORQLCI	1671.21	0.0000	DEAD
3584.3	127	ORQLCI	1674.67	0.0000	DEAD
3764.6	77	ORQLCI	1675.07	0.0000	DEAD
3824.7	67	ORQLCI	1671.16	0.0000	DEAD
3884.8	94	ORQLCI	1675.33	0.0000	DEAD
3884.8	100	ORQLCI	1675.16	0.0000	DEAD
3884.8	104	ORQLCI	1674.51	0.0000	DEAD
3944.9	23	ORQLCI	1671.95	0.0000	DEAD
3944.9	113	ORQLCI	1674.42	0.0000	DEAD
3944.9	117	ORQLCI	1674.35	0.0000	DEAD
4005.0	32	ORQLCI	1671.79	0.0000	DEAD
4005.0	65	ORQLCI	1671.27	0.0000	DEAD
4005.0	83	ORQLCI	1674.89	0.0000	DEAD
4005.0	134	ORQLCI	1674.62	0.0000	DEAD
4005.0	158	ORQLCI	1674.19	0.0000	DEAD
4065.1	73	ORQLCI	1675.14	0.0000	DEAD
4065.1	79	ORQLCI	1674.96	0.0000	DEAD
4065.1	105	ORQLCI	1674.56	0.0000	DEAD
4185.1	90	ORQLCI	1675.41	0.0000	DEAD
4245.1	93	ORQLCI	1675.35	0.0000	DEAD
4305.1	91	ORQLCI	1675.32	0.0000	DEAD
4365.1	86	ORQLCI	1674.90	0.0000	DEAD
4365.1	98	ORQLCI	1675.26	0.0000	DEAD
4365.1	103	ORQLCI	1674.53	0.0000	DEAD
4485.1	5	ORQLCI	1672.34	0.0000	DEAD
4545.1	75	ORQLCI	1675.03	0.0000	DEAD
4785.1	197	ORQLCI	1673.49	0.0000	DEAD
4845.1	54	ORQLCI	1670.89	0.0000	DEAD
5085.1	19	ORQLCI	1671.45	0.0000	DEAD
5085.1	74	ORQLCI	1675.12	0.0000	DEAD
5745.1	195	ORQLCI	1673.45	0.0000	DEAD
5805.1	107	ORQLCI	1674.46	0.0000	DEAD
5925.1	2	ORQLCI	1672.40	0.0000	DEAD
6165.1	88	ORQLCI	1675.37	0.0000	DEAD
6945.1	87	ORQLCI	1675.39	0.0000	DEAD
7485.1	123	ORQLCI	1674.74	0.0000	DEAD
7605.1	81	ORQLCI	1674.99	0.0000	DEAD
7905.1	114	ORQLCI	1674.40	0.0000	DEAD
8265.1	78	ORQLCI	1675.05	0.0000	DEAD
9765.1	186	ORQLCI	1673.69	0.0000	DEAD
9825.1	102	ORQLCI	1675.19	0.0000	DEAD
11085.1	68	ORQLCI	1671.14	0.0000	DEAD
12105.1	71	ORQLCI	1675.10	0.0000	DEAD
12405.1	99	ORQLCI	1675.17	0.0000	DEAD
12525.1	153	ORQLCI	1674.28	0.0000	DEAD
13125.1	147	ORQLCI	1673.74	0.0000	DEAD
14205.1	89	ORQLCI	1675.42	0.0000	DEAD
14385.1	26	ORQLCI	1671.97	0.0000	DEAD
14385.1	106	ORQLCI	1674.55	0.0000	DEAD
14445.1	169	ORQLCI	1673.42	0.0000	DEAD
15885.1	122	ORQLCI	1674.83	0.0000	DEAD
16185.1	11	ORQLCI	1671.59	0.0000	DEAD
16365.1	53	ORQLCI	1670.91	0.0000	DEAD
16785.8	15	ORQLCI	1671.52	0.0000	DEAD
17266.6	80	ORQLCI	1674.94	0.0000	DEAD
17266.6	121	ORQLCI	1674.85	0.0000	DEAD
17446.9	30	ORQLCI	1671.89	0.0000	DEAD
17987.8	182	ORQLCI	1673.18	0.0000	DEAD
18348.4	111	ORQLCI	1674.39	0.0000	DEAD
18408.5	72	ORQLCI	1675.08	0.0000	DEAD
18468.6	33	ORQLCI	1671.84	0.0000	DEAD
