# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
3343.9	75	Epidemic	875.03	0.0000	DEAD
3944.9	95	Epidemic	875.25	0.0000	DEAD
4185.1	110	Epidemic	874.47	0.0000	DEAD
4665.1	92	Epidemic	875.30	0.0000	DEAD
4845.1	66	Epidemic	871.25	0.0000	DEAD
4845.1	84	Epidemic	874.87	0.0000	DEAD
4845.1	94	Epidemic	875.33	0.0000	DEAD
4845.1	111	Epidemic	874.39	0.0000	DEAD
4905.1	70	Epidemic	871.18	0.0000	DEAD
5145.1	114	Epidemic	874.40	0.0000	DEAD
5145.1	194	Epidemic	873.54	0.0000	DEAD
5325.1	65	Epidemic	871.27	0.0000	DEAD
5325.1	78	Epidemic	875.05	0.0000	DEAD
5385.1	64	Epidemic	871.21	0.0000	DEAD
5385.1	97	Epidemic	875.28	0.0000	DEAD
5445.1	101	Epidemic	875.21	0.0000	DEAD
5565.1	89	Epidemic	875.42	0.0000	DEAD
5565.1	112	Epidemic	874.37	0.0000	DEAD
5565.1	196	Epidemic	873.44	0.0000	DEAD
5625.1	123	Epidemic	874.74	0.0000	DEAD
5685.1	88	Epidemic	875.37	0.0000	DEAD
5685.1	100	Epidemic	875.16	0.0000	DEAD
5685.1	119	Epidemic	874.82	0.0000	DEAD
5685.1	121	Epidemic	874.85	0.0000	DEAD
5805.1	103	Epidemic	874.53	0.0000	DEAD
5865.1	113	Epidemic	874.42	0.0000	DEAD
5925.1	90	Epidemic	875.41	0.0000	DEAD
5925.1	127	Epidemic	874.67	0.0000	DEAD
6105.1	73	Epidemic	875.14	0.0000	DEAD
6105.1	109	Epidemic	874.49	0.0000	DEAD
6105.1	116	Epidemic	874.30	0.0000	DEAD
6165.1	96	Epidemic	875.23	0.0000	DEAD
6225.1	85	Epidemic	874.92	0.0000	DEAD
6225.1	91	Epidemic	875.32	0.0000	DEAD
6225.1	98	Epidemic	875.26	0.0000	DEAD
6285.1	69	Epidemic	871.20	0.0000	DEAD
6285.1	76	Epidemic	875.01	0.0000	DEAD
6285.1	99	Epidemic	875.17	0.0000	DEAD
6285.1	115	Epidemic	874.31	0.0000	DEAD
6345.1	104	Epidemic	874.51	0.0000	DEAD
6345.1	118	Epidemic	874.33	0.0000	DEAD
6405.1	120	Epidemic	874.80	0.0000	DEAD
6405.1	199	Epidemic	877.40	0.0000	DEAD
6525.1	107	Epidemic	874.46	0.0000	DEAD
6585.1	126	Epidemic	874.76	0.0000	DEAD
6645.1	71	Epidemic	875.10	0.0000	DEAD
6645.1	82	Epidemic	874.98	0.0000	DEAD
6705.1	68	Epidemic	871.14	0.0000	DEAD
6705.1	105	Epidemic	874.56	0.0000	DEAD
6705.1	122	Epidemic	874.83	0.0000	DEAD
6765.1	106	Epidemic	874.55	0.0000	DEAD
6765.1	195	Epidemic	873.45	0.0000	DEAD
6825.1	198	Epidemic	873.47	0.0000	DEAD
6885.1	77	Epidemic	875.07	0.0000	DEAD
6885.1	102	Epidemic	875.19	0.0000	DEAD
7005.1	81	Epidemic	874.99	0.0000	DEAD
7005.1	86	Epidemic	874.90	0.0000	DEAD
7005.1	108	Epidemic	874.44	0.0000	DEAD
7125.1	93	Epidemic	875.35	0.0000	DEAD
7245.1	83	Epidemic	874.89	0.0000	DEAD
7365.1	87	Epidemic	875.39	0.0000	DEAD
7425.1	74	Epidemic	875.12	0.0000	DEAD
7485.1	72	Epidemic	875.08	0.0000	DEAD
7545.1	67	Epidemic	871.16	0.0000	DEAD
7545.1	80	Epidemic	874.94	0.0000	DEAD
7665.1	125	Epidemic	874.78	0.0000	DEAD
7785.1	117	Epidemic	874.35	0.0000	DEAD
8025.1	79	Epidemic	874.96	0.0000	DEAD
8265.1	124	Epidemic	874.73	0.0000	DEAD
9285.1	197	Epidemic	873.49	0.0000	DEAD
9825.1	186	Epidemic	873.69	0.0000	DEAD
9945.1	144	Epidemic	873.79	0.0000	DEAD
10365.1	189	Epidemic	873.63	0.0000	DEAD
10425.1	150	Epidemic	873.76	0.0000	DEAD
10605.1	130	Epidemic	874.69	0.0000	DEAD
10725.1	6	Epidemic	872.32	0.0000	DEAD
10785.1	128	Epidemic	874.65	0.0000	DEAD
10905.1	30	Epidemic	871.89	0.0000	DEAD
10905.1	38	Epidemic	871.75	0.0000	DEAD
10905.1	139	Epidemic	873.88	0.0000	DEAD
10965.1	147	Epidemic	873.74	0.0000	DEAD
10965.1	180	Epidemic	873.15	0.0000	DEAD
11265.1	29	Epidemic	871.91	0.0000	DEAD
11265.1	172	Epidemic	873.29	0.0000	DEAD
11325.1	7	Epidemic	871.66	0.0000	DEAD
11325.1	41	Epidemic	871.12	0.0000	DEAD
11325.1	42	Epidemic	871.11	0.0000	DEAD
11445.1	56	Epidemic	871.36	0.0000	DEAD
11445.1	191	Epidemic	873.53	0.0000	DEAD
11505.1	58	Epidemic	871.39	0.0000	DEAD
11685.1	59	Epidemic	871.30	0.0000	DEAD
11805.1	23	Epidemic	871.95	0.0000	DEAD
11925.1	55	Epidemic	871.38	0.0000	DEAD
11925.1	167	Epidemic	873.38	0.0000	DEAD
11985.1	8	Epidemic	871.64	0.0000	DEAD
11985.1	10	Epidemic	871.68	0.0000	DEAD
12045.1	57	Epidemic	871.41	0.0000	DEAD
12285.1	177	Epidemic	873.27	0.0000	DEAD
12465.1	137	Epidemic	873.99	0.0000	DEAD
12645.1	17	Epidemic	871.55	0.0000	DEAD
12645.1	153	Epidemic	874.28	0.0000	DEAD
12645.1	171	Epidemic	873.31	0.0000	DEAD
12705.1	26	Epidemic	871.97	0.0000	DEAD
12765.1	63	Epidemic	871.23	0.0000	DEAD
12825.1	141	Epidemic	873.92	0.0000	DEAD
12825.1	176	Epidemic	873.22	0.0000	DEAD
12885.1	11	Epidemic	871.59	0.0000	DEAD
12945.1	169	Epidemic	873.42	0.0000	DEAD
13005.1	49	Epidemic	870.98	0.0000	DEAD
13005.1	152	Epidemic	874.22	0.0000	DEAD
