# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
6825.1	95	Prophet	875.25	0.0000	DEAD
6945.1	31	Prophet	871.81	0.0000	DEAD
7185.1	120	Prophet	874.80	0.0000	DEAD
7245.1	89	Prophet	875.42	0.0000	DEAD
7245.1	107	Prophet	874.46	0.0000	DEAD
7305.1	98	Prophet	875.26	0.0000	DEAD
7365.1	74	Prophet	875.12	0.0000	DEAD
7425.1	68	Prophet	871.14	0.0000	DEAD
7425.1	79	Prophet	874.96	0.0000	DEAD
7485.1	109	Prophet	874.49	0.0000	DEAD
7485.1	169	Prophet	873.42	0.0000	DEAD
7545.1	81	Prophet	874.99	0.0000	DEAD
7545.1	103	Prophet	874.53	0.0000	DEAD
7665.1	121	Prophet	874.85	0.0000	DEAD
7665.1	122	Prophet	874.83	0.0000	DEAD
7725.1	56	Prophet	871.36	0.0000	DEAD
7725.1	65	Prophet	871.27	0.0000	DEAD
7725.1	75	Prophet	875.03	0.0000	DEAD
7785.1	82	Prophet	874.98	0.0000	DEAD
7785.1	84	Prophet	874.87	0.0000	DEAD
7785.1	104	Prophet	874.51	0.0000	DEAD
7785.1	196	Prophet	873.44	0.0000	DEAD
7845.1	83	Prophet	874.89	0.0000	DEAD
7905.1	100	Prophet	875.16	0.0000	DEAD
7905.1	101	Prophet	875.21	0.0000	DEAD
7905.1	127	Prophet	874.67	0.0000	DEAD
7965.1	77	Prophet	875.07	0.0000	DEAD
7965.1	80	Prophet	874.94	0.0000	DEAD
8025.1	66	Prophet	871.25	0.0000	DEAD
8025.1	86	Prophet	874.90	0.0000	DEAD
8025.1	172	Prophet	873.29	0.0000	DEAD
8025.1	197	Prophet	873.49	0.0000	DEAD
8085.1	70	Prophet	871.18	0.0000	DEAD
8085.1	88	Prophet	875.37	0.0000	DEAD
8145.1	73	Prophet	875.14	0.0000	DEAD
8145.1	113	Prophet	874.42	0.0000	DEAD
8205.1	91	Prophet	875.32	0.0000	DEAD
8265.1	159	Prophet	874.10	0.0000	DEAD
8325.1	46	Prophet	871.03	0.0000	DEAD
8325.1	97	Prophet	875.28	0.0000	DEAD
8385.1	108	Prophet	874.44	0.0000	DEAD
8385.1	119	Prophet	874.82	0.0000	DEAD
8445.1	15	Prophet	871.52	0.0000	DEAD
8505.1	189	Prophet	873.63	0.0000	DEAD
8565.1	147	Prophet	873.74	0.0000	DEAD
8625.1	29	Prophet	871.91	0.0000	DEAD
8625.1	99	Prophet	875.17	0.0000	DEAD
8625.1	110	Prophet	874.47	0.0000	DEAD
8685.1	64	Prophet	871.21	0.0000	DEAD
8685.1	112	Prophet	874.37	0.0000	DEAD
8685.1	163	Prophet	874.03	0.0000	DEAD
8745.1	26	Prophet	871.97	0.0000	DEAD
8865.1	51	Prophet	870.87	0.0000	DEAD
8865.1	85	Prophet	874.92	0.0000	DEAD
8865.1	125	Prophet	874.78	0.0000	DEAD
8925.1	5	Prophet	872.34	0.0000	DEAD
9045.1	61	Prophet	871.34	0.0000	DEAD
9045.1	69	Prophet	871.20	0.0000	DEAD
9045.1	105	Prophet	874.56	0.0000	DEAD
9165.1	72	Prophet	875.08	0.0000	DEAD
9165.1	111	Prophet	874.39	0.0000	DEAD
9285.1	115	Prophet	874.31	0.0000	DEAD
9285.1	199	Prophet	877.40	0.0000	DEAD
9405.1	124	Prophet	874.73	0.0000	DEAD
9465.1	67	Prophet	871.16	0.0000	DEAD
9465.1	76	Prophet	875.01	0.0000	DEAD
9465.1	114	Prophet	874.40	0.0000	DEAD
9645.1	41	Prophet	871.12	0.0000	DEAD
9645.1	151	Prophet	874.24	0.0000	DEAD
9705.1	8	Prophet	871.64	0.0000	DEAD
9705.1	144	Prophet	873.79	0.0000	DEAD
9765.1	123	Prophet	874.74	0.0000	DEAD
9825.1	92	Prophet	875.30	0.0000	DEAD
9945.1	181	Prophet	873.20	0.0000	DEAD
10065.1	102	Prophet	875.19	0.0000	DEAD
10185.1	14	Prophet	871.61	0.0000	DEAD
10185.1	90	Prophet	875.41	0.0000	DEAD
10245.1	117	Prophet	874.35	0.0000	DEAD
10245.1	194	Prophet	873.54	0.0000	DEAD
10305.1	18	Prophet	871.54	0.0000	DEAD
10365.1	180	Prophet	873.15	0.0000	DEAD
10425.1	6	Prophet	872.32	0.0000	DEAD
10485.1	60	Prophet	871.29	0.0000	DEAD
10485.1	93	Prophet	875.35	0.0000	DEAD
10485.1	195	Prophet	873.45	0.0000	DEAD
10545.1	116	Prophet	874.30	0.0000	DEAD
10545.1	131	Prophet	874.60	0.0000	DEAD
10725.1	71	Prophet	875.10	0.0000	DEAD
10725.1	186	Prophet	873.69	0.0000	DEAD
10785.1	94	Prophet	875.33	0.0000	DEAD
10785.1	191	Prophet	873.53	0.0000	DEAD
10845.1	158	Prophet	874.19	0.0000	DEAD
10845.1	162	Prophet	874.12	0.0000	DEAD
10905.1	165	Prophet	874.06	0.0000	DEAD
10905.1	173	Prophet	873.35	0.0000	DEAD
10905.1	198	Prophet	873.47	0.0000	DEAD
10965.1	0	Prophet	872.36	0.0000	DEAD
11085.1	24	Prophet	871.93	0.0000	DEAD
11085.1	78	Prophet	875.05	0.0000	DEAD
11085.1	174	Prophet	873.33	0.0000	DEAD
11145.1	106	Prophet	874.55	0.0000	DEAD
11205.1	10	Prophet	871.68	0.0000	DEAD
11205.1	25	Prophet	871.98	0.0000	DEAD
11205.1	126	Prophet	874.76	0.0000	DEAD
11265.1	17	Prophet	871.55	0.0000	DEAD
11325.1	171	Prophet	873.31	0.0000	DEAD
11445.1	170	Prophet	873.40	0.0000	DEAD
11505.1	58	Prophet	871.39	0.0000	DEAD
11805.1	23	Prophet	871.95	0.0000	DEAD
11805.1	28	Prophet	871.86	0.0000	DEAD
11805.1	32	Prophet	871.79	0.0000	DEAD
11805.1	129	Prophet	874.71	0.0000	DEAD
12045.1	118	Prophet	874.33	0.0000	DEAD
12045.1	178	Prophet	873.26	0.0000	DEAD
12105.1	22	Prophet	871.46	0.0000	DEAD
12105.1	43	Prophet	871.02	0.0000	DEAD
12225.1	96	Prophet	875.23	0.0000	DEAD
12285.1	142	Prophet	873.90	0.0000	DEAD
12285.1	150	Prophet	873.76	0.0000	DEAD
12405.1	133	Prophet	874.64	0.0000	DEAD
12585.1	30	Prophet	871.89	0.0000	DEAD
12705.1	38	Prophet	871.75	0.0000	DEAD
12765.1	49	Prophet	870.98	0.0000	DEAD
12825.1	50	Prophet	870.96	0.0000	DEAD
12825.1	141	Prophet	873.92	0.0000	DEAD
13065.1	179	Prophet	873.17	0.0000	DEAD
13125.1	139	Prophet	873.88	0.0000	DEAD
13245.1	2	Prophet	872.40	0.0000	DEAD
13365.1	1	Prophet	872.41	0.0000	DEAD
13365.1	59	Prophet	871.30	0.0000	DEAD
13485.1	164	Prophet	874.01	0.0000	DEAD
13605.1	7	Prophet	871.66	0.0000	DEAD
13785.1	11	Prophet	871.59	0.0000	DEAD
13785.1	193	Prophet	873.56	0.0000	DEAD
13845.1	20	Prophet	871.43	0.0000	DEAD
