# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
28685.6	110	ORQLCI_Expert	1715.47	0.0000	DEAD
36017.8	97	ORQLCI_Expert	1720.51	0.0000	DEAD
36318.3	86	ORQLCI_Expert	1718.15	0.0000	DEAD
36378.4	95	ORQLCI_Expert	1720.28	0.0000	DEAD
36438.5	194	ORQLCI_Expert	1709.64	0.0000	DEAD
36739.0	125	ORQLCI_Expert	1717.37	0.0000	DEAD
36859.2	42	ORQLCI_Expert	1694.42	0.0000	DEAD
36859.2	70	ORQLCI_Expert	1694.86	0.0000	DEAD
36919.3	114	ORQLCI_Expert	1715.02	0.0000	DEAD
36919.3	127	ORQLCI_Expert	1716.70	0.0000	DEAD
36919.3	158	ORQLCI_Expert	1713.68	0.0000	DEAD
36979.4	64	ORQLCI_Expert	1695.09	0.0000	DEAD
36979.4	108	ORQLCI_Expert	1715.24	0.0000	DEAD
36979.4	197	ORQLCI_Expert	1709.31	0.0000	DEAD
37039.5	59	ORQLCI_Expert	1695.65	0.0000	DEAD
37039.5	69	ORQLCI_Expert	1694.98	0.0000	DEAD
37039.5	85	ORQLCI_Expert	1718.27	0.0000	DEAD
37039.5	93	ORQLCI_Expert	1720.95	0.0000	DEAD
37099.6	3	ORQLCI_Expert	1701.92	0.0000	DEAD
37099.6	89	ORQLCI_Expert	1721.40	0.0000	DEAD
37099.6	90	ORQLCI_Expert	1721.29	0.0000	DEAD
37099.6	98	ORQLCI_Expert	1720.39	0.0000	DEAD
37159.7	109	ORQLCI_Expert	1715.58	0.0000	DEAD
37219.8	61	ORQLCI_Expert	1695.87	0.0000	DEAD
37219.8	66	ORQLCI_Expert	1695.31	0.0000	DEAD
37219.8	68	ORQLCI_Expert	1694.64	0.0000	DEAD
37219.8	88	ORQLCI_Expert	1721.07	0.0000	DEAD
37219.8	102	ORQLCI_Expert	1719.95	0.0000	DEAD
37219.8	196	ORQLCI_Expert	1708.97	0.0000	DEAD
37279.9	78	ORQLCI_Expert	1719.05	0.0000	DEAD
37279.9	79	ORQLCI_Expert	1718.49	0.0000	DEAD
37279.9	100	ORQLCI_Expert	1719.72	0.0000	DEAD
37340.0	17	ORQLCI_Expert	1697.21	0.0000	DEAD
37340.0	32	ORQLCI_Expert	1698.67	0.0000	DEAD
37340.0	92	ORQLCI_Expert	1720.62	0.0000	DEAD
