# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
159780.0	39	ORQLCI_Expert	871.09	0.0000	DEAD
179460.0	14	ORQLCI_Expert	871.61	0.0000	DEAD
197280.0	21	ORQLCI_Expert	871.48	0.0000	DEAD
211740.0	23	ORQLCI_Expert	871.95	0.0000	DEAD
211980.0	0	ORQLCI_Expert	872.36	0.0000	DEAD
212220.0	29	ORQLCI_Expert	871.91	0.0000	DEAD
222120.0	8	ORQLCI_Expert	871.64	0.0000	DEAD
240000.0	32	ORQLCI_Expert	871.79	0.0000	DEAD
242520.0	28	ORQLCI_Expert	871.86	0.0000	DEAD
244020.0	17	ORQLCI_Expert	871.55	0.0000	DEAD
244500.0	5	ORQLCI_Expert	872.34	0.0000	DEAD
244800.0	24	ORQLCI_Expert	871.93	0.0000	DEAD
244920.0	13	ORQLCI_Expert	871.63	0.0000	DEAD
245340.0	38	ORQLCI_Expert	871.75	0.0000	DEAD
245400.0	18	ORQLCI_Expert	871.54	0.0000	DEAD
245520.0	31	ORQLCI_Expert	871.81	0.0000	DEAD
245640.0	16	ORQLCI_Expert	871.50	0.0000	DEAD
245700.0	1	ORQLCI_Expert	872.41	0.0000	DEAD
246360.0	25	ORQLCI_Expert	871.98	0.0000	DEAD
246600.0	12	ORQLCI_Expert	871.57	0.0000	DEAD
246900.0	19	ORQLCI_Expert	871.45	0.0000	DEAD
247620.0	22	ORQLCI_Expert	871.46	0.0000	DEAD
248340.0	26	ORQLCI_Expert	871.97	0.0000	DEAD
249300.0	9	ORQLCI_Expert	871.70	0.0000	DEAD
249720.0	40	ORQLCI_Expert	871.07	0.0000	DEAD
250380.0	36	ORQLCI_Expert	871.72	0.0000	DEAD
262080.0	15	ORQLCI_Expert	871.52	0.0000	DEAD
262380.0	27	ORQLCI_Expert	871.88	0.0000	DEAD
265320.0	4	ORQLCI_Expert	872.29	0.0000	DEAD
267480.0	7	ORQLCI_Expert	871.66	0.0000	DEAD
268200.0	20	ORQLCI_Expert	871.43	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 31
