# Node Death Report
# sim_time	node_addr	router_type	max_energy	energy_ratio	event
144960.0	39	ORQLCI_NoEnergyCtx	871.09	0.0000	DEAD
179040.0	14	ORQLCI_NoEnergyCtx	871.61	0.0000	DEAD
192840.0	23	ORQLCI_NoEnergyCtx	871.95	0.0000	DEAD
198900.0	1	ORQLCI_NoEnergyCtx	872.41	0.0000	DEAD
215580.0	8	ORQLCI_NoEnergyCtx	871.64	0.0000	DEAD
221280.0	21	ORQLCI_NoEnergyCtx	871.48	0.0000	DEAD
223560.0	0	ORQLCI_NoEnergyCtx	872.36	0.0000	DEAD
240780.0	28	ORQLCI_NoEnergyCtx	871.86	0.0000	DEAD
243480.0	5	ORQLCI_NoEnergyCtx	872.34	0.0000	DEAD
243600.0	32	ORQLCI_NoEnergyCtx	871.79	0.0000	DEAD
244020.0	17	ORQLCI_NoEnergyCtx	871.55	0.0000	DEAD
244200.0	18	ORQLCI_NoEnergyCtx	871.54	0.0000	DEAD
244200.0	25	ORQLCI_NoEnergyCtx	871.98	0.0000	DEAD
245280.0	40	ORQLCI_NoEnergyCtx	871.07	0.0000	DEAD
246360.0	12	ORQLCI_NoEnergyCtx	871.57	0.0000	DEAD
246780.0	7	ORQLCI_NoEnergyCtx	871.66	0.0000	DEAD
246780.0	24	ORQLCI_NoEnergyCtx	871.93	0.0000	DEAD
249360.0	9	ORQLCI_NoEnergyCtx	871.70	0.0000	DEAD
250140.0	36	ORQLCI_NoEnergyCtx	871.72	0.0000	DEAD
250620.0	22	ORQLCI_NoEnergyCtx	871.46	0.0000	DEAD
255780.0	15	ORQLCI_NoEnergyCtx	871.52	0.0000	DEAD
257220.0	29	ORQLCI_NoEnergyCtx	871.91	0.0000	DEAD
261360.0	20	ORQLCI_NoEnergyCtx	871.43	0.0000	DEAD
264900.0	4	ORQLCI_NoEnergyCtx	872.29	0.0000	DEAD
264960.0	2	ORQLCI_NoEnergyCtx	872.40	0.0000	DEAD
272760.0	31	ORQLCI_NoEnergyCtx	871.81	0.0000	DEAD

# ===== SUMMARY =====
# total_dead_nodes: 26
